amostra,valor_real,valor_predito
amostra_0008_33.19.csv,33.19,32.77407455444336
amostra_0009_41.44.csv,41.44,41.250125885009766
amostra_0010_23.97.csv,23.97,24.86309051513672
amostra_0015_35.69.csv,35.69,35.03435516357422
amostra_0019_36.63.csv,36.63,36.164493560791016
amostra_0021_34.31.csv,34.31,33.52750015258789
amostra_0023_29.18.csv,29.18,29.57200813293457
amostra_0028_26.49.csv,26.49,26.558300018310547
amostra_0055_33.36.csv,33.36,33.150787353515625
amostra_0056_38.13.csv,38.13,38.801490783691406
amostra_0059_36.72.csv,36.72,36.72956466674805
amostra_0070_44.15.csv,44.15,43.69876480102539
amostra_0079_29.01.csv,29.01,29.760364532470703
amostra_0082_33.75.csv,33.75,33.339141845703125
amostra_0085_31.14.csv,31.14,30.7021484375
amostra_0086_49.20.csv,49.2,47.08918380737305
amostra_0091_33.50.csv,33.5,33.150787353515625
amostra_0095_37.41.csv,37.41,38.04806137084961
amostra_0100_36.54.csv,36.54,36.91792297363281
amostra_0102_31.02.csv,31.02,30.7021484375
amostra_0110_27.36.csv,27.36,26.369943618774414
amostra_0115_35.66.csv,35.66,35.599422454833984
amostra_0118_31.51.csv,31.51,31.643932342529297
amostra_0120_45.68.csv,45.68,45.01726150512695
amostra_0121_37.51.csv,37.51,38.236419677734375
amostra_0127_28.51.csv,28.51,28.44186782836914
amostra_0132_29.53.csv,29.53,29.006938934326172
amostra_0136_37.09.csv,37.09,36.72956466674805
amostra_0146_39.91.csv,39.91,40.8734130859375
amostra_0148_25.67.csv,25.67,25.804874420166016
amostra_0161_34.76.csv,34.76,35.03435516357422
amostra_0164_37.62.csv,37.62,37.29463577270508
amostra_0165_36.86.csv,36.86,36.72956466674805
amostra_0170_35.47.csv,35.47,34.84599685668945
amostra_0174_39.32.csv,39.32,38.61313247680664
amostra_0177_41.89.csv,41.89,42.00355529785156
amostra_0182_38.84.csv,38.84,38.424774169921875
amostra_0185_34.87.csv,34.87,35.03435516357422
amostra_0194_31.20.csv,31.2,31.83228874206543
amostra_0197_28.46.csv,28.46,28.818580627441406
amostra_0199_41.93.csv,41.93,41.8151969909668
amostra_0203_31.14.csv,31.14,30.513792037963867
amostra_0218_36.99.csv,36.99,37.48299026489258
amostra_0223_40.26.csv,40.26,39.74327087402344
amostra_0227_39.56.csv,39.56,39.9316291809082
amostra_0228_40.09.csv,40.09,39.55491638183594
amostra_0231_31.15.csv,31.15,31.455575942993164
amostra_0235_30.00.csv,30.0,30.7021484375
amostra_0244_40.24.csv,40.24,40.11998748779297
amostra_0250_32.28.csv,32.28,32.96242904663086
amostra_0251_41.84.csv,41.84,42.945335388183594
amostra_0254_30.52.csv,30.52,30.325435638427734
amostra_0255_37.07.csv,37.07,36.54120635986328
amostra_0258_36.52.csv,36.52,36.72956466674805
amostra_0263_42.93.csv,42.93,42.38026809692383
amostra_0265_30.35.csv,30.35,29.57200813293457
amostra_0270_31.15.csv,31.15,31.455575942993164
amostra_0271_32.33.csv,32.33,32.585716247558594
amostra_0273_42.81.csv,42.81,43.13369369506836
amostra_0276_35.64.csv,35.64,35.976139068603516
amostra_0279_39.33.csv,39.33,39.36655807495117
amostra_0292_39.39.csv,39.39,40.11998748779297
amostra_0295_34.19.csv,34.19,33.904212951660156
amostra_0298_46.10.csv,46.1,46.90082931518555
amostra_0299_33.16.csv,33.16,33.52750015258789
amostra_0300_33.26.csv,33.26,32.96242904663086
amostra_0307_43.61.csv,43.61,43.322052001953125
amostra_0309_22.00.csv,22.0,22.22609519958496
amostra_0310_41.65.csv,41.65,40.8734130859375
amostra_0312_39.63.csv,39.63,39.9316291809082
amostra_0316_40.13.csv,40.13,39.9316291809082
amostra_0325_29.57.csv,29.57,30.1370792388916
amostra_0328_40.09.csv,40.09,40.685054779052734
amostra_0330_26.42.csv,26.42,26.18158721923828
amostra_0333_35.15.csv,35.15,36.164493560791016
amostra_0334_27.36.csv,27.36,27.500083923339844
amostra_0343_37.44.csv,37.44,34.84599685668945
amostra_0348_32.76.csv,32.76,31.83228874206543
amostra_0361_38.44.csv,38.44,38.04806137084961
amostra_0374_42.74.csv,42.74,42.38026809692383
amostra_0381_28.22.csv,28.22,29.006938934326172
amostra_0383_23.21.csv,23.21,23.921306610107422
amostra_0386_37.38.csv,37.38,38.04806137084961
amostra_0393_29.10.csv,29.1,29.760364532470703
amostra_0395_41.41.csv,41.41,40.685054779052734
amostra_0401_33.39.csv,33.39,32.77407455444336
amostra_0411_35.80.csv,35.8,35.599422454833984
amostra_0416_34.55.csv,34.55,34.84599685668945
amostra_0423_39.33.csv,39.33,39.55491638183594
amostra_0424_36.07.csv,36.07,35.411067962646484
amostra_0436_27.75.csv,27.75,27.31172752380371
amostra_0446_30.85.csv,30.85,31.455575942993164
amostra_0450_45.64.csv,45.64,45.770687103271484
amostra_0454_33.92.csv,33.92,33.904212951660156
amostra_0456_31.34.csv,31.34,30.7021484375
amostra_0463_34.03.csv,34.03,32.77407455444336
amostra_0476_38.29.csv,38.29,36.54120635986328
amostra_0497_33.09.csv,33.09,33.52750015258789
amostra_0510_39.45.csv,39.45,38.989845275878906
amostra_0518_31.57.csv,31.57,32.02064514160156
amostra_0520_39.20.csv,39.2,39.55491638183594
amostra_0532_26.81.csv,26.81,26.746658325195312
amostra_0544_27.56.csv,27.56,27.876798629760742
amostra_0545_34.04.csv,34.04,33.339141845703125
amostra_0548_33.39.csv,33.39,33.339141845703125
amostra_0555_33.52.csv,33.52,34.09257125854492
amostra_0560_34.21.csv,34.21,35.22270965576172
amostra_0567_29.33.csv,29.33,28.44186782836914
amostra_0574_34.83.csv,34.83,35.03435516357422
amostra_0586_32.83.csv,32.83,33.339141845703125
amostra_0591_33.26.csv,33.26,32.585716247558594
