amostra,valor_real,valor_predito_corrigido,abs_error,relative_error_%
amostra_4626_53.88.csv,53.88,48.86331269647919,5.016687303520811,9.310852456423182
amostra_2748_53.25.csv,53.25,48.86331269647919,4.386687303520809,8.237910429147059
amostra_1796_52.41.csv,52.41,48.86331269647919,3.5466873035208053,6.767195770884957
amostra_2282_42.43.csv,42.43,39.42827189906785,3.001728100932148,7.074541835805204
amostra_4328_51.38.csv,51.38,48.86331269647919,2.5166873035208113,4.898184709071256
amostra_0343_37.44.csv,37.44,34.92482451187599,2.515175488124008,6.7178832481944655
amostra_5233_51.35.csv,51.35,48.86331269647919,2.48668730352081,4.842623765376456
amostra_0857_51.29.csv,51.29,48.86331269647919,2.426687303520808,4.731306889297734
amostra_3675_43.10.csv,43.1,40.813716163052646,2.286283836947355,5.304602869947459
amostra_5467_38.08.csv,38.08,35.897478546089154,2.1825214539108444,5.731411381068394
