Real,Predicted,Absolute_Error,Squared_Error,Residuals,Relative_Error(%)
19567.838,16216.422,3351.4161249999997,11231990.042910013,3351.4161249999997,17.127166143742027
23007.868,20726.984,2280.8836249999986,5202430.110793134,2280.8836249999986,9.913494049074895
22840.066999999995,20626.453,2213.6138749999955,4900086.387592495,2213.6138749999955,9.6918011448873
17566.306,15814.266,1752.0403750000005,3069645.4756301423,1752.0403750000005,9.97386915040079
20050.933,19029.64,1021.2923750000009,1043038.1152331425,1021.2923750000009,5.09349053732059
19673.569000000003,20289.562,615.9934999999969,379447.9920422461,-615.9934999999969,3.131071439044353
17769.684,17219.234,550.4496250000011,302994.7896626418,550.4496250000011,3.0976894411835985
16093.313,16618.36,525.0463749999999,275673.6959006405,-525.0463749999999,3.2625126659729644
18214.872,17701.672,513.2001249999994,263374.368300015,513.2001249999994,2.817478624059053
19465.719,18954.64,511.07837500000096,261201.10539264162,511.07837500000096,2.625530426077446
