decile,MAE_kWh
0,61.062768990763885
1,63.93714428236247
2,82.53390482921634
3,76.50811281711748
4,77.11047284983117
5,88.01476223664079
6,86.83583213060672
7,98.53656168531974
8,99.41980972419628
9,94.27281024770004
