amostra,valor_real,valor_predito
amostra_0000_1320.31.csv,1320.31,1216.495361328125
amostra_0001_2697.99.csv,2697.99,2502.5048828125
amostra_0039_2188.03.csv,2188.03,2050.66357421875
amostra_0047_1923.39.csv,1923.39,1824.7430419921875
amostra_0049_3074.19.csv,3074.19,2745.803955078125
amostra_0054_3924.82.csv,3924.82,3701.621826171875
amostra_0059_3662.89.csv,3662.89,3562.59375
amostra_0062_2289.08.csv,2289.08,2224.44873046875
amostra_0067_3220.84.csv,3220.84,3215.0234375
amostra_0074_3913.99.csv,3913.99,3910.163818359375
amostra_0078_2401.62.csv,2401.62,2189.691650390625
amostra_0079_1420.93.csv,1420.93,1216.495361328125
amostra_0083_1614.30.csv,1614.3,1390.280517578125
amostra_0096_1504.46.csv,1504.46,1477.1729736328125
amostra_0103_1385.25.csv,1385.25,1268.630859375
amostra_0106_2137.17.csv,2137.17,1824.7430419921875
amostra_0116_1876.60.csv,1876.6,1616.2010498046875
amostra_0118_2465.89.csv,2465.89,2154.934814453125
amostra_0127_4243.04.csv,4243.04,4240.35546875
amostra_0129_2316.18.csv,2316.18,2085.420654296875
amostra_0134_2692.92.csv,2692.92,2450.369384765625
amostra_0135_2886.82.csv,2886.82,2676.289794921875
amostra_0136_1656.48.csv,1656.48,1477.1729736328125
amostra_0142_3594.16.csv,3594.16,3336.673095703125
amostra_0146_2729.48.csv,2729.48,2485.126220703125
amostra_0148_2719.90.csv,2719.9,2519.88330078125
amostra_0154_2823.10.csv,2823.1,2745.803955078125
amostra_0155_4181.77.csv,4181.77,3875.40673828125
amostra_0157_2212.22.csv,2212.22,1859.5001220703125
amostra_0159_1703.57.csv,1703.57,1650.9580078125
amostra_0161_2269.94.csv,2269.94,2050.66357421875
amostra_0172_2526.49.csv,2526.49,2467.747802734375
amostra_0176_3277.90.csv,3277.9,3180.2666015625
amostra_0196_1457.07.csv,1457.07,1390.280517578125
amostra_0197_2738.06.csv,2738.06,2398.23388671875
amostra_0201_2168.87.csv,2168.87,1859.5001220703125
amostra_0203_2226.78.csv,2226.78,2259.205810546875
amostra_0217_2344.96.csv,2344.96,2154.934814453125
amostra_0241_1455.36.csv,1455.36,1338.1448974609375
amostra_0243_4519.44.csv,4519.44,4257.73388671875
amostra_0245_2543.64.csv,2543.64,2467.747802734375
amostra_0251_1978.50.csv,1978.5,1824.7430419921875
amostra_0259_2517.30.csv,2517.3,2398.23388671875
amostra_0263_3075.24.csv,3075.24,3093.3740234375
amostra_0266_1092.67.csv,1092.67,1164.35986328125
amostra_0273_1247.07.csv,1247.07,1216.495361328125
amostra_0283_2013.31.csv,2013.31,1859.5001220703125
amostra_0291_3187.93.csv,3187.93,3075.99560546875
amostra_0294_3776.43.csv,3776.43,3510.458251953125
amostra_0299_3156.35.csv,3156.35,3006.4814453125
amostra_0309_1931.43.csv,1931.43,1842.12158203125
amostra_0313_884.83.csv,884.83,816.789794921875
amostra_0316_1258.74.csv,1258.74,1286.0093994140625
amostra_0317_1871.71.csv,1871.71,1720.4720458984375
amostra_0323_2121.40.csv,2121.4,1998.5281982421875
amostra_0327_3371.51.csv,3371.51,3023.860107421875
amostra_0328_2460.38.csv,2460.38,2207.0703125
amostra_0329_2816.71.csv,2816.71,2519.88330078125
amostra_0333_2056.98.csv,2056.98,2033.28515625
amostra_0345_2880.72.csv,2880.72,2815.31787109375
