decile,MAE_kWh
0,63.69606902439024
1,83.67430365853659
2,100.26667926829272
3,123.6575792682927
4,123.15952073170732
5,111.11380853658534
6,110.76780975609752
7,112.41921585365854
8,115.9707695121951
9,145.48952439024387
