decile,absolute_error
0,0.9692169811107495
1,0.9395981134687152
2,0.7529898956298829
3,0.8075574069552952
4,0.7554405036339393
5,0.6110644022623697
6,0.7390179912860575
7,0.8808482728181067
8,1.0880601794903093
9,1.844559150978371
