filename,real_kWh,predicted_kWh,absolute_error,relative_error_%
amostra_0662_33.52.npy,33.52,29.838758,3.6812415313720734,10.982224138938165
amostra_0223_38.60.npy,38.6,34.990276,3.6097236633300795,9.351615708109014
amostra_0757_40.33.npy,40.33,36.90209,3.427911834716795,8.499657413133637
amostra_0973_35.68.npy,35.68,32.49463,3.1853710937499997,8.927609567684977
amostra_0465_33.62.npy,33.62,30.61743,3.0025702667236303,8.93090501702448
amostra_0374_35.77.npy,35.77,32.77234,2.997661132812503,8.380377782534254
amostra_0008_36.41.npy,36.41,33.468483,2.9415170288085903,8.07887126835647
amostra_0720_33.61.npy,33.61,30.755962,2.8540376281738276,8.491632336131591
amostra_0693_31.79.npy,31.79,28.962433,2.827567138671874,8.894517579968147
amostra_1151_30.69.npy,30.69,27.973728,2.7162718200683607,8.850673900516
