filename,real_kWh,predicted_kWh,absolute_error,relative_error_%
amostra_0006_32.64.npy,32.64,33.479008,0.8390077209472651,2.570489341137454
amostra_0008_36.41.npy,36.41,33.468483,2.9415170288085903,8.07887126835647
amostra_0015_28.30.npy,28.3,27.643524,0.6564758300781257,2.319702579781363
amostra_0016_35.88.npy,35.88,33.429703,2.45029724121094,6.8291450423939235
amostra_0017_31.94.npy,31.94,30.988577,0.9514231109619153,2.978782438828789
amostra_0020_29.36.npy,29.36,29.086634,0.27336631774902287,0.9310841885184704
amostra_0021_30.95.npy,30.95,31.880615,0.9306152343750007,3.0068343598546066
amostra_0024_28.39.npy,28.39,27.67078,0.7192198181152349,2.5333561751153044
amostra_0030_33.98.npy,33.98,33.164715,0.815285186767575,2.39930896635543
amostra_0032_29.38.npy,29.38,31.197742,1.8177424621582041,6.1870063381831315
amostra_0038_29.09.npy,29.09,28.698078,0.39192184448242173,1.3472734427034092
amostra_0043_29.73.npy,29.73,29.349386,0.3806137847900395,1.2802347285235098
amostra_0044_33.20.npy,33.2,33.065125,0.13487548828125284,0.4062514707266651
amostra_0045_38.95.npy,38.95,36.406277,2.5437232971191435,6.530740172321292
amostra_0050_31.26.npy,31.26,29.9858,1.2742002105712906,4.076136310208863
amostra_0051_32.92.npy,32.92,33.57175,0.6517506408691389,1.9798014607203491
amostra_0052_25.59.npy,25.59,24.767635,0.8223646545410155,3.2136172510395293
amostra_0055_23.38.npy,23.38,24.652733,1.2727328491210947,5.4436819893973265
amostra_0056_25.87.npy,25.87,27.216543,1.346543197631835,5.20503748601405
amostra_0063_27.61.npy,27.61,28.699762,1.0897623443603521,3.9469842244127205
amostra_0080_33.05.npy,33.05,32.608974,0.4410255432128878,1.3344191927772702
amostra_0085_26.45.npy,26.45,26.989496,0.5394962310791023,2.0396832933047344
amostra_0087_28.19.npy,28.19,29.505558,1.3155580139160143,4.666754217509806
amostra_0098_34.29.npy,34.29,34.576473,0.2864732360839852,0.8354425082647572
amostra_0104_29.79.npy,29.79,29.877104,0.08710380554199304,0.29239276784824786
amostra_0107_29.80.npy,29.8,29.233286,0.5667140960693366,1.9017251545950895
amostra_0110_33.23.npy,33.23,34.26913,1.0391307067871125,3.1270860872317563
amostra_0113_34.91.npy,34.91,35.113434,0.2034338378906284,0.5827380059886234
amostra_0115_25.98.npy,25.98,25.297688,0.6823124694824223,2.626298958746814
amostra_0116_23.49.npy,23.49,24.465742,0.9757421112060563,4.153861690958093
amostra_0118_23.96.npy,23.96,25.36781,1.407809295654296,5.875664839959499
amostra_0126_25.38.npy,25.38,25.903883,0.5238829803466807,2.0641567389546127
amostra_0128_34.78.npy,34.78,34.39588,0.3841183471679699,1.1044230798389014
amostra_0135_25.74.npy,25.74,26.5696,0.8295991516113297,3.2229959270059427
amostra_0141_32.40.npy,32.4,32.686184,0.2861839294433608,0.883283732849879
amostra_0142_33.42.npy,33.42,32.220642,1.1993579101562517,3.588742998672207
amostra_0147_33.69.npy,33.69,32.03923,1.6507696533203102,4.899880241378185
amostra_0156_31.30.npy,31.3,31.86772,0.567719650268554,1.8138007995800447
amostra_0165_30.19.npy,30.19,29.68561,0.5043901824951185,1.6707193855419622
amostra_0174_33.17.npy,33.17,32.35563,0.8143710327148455,2.455143300316085
amostra_0178_25.78.npy,25.78,27.044956,1.2649562072753895,4.9067347062660565
amostra_0179_26.69.npy,26.69,26.287779,0.4022211456298841,1.507010661783005
amostra_0180_28.80.npy,28.8,30.489637,1.689637374877929,5.866796440548364
amostra_0206_30.00.npy,30.0,28.494045,1.5059547424316406,5.019849141438802
amostra_0212_36.44.npy,36.44,35.074524,1.3654760742187477,3.747190104881306
amostra_0223_38.60.npy,38.6,34.990276,3.6097236633300795,9.351615708109014
amostra_0228_31.48.npy,31.48,31.5401,0.060100097656249574,0.19091517679875974
amostra_0246_32.88.npy,32.88,32.1781,0.7018994140625026,2.1347305780489734
amostra_0247_29.75.npy,29.75,30.577662,0.8276615142822266,2.7820555101923583
amostra_0261_30.63.npy,30.63,30.902395,0.27239524841308693,0.8893086791155305
amostra_0268_27.08.npy,27.08,28.622711,1.5427111816406267,5.696865515659626
amostra_0270_37.18.npy,37.18,35.169827,2.0101734924316403,5.406598957589135
amostra_0273_25.70.npy,25.7,25.496271,0.20372886657714773,0.7927193252029094
amostra_0278_30.30.npy,30.3,31.293514,0.9935142517089837,3.2789249231319593
amostra_0285_32.12.npy,32.12,32.20337,0.08336914062500256,0.25955523233188843
amostra_0286_30.94.npy,30.94,30.71245,0.22754997253418097,0.7354556319786069
amostra_0290_31.90.npy,31.9,30.91482,0.985180282592772,3.088339443864489
amostra_0292_27.22.npy,27.22,28.006489,0.7864888000488293,2.889378398415978
amostra_0295_24.62.npy,24.62,25.963156,1.34315574645996,5.455547304873924
amostra_0297_30.82.npy,30.82,30.300991,0.5190089416503909,1.6840004596054214
amostra_0321_35.05.npy,35.05,34.78005,0.26995162963866903,0.7701900988264452
amostra_0322_27.66.npy,27.66,27.611586,0.048414382934570455,0.17503392239541019
amostra_0324_23.47.npy,23.47,24.05419,0.5841896820068371,2.4890911035655607
amostra_0332_30.89.npy,30.89,30.745573,0.14442695617675838,0.4675524641526655
amostra_0333_29.12.npy,29.12,27.885736,1.2342635345458994,4.238542357643885
amostra_0335_27.47.npy,27.47,29.075047,1.6050465393066418,5.842906950515624
amostra_0338_31.95.npy,31.95,33.069023,1.1190231323242195,3.502419819481125
amostra_0339_35.95.npy,35.95,34.964375,0.9856254577636747,2.7416563498294146
amostra_0357_31.62.npy,31.62,31.531862,0.08813774108886818,0.2787404841520183
amostra_0370_28.44.npy,28.44,28.192924,0.24707550048828253,0.8687605502400932
amostra_0373_30.04.npy,30.04,31.470505,1.4305047607421884,4.761999869314875
amostra_0374_35.77.npy,35.77,32.77234,2.997661132812503,8.380377782534254
amostra_0388_25.96.npy,25.96,27.198416,1.238415756225585,4.770476718896707
amostra_0397_32.75.npy,32.75,31.530014,1.2199859619140625,3.7251479753101147
amostra_0404_28.24.npy,28.24,28.685997,0.4459970092773453,1.5793095229367755
amostra_0405_29.57.npy,29.57,29.460424,0.10957557678222685,0.3705633303423295
amostra_0410_34.43.npy,34.43,32.134834,2.2951657104492185,6.666179815420327
amostra_0413_34.05.npy,34.05,34.860477,0.8104774475097685,2.3802568208803776
amostra_0415_31.02.npy,31.02,31.355059,0.33505867004394574,1.0801375565568851
amostra_0418_31.22.npy,31.22,31.568419,0.3484185028076183,1.1160105791403534
amostra_0420_33.11.npy,33.11,30.74448,2.365519866943359,7.144427263495497
amostra_0423_32.08.npy,32.08,30.842966,1.2370339202880842,3.8560907739653505
amostra_0424_32.21.npy,32.21,31.488281,0.7217187500000009,2.2406667184104343
amostra_0426_37.49.npy,37.49,36.272453,1.2175466918945332,3.247657220310838
amostra_0433_32.21.npy,32.21,32.526608,0.3166075134277335,0.9829478839730938
amostra_0441_27.12.npy,27.12,26.895088,0.22491180419921974,0.8293208119440256
amostra_0451_31.43.npy,31.43,30.442097,0.9879032897949216,3.143185777266693
amostra_0459_35.94.npy,35.94,36.23785,0.29785018920898665,0.8287428748163236
amostra_0462_25.01.npy,25.01,26.415388,1.4053881072998031,5.619304707316285
amostra_0464_30.16.npy,30.16,30.551233,0.3912332916259764,1.2971926114919643
amostra_0465_33.62.npy,33.62,30.61743,3.0025702667236303,8.93090501702448
amostra_0466_27.69.npy,27.69,27.96931,0.2793107604980456,1.0087062495415153
amostra_0467_32.13.npy,32.13,31.547808,0.5821923065185572,1.8119897495130943
amostra_0472_33.08.npy,33.08,33.11352,0.03352157592773608,0.1013348728166145
amostra_0473_28.13.npy,28.13,29.000935,0.8709346008300791,3.0961059396732287
amostra_0481_35.57.npy,35.57,34.40435,1.1656497192382815,3.2770585303297204
amostra_0484_32.40.npy,32.4,31.680716,0.7192844390869126,2.220013700885533
amostra_0489_34.93.npy,34.93,34.667686,0.26231353759765597,0.7509691886563298
amostra_0496_32.40.npy,32.4,31.542425,0.8575748443603501,2.646835939383797
amostra_0501_27.20.npy,27.2,28.177576,0.9775760650634773,3.5940296509686664
amostra_0506_29.08.npy,29.08,29.889526,0.8095263671875017,2.7837908087603225
amostra_0518_29.01.npy,29.01,28.075901,0.9340989685058609,3.2199206084310954
amostra_0524_32.72.npy,32.72,32.518986,0.20101425170898324,0.6143467350519047
amostra_0541_25.42.npy,25.42,25.642014,0.2220135498046858,0.8733813918359
amostra_0546_28.96.npy,28.96,29.637415,0.6774149322509757,2.3391399594301645
amostra_0548_35.49.npy,35.49,34.102757,1.3872434997558614,3.9088292469874926
amostra_0551_37.71.npy,37.71,35.429527,2.280472717285157,6.047395166494715
amostra_0552_30.17.npy,30.17,31.04385,0.8738499450683577,2.896420102977652
amostra_0557_33.03.npy,33.03,30.894289,2.1357109832763683,6.465973306922096
amostra_0560_35.80.npy,35.8,34.67415,1.1258514404296847,3.1448364257812425
amostra_0561_32.97.npy,32.97,31.360188,1.6098124694824207,4.88265838484204
amostra_0565_27.05.npy,27.05,28.112516,1.0625164031982415,3.927971915705144
amostra_0570_35.26.npy,35.26,32.861965,2.3980348205566386,6.801006297664886
amostra_0571_29.36.npy,29.36,29.063427,0.29657302856445256,1.010126119088735
amostra_0575_37.01.npy,37.01,36.03516,0.9748399353027324,2.6339906384834704
amostra_0582_26.00.npy,26.0,26.936796,0.9367961883544922,3.603062262901893
amostra_0583_28.82.npy,28.82,28.752207,0.06779319763183622,0.23522969337902924
amostra_0586_27.15.npy,27.15,27.23266,0.08266029357910298,0.3044578032379484
amostra_0594_26.69.npy,26.69,27.456032,0.766031799316405,2.870107903021375
amostra_0595_28.46.npy,28.46,28.57494,0.11493972778320227,0.4038641172986727
amostra_0601_33.86.npy,33.86,33.46054,0.39945922851562443,1.1797378278665813
amostra_0607_26.20.npy,26.2,27.535786,1.3357856750488288,5.098418607056598
amostra_0624_32.53.npy,32.53,30.76191,1.7680905151367199,5.435261343795634
amostra_0627_30.04.npy,30.04,31.22158,1.1815805053710946,3.933357208292592
amostra_0629_35.03.npy,35.03,34.963596,0.06640365600586051,0.18956224951715817
amostra_0630_32.75.npy,32.75,32.20722,0.5427818298339844,1.6573490987297232
amostra_0662_33.52.npy,33.52,29.838758,3.6812415313720734,10.982224138938165
amostra_0664_32.71.npy,32.71,32.252865,0.4571351623535165,1.397539475247681
amostra_0665_26.47.npy,26.47,25.093393,1.3766066741943348,5.2006296720602
amostra_0666_27.43.npy,27.43,27.469906,0.03990585327148466,0.1454825128380775
amostra_0667_34.49.npy,34.49,34.920403,0.43040252685546676,1.247905267774621
amostra_0672_32.54.npy,32.54,32.070774,0.4692259216308585,1.4419973006479978
