arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_relativo_%
amostra_0008_314.25.npy,314.25,295.21976,19.030242919921875,6.055765447866945
amostra_0013_269.97.npy,269.97,244.77522,25.194777221679715,9.332435908315633
amostra_0016_338.81.npy,338.81,312.26422,26.545778808593752,7.835004518341771
amostra_0019_422.26.npy,422.26,399.2304,23.02959228515624,5.453889140613897
amostra_0036_278.24.npy,278.24,253.93869,24.301309814453134,8.73393825993859
amostra_0043_425.20.npy,425.2,410.6168,14.583209228515614,3.4297293576000976
amostra_0045_385.45.npy,385.45,377.42725,8.022753906249989,2.081399378972627
amostra_0048_408.85.npy,408.85,348.43857,60.41143188476565,14.775940292225911
amostra_0052_304.39.npy,304.39,284.15472,20.235275878906236,6.647812306221044
amostra_0061_230.87.npy,230.87,208.70003,22.169972534179692,9.602794877714597
amostra_0064_345.36.npy,345.36,322.08768,23.27232299804689,6.738569318405979
amostra_0078_387.64.npy,387.64,370.5918,17.048203124999986,4.397947354504176
amostra_0086_260.62.npy,260.62,249.2441,11.375905151367192,4.36493943341539
amostra_0089_374.00.npy,374.0,351.5248,22.475189208984375,6.009408879407587
amostra_0102_390.10.npy,390.1,383.49408,6.605920410156273,1.6933915432341122
amostra_0107_267.33.npy,267.33,255.31918,12.010816650390609,4.492880204388063
amostra_0111_398.88.npy,398.88,345.9672,52.91280639648437,13.265344563900014
amostra_0112_358.63.npy,358.63,331.53937,27.090632324218745,7.553922517418717
amostra_0117_347.10.npy,347.1,324.55414,22.545861816406273,6.495494617230271
amostra_0120_313.14.npy,313.14,293.42093,19.71907104492186,6.2972060563715475
amostra_0123_345.17.npy,345.17,317.2392,27.930803222656266,8.091897680173904
amostra_0128_330.32.npy,330.32,309.2664,21.053612060546868,6.3737018831880805
amostra_0130_308.31.npy,308.31,298.9537,9.356295166015627,3.034703761154561
amostra_0133_473.72.npy,473.72,445.26123,28.458769531250027,6.007508555950778
amostra_0137_418.06.npy,418.06,408.46252,9.597475585937502,2.295717262100536
amostra_0145_373.00.npy,373.0,344.96613,28.03387451171875,7.5157840513991285
amostra_0147_352.25.npy,352.25,331.6513,20.59869384765625,5.847748430846345
amostra_0148_327.54.npy,327.54,321.10263,6.4373693847656455,1.9653689273876915
amostra_0167_349.63.npy,349.63,341.5131,8.11690795898437,2.3215707916896067
amostra_0173_261.25.npy,261.25,248.72635,12.523651123046875,4.79374205666866
amostra_0183_355.89.npy,355.89,324.61298,31.277023925781236,8.788396393768085
amostra_0190_375.56.npy,375.56,354.99768,20.562319335937502,5.475108993486394
amostra_0193_372.60.npy,372.6,315.85187,56.74813232421877,15.230309265759198
