arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_relativo_%
amostra_0730_529.13.npy,529.13,466.2348,62.895197753906245,11.886530295750806
amostra_3816_454.67.npy,454.67,392.63715,62.032854003906266,13.643489564718644
amostra_4355_470.00.npy,470.0,409.1256,60.8743896484375,12.951997797539894
amostra_0048_408.85.npy,408.85,348.43857,60.41143188476565,14.775940292225911
amostra_0935_421.34.npy,421.34,361.3617,59.978305664062475,14.235132117544612
amostra_0851_462.95.npy,462.95,403.06256,59.88743896484374,12.93604902577897
amostra_4671_329.41.npy,329.41,270.7074,58.702602539062525,17.820528380760305
amostra_2779_438.89.npy,438.89,381.02722,57.862778320312486,13.183890797309688
amostra_3572_427.46.npy,427.46,369.65005,57.809945068359355,13.524059577120514
amostra_2506_412.97.npy,412.97,355.51474,57.45526000976565,13.912695839834772
