amostra,valor_real,valor_predito_corrigido,abs_error,relative_error_%
amostra_4981_337.04.csv,337.04,442.8917,105.8517,31.40627225255162
amostra_1012_344.13.csv,344.13,449.22214,105.09214000000003,30.53849998547062
amostra_2742_355.47.csv,355.47,450.24698,94.77697999999998,26.662441274931776
amostra_1646_331.51.csv,331.51,424.49338,92.98338000000001,28.048438961117316
amostra_5904_312.09.csv,312.09,401.157,89.06700000000001,28.538883014515047
amostra_5886_377.30.csv,377.3,465.47266,88.17266000000001,23.369377153458785
amostra_3746_496.60.csv,496.6,415.7501,80.84990000000005,16.280688683044716
amostra_2892_364.43.csv,364.43,443.96835,79.53834999999998,21.825412287682127
amostra_0379_248.57.csv,248.57,327.054,78.48399999999998,31.574204449450853
amostra_2514_451.09.csv,451.09,373.4938,77.59619999999995,17.201933095391155
