decile,MAE_kWh
0,15.17235183333334
1,15.903565500000001
2,15.75773775
3,16.584805
4,15.27546983333334
5,18.67933533333333
6,16.638822583333333
7,15.91674675
8,17.814586000000002
9,27.764829500000005
