amostra,valor_real,valor_predito
amostra_0693_368.14.csv,368.14,356.1049
amostra_0694_260.16.csv,260.16,243.8779
amostra_0713_321.69.csv,321.69,295.67496
amostra_0715_368.50.csv,368.5,371.21237
amostra_0716_318.03.csv,318.03,315.09888
amostra_0720_389.78.csv,389.78,347.47205
amostra_0722_357.63.csv,357.63,392.7945
amostra_0723_372.75.csv,372.75,353.9467
amostra_0727_356.88.csv,356.88,336.681
amostra_0729_287.59.csv,287.59,269.77643
amostra_0730_529.13.csv,529.13,550.34393
amostra_0733_269.51.csv,269.51,267.61823
amostra_0734_323.82.csv,323.82,302.1496
amostra_0738_261.68.csv,261.68,269.77643
amostra_0748_252.35.csv,252.35,256.82718
amostra_0750_342.25.csv,342.25,371.21237
amostra_0751_305.88.csv,305.88,299.9914
amostra_0753_366.92.csv,366.92,423.00946
amostra_0756_463.03.csv,463.03,489.914
amostra_0758_309.41.csv,309.41,312.94067
amostra_0759_310.57.csv,310.57,310.78244
amostra_0774_268.61.csv,268.61,215.82115
amostra_0776_336.59.csv,336.59,353.9467
amostra_0781_286.50.csv,286.5,282.7257
amostra_0784_251.32.csv,251.32,252.51074
amostra_0787_308.91.csv,308.91,328.04816
amostra_0789_285.61.csv,285.61,317.25708
amostra_0793_323.51.csv,323.51,345.31384
amostra_0802_442.17.csv,442.17,448.908
amostra_0808_389.38.csv,389.38,399.26913
amostra_0809_397.82.csv,397.82,390.63626
amostra_0813_394.54.csv,394.54,412.21838
amostra_0815_283.25.csv,283.25,280.5675
amostra_0821_450.73.csv,450.73,407.90198
amostra_0825_278.58.csv,278.58,265.46002
amostra_0829_306.67.csv,306.67,323.73172
amostra_0831_302.67.csv,302.67,310.78244
amostra_0839_349.97.csv,349.97,299.9914
amostra_0846_293.82.csv,293.82,291.35855
amostra_0849_354.23.csv,354.23,379.8452
amostra_0851_462.95.csv,462.95,468.33188
amostra_0854_248.45.csv,248.45,252.51074
amostra_0856_269.29.csv,269.29,269.77643
amostra_0858_396.57.csv,396.57,407.90198
amostra_0867_360.73.csv,360.73,310.78244
amostra_0870_375.38.csv,375.38,332.36456
amostra_0872_371.79.csv,371.79,403.58554
amostra_0873_356.50.csv,356.5,394.9527
amostra_0878_281.26.csv,281.26,293.51675
amostra_0880_269.58.csv,269.58,280.5675
amostra_0889_393.08.csv,393.08,474.80652
amostra_0900_306.41.csv,306.41,306.46603
amostra_0915_319.86.csv,319.86,321.57352
amostra_0916_343.98.csv,343.98,384.16165
amostra_0918_341.69.csv,341.69,364.73773
amostra_0924_364.65.csv,364.65,338.8392
amostra_0929_338.93.csv,338.93,364.73773
amostra_0932_343.48.csv,343.48,353.9467
amostra_0934_423.63.csv,423.63,476.96472
amostra_0935_421.34.csv,421.34,468.33188
amostra_0941_312.18.csv,312.18,358.2631
amostra_0945_393.08.csv,393.08,392.7945
amostra_0948_373.98.csv,373.98,371.21237
amostra_0950_420.74.csv,420.74,435.9587
amostra_0954_327.81.csv,327.81,347.47205
amostra_0960_326.68.csv,326.68,338.8392
amostra_0973_309.83.csv,309.83,280.5675
amostra_0983_304.76.csv,304.76,330.20636
amostra_0993_272.81.csv,272.81,250.35252
amostra_0995_395.45.csv,395.45,399.26913
amostra_0998_357.94.csv,357.94,323.73172
amostra_1007_321.03.csv,321.03,287.0421
amostra_1009_460.47.csv,460.47,481.28116
amostra_1012_344.13.csv,344.13,513.65436
amostra_1015_335.72.csv,335.72,356.1049
amostra_1020_360.36.csv,360.36,410.06018
amostra_1024_368.57.csv,368.57,394.9527
amostra_1036_484.63.csv,484.63,550.34393
amostra_1045_333.61.csv,333.61,330.20636
amostra_1046_267.57.csv,267.57,261.1436
amostra_1051_394.14.csv,394.14,369.05417
amostra_1062_259.86.csv,259.86,243.8779
amostra_1064_258.16.csv,258.16,237.40326
amostra_1072_282.97.csv,282.97,310.78244
amostra_1076_404.21.csv,404.21,448.908
amostra_1077_362.01.csv,362.01,353.9467
amostra_1087_257.31.csv,257.31,250.35252
amostra_1091_259.04.csv,259.04,246.0361
amostra_1092_322.45.csv,322.45,317.25708
amostra_1098_294.29.csv,294.29,287.0421
amostra_1114_339.80.csv,339.8,308.62424
amostra_1116_284.41.csv,284.41,315.09888
amostra_1128_278.57.csv,278.57,280.5675
amostra_1130_331.34.csv,331.34,291.35855
amostra_1138_425.52.csv,425.52,453.2244
amostra_1139_284.22.csv,284.22,269.77643
amostra_1140_329.23.csv,329.23,325.88992
amostra_1141_310.12.csv,310.12,304.30783
amostra_1154_350.14.csv,350.14,362.57953
amostra_1159_289.15.csv,289.15,306.46603
amostra_1162_324.97.csv,324.97,358.2631
amostra_1165_379.49.csv,379.49,362.57953
amostra_1166_329.98.csv,329.98,336.681
amostra_1169_419.24.csv,419.24,418.69302
amostra_1178_230.02.csv,230.02,246.0361
amostra_1182_324.88.csv,324.88,343.1556
amostra_1184_293.14.csv,293.14,308.62424
amostra_1186_369.09.csv,369.09,375.5288
amostra_1188_253.81.csv,253.81,261.1436
amostra_1192_257.64.csv,257.64,265.46002
amostra_1194_291.92.csv,291.92,289.20035
amostra_1202_383.85.csv,383.85,351.78848
amostra_1203_282.81.csv,282.81,291.35855
amostra_1205_290.22.csv,290.22,302.1496
amostra_1207_402.33.csv,402.33,425.16766
amostra_1215_358.74.csv,358.74,319.41528
amostra_1223_359.23.csv,359.23,321.57352
amostra_1224_255.66.csv,255.66,271.93463
amostra_1227_332.01.csv,332.01,353.9467
amostra_1233_242.76.csv,242.76,252.51074
amostra_1239_239.81.csv,239.81,256.82718
amostra_1242_335.29.csv,335.29,345.31384
amostra_1246_271.91.csv,271.91,297.8332
amostra_1256_266.11.csv,266.11,267.61823
amostra_1258_346.80.csv,346.8,353.9467
amostra_1260_356.30.csv,356.3,397.1109
amostra_1263_250.76.csv,250.76,246.0361
amostra_1264_337.48.csv,337.48,340.9974
amostra_1268_348.34.csv,348.34,332.36456
amostra_1291_372.02.csv,372.02,362.57953
amostra_1311_263.94.csv,263.94,220.13757
amostra_1315_292.14.csv,292.14,291.35855
amostra_1333_414.48.csv,414.48,429.48407
amostra_1334_368.47.csv,368.47,353.9467
amostra_1341_376.00.csv,376.0,429.48407
amostra_1346_343.55.csv,343.55,356.1049
amostra_1348_342.04.csv,342.04,351.78848
amostra_1352_319.32.csv,319.32,310.78244
