epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,lr
1,2564.56591796875,2564.56591796875,2677.2548828125,2557.69140625,2557.69140625,2669.036865234375,0.004999999888241291
2,2563.574951171875,2563.574951171875,2676.19970703125,2556.5390625,2556.5390625,2667.831787109375,0.004999999888241291
3,2562.02490234375,2562.02490234375,2674.7109375,2554.781494140625,2554.781494140625,2666.112548828125,0.004999999888241291
4,2559.326904296875,2559.326904296875,2672.137451171875,2551.894287109375,2551.894287109375,2663.615478515625,0.004999999888241291
5,2555.361083984375,2555.361083984375,2668.3486328125,2548.954833984375,2548.954833984375,2661.039306640625,0.004999999888241291
6,2549.795166015625,2549.795166015625,2663.069091796875,2543.1044921875,2543.1044921875,2655.847412109375,0.004999999888241291
7,2542.8515625,2542.8515625,2656.453125,2534.33154296875,2534.33154296875,2647.5634765625,0.004999999888241291
8,2533.798828125,2533.798828125,2647.6328125,2523.585693359375,2523.585693359375,2636.7685546875,0.004999999888241291
9,2523.2373046875,2523.2373046875,2637.54052734375,2510.916015625,2510.916015625,2624.565185546875,0.004999999888241291
10,2510.848388671875,2510.848388671875,2625.359130859375,2498.390869140625,2498.390869140625,2612.30615234375,0.004999999888241291
11,2496.190185546875,2496.190185546875,2611.32568359375,2483.529296875,2483.529296875,2597.854248046875,0.004999999888241291
12,2480.865478515625,2480.865478515625,2596.9951171875,2465.3193359375,2465.3193359375,2580.887451171875,0.004999999888241291
13,2462.259521484375,2462.259521484375,2579.640380859375,2446.360107421875,2446.360107421875,2563.306396484375,0.004999999888241291
14,2442.27392578125,2442.27392578125,2560.748291015625,2426.072509765625,2426.072509765625,2544.35009765625,0.004999999888241291
15,2420.962158203125,2420.962158203125,2540.37353515625,2403.847900390625,2403.847900390625,2523.15087890625,0.004999999888241291
16,2397.07275390625,2397.07275390625,2517.6826171875,2380.72216796875,2380.72216796875,2501.69580078125,0.004999999888241291
17,2373.27880859375,2373.27880859375,2495.497802734375,2354.310546875,2354.310546875,2476.587646484375,0.004999999888241291
18,2346.01953125,2346.01953125,2469.746826171875,2325.692138671875,2325.692138671875,2449.13037109375,0.004999999888241291
19,2317.9326171875,2317.9326171875,2442.0048828125,2294.215576171875,2294.215576171875,2418.986572265625,0.004999999888241291
20,2288.5439453125,2288.5439453125,2414.974365234375,2263.386962890625,2263.386962890625,2389.388671875,0.004999999888241291
21,2254.15625,2254.15625,2381.423583984375,2231.821044921875,2231.821044921875,2359.633544921875,0.004999999888241291
22,2221.639892578125,2221.639892578125,2351.20166015625,2198.47021484375,2198.47021484375,2328.4091796875,0.004999999888241291
23,2186.344970703125,2186.344970703125,2318.269775390625,2162.098876953125,2162.098876953125,2294.235595703125,0.004999999888241291
24,2149.107177734375,2149.107177734375,2283.650146484375,2123.27001953125,2123.27001953125,2258.10595703125,0.004999999888241291
25,2107.053955078125,2107.053955078125,2243.892822265625,2084.181640625,2084.181640625,2222.283447265625,0.004999999888241291
26,2070.6845703125,2070.6845703125,2210.65576171875,2042.4564208984375,2042.4564208984375,2184.31298828125,0.004999999888241291
27,2027.900390625,2027.900390625,2169.84765625,1999.3446044921875,1999.3446044921875,2144.3046875,0.004999999888241291
28,1983.6678466796875,1983.6678466796875,2130.628173828125,1955.3489990234375,1955.3489990234375,2104.255859375,0.004999999888241291
29,1934.9140625,1934.9140625,2086.391845703125,1907.774658203125,1907.774658203125,2061.599365234375,0.004999999888241291
30,1892.958740234375,1892.958740234375,2048.3037109375,1858.7308349609375,1858.7308349609375,2016.4781494140625,0.004999999888241291
31,1843.2685546875,1843.2685546875,2001.30126953125,1808.596923828125,1808.596923828125,1969.9171142578125,0.004999999888241291
32,1791.948486328125,1791.948486328125,1954.558349609375,1758.9461669921875,1758.9461669921875,1923.901123046875,0.004999999888241291
33,1744.3626708984375,1744.3626708984375,1912.7825927734375,1707.362548828125,1707.362548828125,1875.3583984375,0.004999999888241291
34,1690.37109375,1690.37109375,1862.9705810546875,1653.49072265625,1653.49072265625,1823.9334716796875,0.004999999888241291
35,1635.1112060546875,1635.1112060546875,1808.493408203125,1601.0545654296875,1601.0545654296875,1771.096435546875,0.004999999888241291
36,1581.8359375,1581.8359375,1758.1444091796875,1545.0654296875,1545.0654296875,1716.6455078125,0.004999999888241291
