arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_relativo_%
amostra_4816_19.81.npy,19.81,20.46522,0.6552194976806653,3.3075189181255196
amostra_3590_20.32.npy,20.32,19.966093,0.3539069366455081,1.7416679953026974
amostra_5046_20.96.npy,20.96,21.9136,0.9536009216308585,4.5496227177044775
amostra_5761_21.05.npy,21.05,21.0581,0.008099746704100852,0.03847860667031283
amostra_1428_21.20.npy,21.2,21.629261,0.42926101684570384,2.0248161171967163
amostra_2362_21.50.npy,21.5,21.723373,0.2233734130859375,1.0389461073764534
amostra_4772_21.56.npy,21.56,22.06721,0.5072092437744153,2.352547512868346
amostra_3744_21.59.npy,21.59,22.689022,1.0990220642089845,5.090421788832721
amostra_5496_21.84.npy,21.84,22.651268,0.8112680053710939,3.7145970941899904
amostra_3604_21.87.npy,21.87,22.454035,0.5840348052978506,2.670483791942618
amostra_0950_21.95.npy,21.95,23.472382,1.5223815917968757,6.9356792336987505
amostra_0309_22.00.npy,22.0,22.44071,0.44071006774902344,2.0032275806773794
amostra_4980_22.02.npy,22.02,23.10971,1.0897106933593754,4.948731577472187
amostra_1465_22.06.npy,22.06,23.069712,1.0097116851806653,4.577115526657595
amostra_3536_22.18.npy,22.18,23.580729,1.4007285308837893,6.31527741606758
amostra_2225_22.22.npy,22.22,22.0951,0.12489959716796761,0.5621043976956238
amostra_3181_22.28.npy,22.28,23.144464,0.8644644927978504,3.8800022118395434
amostra_5506_22.33.npy,22.33,22.326185,0.003814773559568607,0.017083625434700437
amostra_4518_22.49.npy,22.49,22.69899,0.20898986816406406,0.9292568615565322
amostra_5571_22.70.npy,22.7,24.249092,1.549092102050782,6.824194282162035
amostra_0762_22.74.npy,22.74,23.696695,0.9566953277587906,4.2071034641987275
amostra_4189_22.86.npy,22.86,23.516115,0.6561151885986334,2.870145181971275
amostra_2059_22.92.npy,22.92,24.055153,1.1351528930664045,4.9526740535183436
amostra_1012_22.98.npy,22.98,25.151634,2.1716342163085933,9.450105379932957
amostra_5522_23.06.npy,23.06,24.094265,1.0342649841308607,4.4851040075059005
amostra_3621_23.06.npy,23.06,23.918392,0.8583921813964857,3.7224292341564857
amostra_3471_23.12.npy,23.12,23.392935,0.27293479919433494,1.1805138373457393
amostra_2068_23.12.npy,23.12,23.907,0.7869995880126943,3.403977456802311
amostra_2514_23.17.npy,23.17,24.149582,0.9795819091796858,4.2278028018113325
amostra_0383_23.21.npy,23.21,24.504131,1.294131317138671,5.57574888900763
amostra_5564_23.34.npy,23.34,25.024313,1.684312973022461,7.216422335143363
amostra_4197_23.42.npy,23.42,23.761402,0.3414021301269514,1.4577375325659752
amostra_2078_23.54.npy,23.54,23.89872,0.3587197875976571,1.5238733542806164
amostra_3366_23.64.npy,23.64,23.867805,0.22780548095703068,0.9636441664849014
amostra_5245_23.64.npy,23.64,24.073107,0.43310676574706974,1.8320929177118008
amostra_5594_23.72.npy,23.72,24.134014,0.414014129638673,1.7454221316976097
amostra_3220_23.80.npy,23.8,24.35875,0.5587493896484368,2.3476865111278857
amostra_5351_23.85.npy,23.85,25.161633,1.3116325378417955,5.499507496192014
amostra_5312_23.94.npy,23.94,23.929924,0.010075988769532529,0.042088507809241976
amostra_2749_23.96.npy,23.96,24.342052,0.382052459716796,1.5945428201869616
amostra_2767_23.97.npy,23.97,24.95987,0.9898693847656261,4.129617792096897
amostra_0010_23.97.npy,23.97,24.268896,0.2988961029052746,1.2469591276815795
amostra_4183_23.98.npy,23.98,24.41753,0.4375300598144527,1.8245623845473422
amostra_3219_24.11.npy,24.11,24.967953,0.8579527282714849,3.5584932736270636
amostra_3485_24.14.npy,24.14,25.707346,1.5673459625244135,6.492733896124331
amostra_1246_24.30.npy,24.3,25.626438,1.32643814086914,5.458593172300987
amostra_4346_24.34.npy,24.34,26.178703,1.838703308105469,7.554245308568072
amostra_4285_24.40.npy,24.4,25.159916,0.759915924072267,3.1144095248863404
amostra_4375_24.51.npy,24.51,25.05362,0.5436193847656234,2.2179493462489734
amostra_3393_24.51.npy,24.51,25.86036,1.3503591918945297,5.5094214275582605
amostra_4913_24.52.npy,24.52,24.922943,0.4029431152343754,1.6433242872527547
amostra_5787_24.53.npy,24.53,25.392326,0.8623263549804676,3.5153948429697004
amostra_3493_24.58.npy,24.58,26.022787,1.4427870941162126,5.869760350350743
amostra_3153_24.58.npy,24.58,26.255207,1.6752070617675798,6.815325719152075
amostra_3452_24.59.npy,24.59,25.349283,0.7592832183837892,3.0877723399096757
amostra_4494_24.62.npy,24.62,25.967745,1.3477448272705068,5.474186950733171
amostra_5171_24.62.npy,24.62,25.28192,0.6619194793701162,2.688543782981788
amostra_1804_24.65.npy,24.65,25.931824,1.2818237304687514,5.200096269650108
amostra_3869_24.68.npy,24.68,25.465504,0.7855036926269534,3.1827540219892767
amostra_2812_24.74.npy,24.74,25.953152,1.213151702880861,4.903604296203965
amostra_1747_24.76.npy,24.76,25.539942,0.779941787719725,3.15000722019275
amostra_4962_24.77.npy,24.77,24.381575,0.3884253692626949,1.5681282570153203
amostra_1671_24.78.npy,24.78,25.120796,0.3407962036132801,1.3752873430721555
amostra_3460_24.80.npy,24.8,25.64489,0.844889831542968,3.4068138368668066
amostra_4625_24.84.npy,24.84,25.931248,1.0912477111816408,4.3931067277843825
amostra_2142_24.85.npy,24.85,25.632668,0.7826675415039048,3.1495675714442846
amostra_5304_24.89.npy,24.89,26.43414,1.5441392517089838,6.203853964278762
amostra_1752_24.90.npy,24.9,26.058495,1.1584945678710952,4.652588625988334
amostra_4880_24.91.npy,24.91,25.347757,0.4377573394775389,1.7573558389303048
amostra_2428_24.91.npy,24.91,25.673243,0.7632425689697264,3.064000678320861
amostra_4349_24.95.npy,24.95,26.12477,1.1747692108154304,4.708493830923569
amostra_0624_25.02.npy,25.02,25.09668,0.07667968750000043,0.30647357114308726
amostra_5277_25.04.npy,25.04,26.319202,1.279202423095704,5.108635874982843
amostra_0630_25.07.npy,25.07,25.639048,0.5690476226806638,2.2698349528546617
amostra_2427_25.08.npy,25.08,25.135025,0.055025024414064205,0.21939802397952235
amostra_4159_25.09.npy,25.09,26.00492,0.9149190521240236,3.6465486334157977
amostra_2418_25.20.npy,25.2,25.925478,0.7254779815673835,2.878880879235649
amostra_5507_25.29.npy,25.29,25.824505,0.5345048522949227,2.1135027769668753
amostra_5072_25.40.npy,25.4,25.749487,0.34948692321777486,1.3759327685739169
amostra_5057_25.43.npy,25.43,27.492836,2.0628359985351565,8.111820678470927
amostra_5726_25.45.npy,25.45,25.858305,0.4083049774169929,1.604341758023548
amostra_4861_25.48.npy,25.48,27.153835,1.673835296630859,6.569212310168206
amostra_3677_25.51.npy,25.51,27.41933,1.9093305969238266,7.484635817027936
amostra_5924_25.52.npy,25.52,25.596811,0.07681129455566449,0.3009846965347355
amostra_2683_25.53.npy,25.53,26.510912,0.9809119415283192,3.842193268814411
amostra_3437_25.53.npy,25.53,25.798775,0.2687747192382801,1.052779942178927
amostra_1691_25.60.npy,25.6,25.83062,0.23061981201171733,0.9008586406707708
amostra_3544_25.62.npy,25.62,26.840101,1.2201012420654287,4.76229992999777
amostra_0148_25.67.npy,25.67,26.200167,0.5301667022705061,2.065316331400491
amostra_5758_25.69.npy,25.69,26.187017,0.49701744079589716,1.93467279406733
amostra_0870_25.82.npy,25.82,26.462366,0.6423661041259763,2.4878625256621856
amostra_5953_25.93.npy,25.93,26.759094,0.8290942382812503,3.197432465411686
amostra_1992_25.94.npy,25.94,26.345081,0.40508132934570185,1.5616088255424128
amostra_2434_26.00.npy,26.0,26.659391,0.6593914031982422,2.536120781531701
amostra_2404_26.03.npy,26.03,26.929419,0.8994185638427723,3.4553152663955906
amostra_4560_26.03.npy,26.03,27.23226,1.2022597503662098,4.618746639900921
amostra_2876_26.06.npy,26.06,26.452942,0.3929418945312513,1.5078353589073341
