TIME,VRMS(V) L1 AVG,VRMS(V) L2 AVG,VRMS(V) L3 AVG,VTHD L1 AVG,VTHD L2 AVG,VTHD L3 AVG,IRMS(A) L1 AVG,IRMS(A) L2 AVG,IRMS(A) L3 AVG,ITHD L1 AVG,ITHD L2 AVG,ITHD L3 AVG,P(kW) L1 AVG,P(kW) L2 AVG,P(kW) L3 AVG,P(kW) ALL AVG,S(kVA) L1 AVG,S(kVA) L2 AVG,S(kVA) L3 AVG,S(kVA) ALL AVG,Q(kvar) L1 AVG,Q(kvar) L2 AVG,Q(kvar) L3 AVG,Q(kvar) ALL AVG,TPF L1 AVG,TPF L2 AVG,TPF L3 AVG,TPF ALL AVG,Energy(kWh) L1,Energy(kWh) L2,Energy(kWh) L3,Energy(kWh) ALL,FREQ AVG
2025-04-17 17:49:05,223.082,222.734,222.222,1.75,1.81,1.74,8.485,3.872,9.091,17.98,27.98,16.35,1.512,0.81,-1.836,0.487,1.893,0.863,2.02,4.776,-1.138,0.295,0.843,0.0,0.8,0.94,-0.91,0.1,0.047,0.025,-0.059,0.013,60.02
2025-04-17 17:50:05,223.029,222.706,222.15,1.76,1.8,1.74,8.475,3.883,9.059,18.04,27.89,16.3,1.507,0.813,-1.83,0.49,1.89,0.865,2.012,4.768,-1.141,0.295,0.836,-0.009,0.8,0.94,-0.91,0.1,0.071,0.038,-0.088,0.021,60.01
2025-04-17 17:51:05,223.167,222.813,222.282,1.82,1.85,1.79,8.483,3.888,9.059,18.16,27.99,16.48,1.51,0.813,-1.835,0.488,1.893,0.866,2.014,4.773,-1.141,0.299,0.829,-0.013,0.8,0.94,-0.91,0.1,0.094,0.051,-0.117,0.029,60.02
2025-04-17 17:52:05,223.368,222.962,222.416,1.89,1.92,1.85,9.243,3.881,9.448,17.21,27.98,17.24,1.7,0.812,-1.916,0.596,2.065,0.865,2.101,5.031,-1.169,0.3,0.863,-0.006,0.82,0.94,-0.91,0.12,0.121,0.064,-0.147,0.038,60.03
2025-04-17 17:53:05,223.565,223.066,222.509,1.89,1.92,1.83,9.669,3.887,9.961,16.48,28.02,18.39,1.802,0.813,-2.028,0.587,2.162,0.867,2.216,5.245,-1.193,0.301,0.893,0.001,0.83,0.94,-0.92,0.11,0.15,0.076,-0.179,0.047,60.01
2025-04-17 17:54:05,223.609,223.088,222.522,1.9,1.95,1.83,9.67,3.894,10.191,16.43,28.08,19.19,1.802,0.814,-2.084,0.531,2.162,0.869,2.268,5.299,-1.195,0.302,0.893,0.0,0.83,0.94,-0.92,0.1,0.178,0.089,-0.211,0.055,60.02
2025-04-17 17:55:05,223.447,223.022,222.459,1.91,1.97,1.86,9.659,3.894,10.351,16.55,28.01,19.68,1.801,0.813,-2.123,0.491,2.158,0.868,2.303,5.329,-1.19,0.305,0.892,0.007,0.83,0.94,-0.92,0.09,0.206,0.102,-0.245,0.063,59.99
2025-04-17 17:56:05,223.398,223.105,222.533,1.89,1.94,1.85,9.669,3.885,10.5,16.52,28.03,19.84,1.801,0.81,-2.158,0.454,2.16,0.867,2.337,5.363,-1.192,0.307,0.895,0.01,0.83,0.93,-0.92,0.08,0.235,0.115,-0.279,0.07,60.02
2025-04-17 17:57:05,223.422,223.132,222.561,1.85,1.93,1.83,9.66,3.475,11.137,16.48,33.08,21.02,1.796,0.722,-2.31,0.208,2.158,0.775,2.479,5.412,-1.196,0.283,0.896,-0.017,0.83,0.93,-0.93,0.04,0.263,0.126,-0.315,0.074,60.01
2025-04-17 17:58:05,223.453,223.197,222.645,1.83,1.93,1.84,9.668,3.457,11.901,16.39,33.21,22.6,1.8,0.719,-2.495,0.024,2.16,0.771,2.65,5.581,-1.194,0.28,0.891,-0.023,0.83,0.93,-0.94,0.0,0.291,0.137,-0.355,0.074,60.03
2025-04-17 17:59:05,223.326,223.066,222.519,1.83,1.93,1.84,9.659,3.474,12.286,16.55,32.99,22.13,1.799,0.721,-2.582,-0.062,2.157,0.775,2.734,5.666,-1.19,0.282,0.898,-0.011,0.83,0.93,-0.94,-0.01,0.319,0.149,-0.395,0.073,60.0
2025-04-17 18:00:05,223.37,223.198,222.521,1.84,1.93,1.83,9.676,3.491,12.617,16.43,32.97,21.67,1.803,0.722,-2.658,-0.134,2.161,0.779,2.808,5.748,-1.192,0.294,0.903,0.005,0.83,0.93,-0.95,-0.02,0.348,0.16,-0.437,0.071,60.01
2025-04-17 18:01:05,223.401,223.137,222.439,1.8,1.88,1.76,9.699,3.511,11.691,16.51,32.77,20.78,1.802,0.726,-2.44,0.089,2.167,0.783,2.601,5.551,-1.202,0.294,0.898,-0.01,0.83,0.93,-0.94,0.02,0.376,0.172,-0.476,0.072,60.02
