TIME,VRMS(V) L1 AVG,VRMS(V) L2 AVG,VRMS(V) L3 AVG,VTHD L1 AVG,VTHD L2 AVG,VTHD L3 AVG,IRMS(A) L1 AVG,IRMS(A) L2 AVG,IRMS(A) L3 AVG,ITHD L1 AVG,ITHD L2 AVG,ITHD L3 AVG,P(kW) L1 AVG,P(kW) L2 AVG,P(kW) L3 AVG,P(kW) ALL AVG,S(kVA) L1 AVG,S(kVA) L2 AVG,S(kVA) L3 AVG,S(kVA) ALL AVG,Q(kvar) L1 AVG,Q(kvar) L2 AVG,Q(kvar) L3 AVG,Q(kvar) ALL AVG,TPF L1 AVG,TPF L2 AVG,TPF L3 AVG,TPF ALL AVG,Energy(kWh) L1,Energy(kWh) L2,Energy(kWh) L3,Energy(kWh) ALL,FREQ AVG
2025-04-19 17:49:05,221.542,220.807,220.34,2.08,2.03,1.87,8.687,4.71,8.102,17.62,22.78,19.34,1.509,0.932,-1.568,0.873,1.925,1.04,1.785,4.75,-1.194,0.462,0.853,0.121,0.78,0.9,-0.88,0.18,69.68,40.144,-72.392,37.432,60.03
2025-04-19 17:50:05,221.422,220.709,220.297,2.13,2.07,1.89,8.697,4.721,8.119,17.84,22.59,19.54,1.506,0.932,-1.571,0.866,1.926,1.042,1.788,4.756,-1.201,0.466,0.853,0.119,0.78,0.89,-0.88,0.18,69.704,40.158,-72.417,37.445,60.05
2025-04-19 17:51:05,221.339,220.67,220.293,2.17,2.09,1.93,8.695,4.711,8.132,17.49,22.71,19.83,1.511,0.931,-1.581,0.862,1.925,1.04,1.791,4.755,-1.191,0.461,0.842,0.112,0.79,0.9,-0.88,0.18,69.727,40.173,-72.441,37.459,60.04
2025-04-19 17:52:05,221.317,220.78,220.32,2.19,2.12,1.97,8.679,4.705,8.099,17.54,22.73,19.67,1.509,0.929,-1.571,0.867,1.921,1.039,1.784,4.744,-1.189,0.464,0.846,0.121,0.79,0.89,-0.88,0.18,69.751,40.188,-72.466,37.472,60.0
2025-04-19 17:53:05,221.465,220.929,220.465,2.18,2.12,1.97,8.674,4.71,8.107,17.29,22.78,19.6,1.508,0.933,-1.57,0.871,1.921,1.04,1.787,4.749,-1.19,0.46,0.854,0.124,0.78,0.9,-0.88,0.18,69.775,40.202,-72.491,37.486,60.01
2025-04-19 17:54:05,221.596,221.039,220.528,2.19,2.11,1.97,8.673,4.709,8.139,17.32,22.73,19.49,1.505,0.933,-1.576,0.862,1.922,1.041,1.795,4.758,-1.196,0.461,0.858,0.123,0.78,0.9,-0.88,0.18,69.798,40.217,-72.516,37.499,60.03
2025-04-19 17:55:05,221.672,221.044,220.471,2.18,2.1,1.96,8.686,4.713,8.151,17.51,22.82,19.73,1.514,0.931,-1.584,0.861,1.925,1.042,1.797,4.764,-1.189,0.466,0.848,0.125,0.79,0.89,-0.88,0.18,69.822,40.232,-72.541,37.513,60.02
2025-04-19 17:56:05,221.687,220.964,220.421,2.12,2.06,1.91,8.678,4.711,8.144,17.73,22.79,19.18,1.51,0.933,-1.583,0.86,1.924,1.041,1.795,4.76,-1.192,0.461,0.846,0.115,0.78,0.9,-0.88,0.18,69.846,40.247,-72.566,37.526,60.02
2025-04-19 17:57:05,221.691,220.943,220.426,2.13,2.05,1.9,8.692,4.703,8.158,17.69,22.88,19.26,1.51,0.933,-1.582,0.861,1.927,1.039,1.798,4.764,-1.197,0.457,0.853,0.114,0.78,0.9,-0.88,0.18,69.87,40.261,-72.591,37.54,60.02
2025-04-19 17:58:05,221.867,221.161,220.637,2.11,2.05,1.89,8.677,4.69,8.112,17.59,22.83,19.13,1.506,0.932,-1.573,0.866,1.925,1.037,1.79,4.752,-1.199,0.454,0.854,0.109,0.78,0.9,-0.88,0.18,69.893,40.276,-72.616,37.553,60.03
