TIME,VRMS(V) L1 AVG,VRMS(V) L2 AVG,VRMS(V) L3 AVG,VTHD L1 AVG,VTHD L2 AVG,VTHD L3 AVG,IRMS(A) L1 AVG,IRMS(A) L2 AVG,IRMS(A) L3 AVG,ITHD L1 AVG,ITHD L2 AVG,ITHD L3 AVG,P(kW) L1 AVG,P(kW) L2 AVG,P(kW) L3 AVG,P(kW) ALL AVG,S(kVA) L1 AVG,S(kVA) L2 AVG,S(kVA) L3 AVG,S(kVA) ALL AVG,Q(kvar) L1 AVG,Q(kvar) L2 AVG,Q(kvar) L3 AVG,Q(kvar) ALL AVG,TPF L1 AVG,TPF L2 AVG,TPF L3 AVG,TPF ALL AVG,Energy(kWh) L1,Energy(kWh) L2,Energy(kWh) L3,Energy(kWh) ALL,FREQ AVG
2025-04-20 17:49:05,223.54,222.992,222.122,2.66,2.59,2.45,8.669,4.366,8.102,19.15,25.86,21.56,1.515,0.872,-1.575,0.812,1.938,0.974,1.8,4.711,-1.208,0.432,0.87,0.093,0.78,0.9,-0.88,0.17,103.93,60.28,-108.106,56.104,59.96
2025-04-20 17:50:05,223.573,223.002,222.163,2.7,2.64,2.5,8.662,4.153,8.095,19.37,27.51,21.44,1.511,0.837,-1.569,0.779,1.937,0.926,1.798,4.661,-1.211,0.396,0.878,0.064,0.78,0.9,-0.87,0.17,103.954,60.293,-108.131,56.116,59.96
2025-04-20 17:51:05,223.566,223.059,222.179,2.68,2.64,2.49,8.668,4.173,8.122,19.18,27.53,21.28,1.519,0.838,-1.578,0.779,1.938,0.931,1.804,4.673,-1.203,0.404,0.875,0.076,0.78,0.9,-0.87,0.17,103.978,60.307,-108.156,56.129,59.96
2025-04-20 17:52:05,223.681,223.112,222.186,2.64,2.59,2.41,8.668,4.15,8.081,18.9,27.64,21.15,1.515,0.835,-1.569,0.782,1.939,0.926,1.795,4.66,-1.21,0.4,0.873,0.063,0.78,0.9,-0.87,0.17,104.001,60.32,-108.18,56.141,59.96
2025-04-20 17:53:05,223.82,223.159,222.367,2.65,2.58,2.41,8.665,4.157,8.071,18.76,27.62,21.12,1.515,0.836,-1.565,0.785,1.939,0.928,1.795,4.662,-1.211,0.402,0.878,0.07,0.78,0.9,-0.87,0.17,104.025,60.333,-108.205,56.153,59.95
2025-04-20 17:54:05,223.994,223.196,222.478,2.67,2.58,2.44,8.67,4.157,8.064,18.82,27.67,21.17,1.513,0.837,-1.566,0.783,1.942,0.928,1.794,4.664,-1.218,0.4,0.875,0.057,0.78,0.9,-0.87,0.17,104.049,60.346,-108.23,56.166,59.94
2025-04-20 17:55:05,223.971,223.223,222.492,2.64,2.56,2.41,8.665,4.15,8.05,18.78,27.65,20.78,1.517,0.837,-1.566,0.788,1.941,0.926,1.791,4.658,-1.211,0.397,0.869,0.055,0.78,0.9,-0.87,0.17,104.073,60.359,-108.254,56.178,59.97
2025-04-20 17:56:05,223.869,223.236,222.461,2.64,2.56,2.43,8.647,4.164,8.107,18.94,27.55,20.79,1.516,0.839,-1.577,0.778,1.936,0.93,1.803,4.669,-1.203,0.4,0.874,0.07,0.78,0.9,-0.87,0.17,104.097,60.372,-108.279,56.19,59.95
2025-04-20 17:57:05,223.733,223.232,222.381,2.6,2.54,2.4,8.657,4.17,8.129,18.66,27.5,20.57,1.518,0.838,-1.58,0.775,1.937,0.931,1.808,4.676,-1.203,0.405,0.878,0.079,0.78,0.9,-0.87,0.17,104.121,60.386,-108.304,56.203,59.96
2025-04-20 17:58:05,223.726,223.21,222.367,2.62,2.56,2.42,8.655,4.685,8.111,18.85,23.76,21.07,1.512,0.936,-1.578,0.87,1.936,1.046,1.804,4.786,-1.209,0.463,0.873,0.127,0.78,0.89,-0.87,0.18,104.144,60.4,-108.328,56.216,59.97
2025-04-20 17:59:05,223.773,223.2,222.388,2.61,2.53,2.4,8.675,4.758,8.071,18.65,22.97,20.98,1.518,0.949,-1.57,0.896,1.941,1.062,1.795,4.798,-1.21,0.477,0.868,0.135,0.78,0.89,-0.88,0.19,104.169,60.415,-108.354,56.23,59.99
2025-04-20 18:00:05,223.825,223.273,222.435,2.6,2.52,2.4,8.657,4.717,8.132,18.64,23.16,20.97,1.516,0.94,-1.584,0.871,1.938,1.053,1.809,4.8,-1.207,0.475,0.873,0.141,0.78,0.89,-0.88,0.18,104.192,60.43,-108.378,56.244,60.01
2025-04-20 18:01:05,223.83,223.212,222.439,2.57,2.5,2.4,8.684,4.722,8.198,18.49,23.19,20.91,1.521,0.94,-1.598,0.863,1.944,1.054,1.824,4.821,-1.211,0.476,0.879,0.144,0.78,0.89,-0.88,0.18,104.216,60.445,-108.403,56.257,60.01
2025-04-20 18:02:05,223.973,223.385,222.557,2.57,2.52,2.41,8.692,4.713,8.155,18.77,23.17,20.87,1.52,0.938,-1.587,0.871,1.947,1.053,1.815,4.814,-1.216,0.478,0.88,0.143,0.78,0.89,-0.87,0.18,104.24,60.46,-108.429,56.271,60.01
2025-04-20 18:03:05,224.165,223.629,222.759,2.56,2.51,2.4,8.689,4.711,8.131,18.64,23.29,21.37,1.527,0.937,-1.588,0.877,1.948,1.053,1.811,4.812,-1.209,0.48,0.871,0.142,0.78,0.89,-0.88,0.18,104.264,60.474,-108.453,56.285,60.0
2025-04-20 18:04:05,223.817,223.311,222.496,2.52,2.47,2.36,8.717,4.72,8.115,18.51,23.26,20.66,1.53,0.939,-1.579,0.889,1.951,1.054,1.806,4.811,-1.21,0.479,0.875,0.144,0.78,0.89,-0.87,0.19,104.288,60.489,-108.478,56.299,59.98
2025-04-20 18:05:05,223.66,223.132,222.356,2.56,2.5,2.39,8.687,4.285,8.091,18.76,26.44,20.92,1.522,0.863,-1.571,0.814,1.943,0.956,1.799,4.698,-1.208,0.41,0.876,0.077,0.78,0.9,-0.87,0.17,104.312,60.503,-108.503,56.312,59.97
