TIME,VRMS(V) L1 AVG,VRMS(V) L2 AVG,VRMS(V) L3 AVG,VTHD L1 AVG,VTHD L2 AVG,VTHD L3 AVG,IRMS(A) L1 AVG,IRMS(A) L2 AVG,IRMS(A) L3 AVG,ITHD L1 AVG,ITHD L2 AVG,ITHD L3 AVG,P(kW) L1 AVG,P(kW) L2 AVG,P(kW) L3 AVG,P(kW) ALL AVG,S(kVA) L1 AVG,S(kVA) L2 AVG,S(kVA) L3 AVG,S(kVA) ALL AVG,Q(kvar) L1 AVG,Q(kvar) L2 AVG,Q(kvar) L3 AVG,Q(kvar) ALL AVG,TPF L1 AVG,TPF L2 AVG,TPF L3 AVG,TPF ALL AVG,Energy(kWh) L1,Energy(kWh) L2,Energy(kWh) L3,Energy(kWh) ALL,FREQ AVG
2025-04-21 17:49:05,219.284,218.494,217.849,2.25,2.16,2.02,8.758,4.73,8.179,19.27,22.66,20.56,1.507,0.933,-1.572,0.868,1.92,1.033,1.782,4.736,-1.19,0.444,0.838,0.093,0.78,0.9,-0.88,0.18,138.17,80.345,-143.702,74.812,60.0
2025-04-21 17:50:05,219.272,218.475,217.888,2.26,2.17,2.05,8.745,4.733,8.17,19.29,22.6,20.38,1.506,0.931,-1.57,0.866,1.918,1.034,1.78,4.732,-1.187,0.45,0.838,0.101,0.79,0.9,-0.88,0.18,138.194,80.359,-143.727,74.826,59.99
2025-04-21 17:51:05,219.269,218.442,217.93,2.23,2.13,2.03,8.749,4.745,8.206,19.17,22.56,20.81,1.507,0.93,-1.584,0.854,1.918,1.037,1.788,4.743,-1.186,0.457,0.829,0.1,0.79,0.9,-0.89,0.18,138.217,80.374,-143.752,74.839,60.02
2025-04-21 17:52:05,219.256,218.393,217.899,2.26,2.15,2.05,8.758,4.739,8.188,19.29,22.58,20.29,1.51,0.929,-1.579,0.86,1.92,1.035,1.784,4.739,-1.185,0.456,0.83,0.101,0.79,0.9,-0.89,0.18,138.241,80.389,-143.777,74.853,60.04
2025-04-21 17:53:05,219.237,218.316,217.861,2.29,2.19,2.06,8.756,4.734,8.158,19.37,22.54,20.56,1.503,0.93,-1.568,0.865,1.92,1.033,1.777,4.73,-1.194,0.45,0.836,0.091,0.78,0.9,-0.88,0.18,138.265,80.403,-143.802,74.866,60.02
2025-04-21 17:54:05,219.236,218.376,217.814,2.27,2.19,2.04,8.756,4.748,8.184,19.31,22.53,20.26,1.507,0.932,-1.571,0.868,1.92,1.037,1.783,4.739,-1.189,0.454,0.842,0.107,0.79,0.9,-0.88,0.18,138.289,80.418,-143.827,74.88,60.0
2025-04-21 17:55:05,219.193,218.365,217.773,2.24,2.16,2.02,8.753,4.74,8.197,19.35,22.59,20.79,1.509,0.931,-1.578,0.862,1.919,1.035,1.785,4.739,-1.185,0.451,0.834,0.101,0.79,0.9,-0.88,0.18,138.312,80.433,-143.851,74.894,60.01
2025-04-21 17:56:05,219.265,218.483,217.859,2.27,2.19,2.06,8.756,4.738,8.203,19.23,22.67,20.33,1.511,0.932,-1.578,0.866,1.92,1.035,1.787,4.742,-1.184,0.449,0.839,0.104,0.79,0.9,-0.88,0.18,138.336,80.447,-143.876,74.908,60.0
2025-04-21 17:57:05,219.327,218.612,217.898,2.29,2.21,2.08,8.748,4.711,8.208,19.4,22.67,20.59,1.506,0.931,-1.579,0.859,1.919,1.03,1.789,4.737,-1.189,0.439,0.84,0.091,0.78,0.9,-0.88,0.18,138.36,80.462,-143.901,74.921,60.01
2025-04-21 17:58:05,219.049,218.312,217.615,2.26,2.18,2.04,8.754,4.727,8.155,19.39,22.6,20.35,1.506,0.932,-1.568,0.87,1.918,1.032,1.775,4.724,-1.187,0.442,0.83,0.086,0.79,0.9,-0.88,0.18,138.383,80.477,-143.925,74.935,60.0
2025-04-21 17:59:05,218.985,218.244,217.614,2.27,2.19,2.05,8.763,4.737,8.191,19.46,22.57,20.86,1.506,0.932,-1.578,0.86,1.919,1.034,1.783,4.735,-1.189,0.447,0.829,0.087,0.78,0.9,-0.89,0.18,138.407,80.491,-143.95,74.948,59.99
2025-04-21 18:00:05,219.159,218.393,217.737,2.25,2.18,2.05,8.754,4.728,8.214,19.42,22.6,20.65,1.507,0.929,-1.581,0.855,1.919,1.033,1.788,4.74,-1.187,0.45,0.835,0.098,0.79,0.9,-0.88,0.18,138.431,80.506,-143.975,74.962,60.02
2025-04-21 18:01:05,219.068,218.384,217.733,2.24,2.21,2.06,8.793,4.731,8.288,19.18,22.65,20.69,1.515,0.931,-1.596,0.851,1.926,1.033,1.805,4.764,-1.189,0.447,0.842,0.1,0.79,0.9,-0.88,0.18,138.455,80.521,-144.0,74.975,59.99
2025-04-21 18:02:05,219.108,218.341,217.817,2.24,2.18,2.07,8.79,4.728,8.23,19.32,22.57,20.59,1.513,0.93,-1.582,0.861,1.926,1.032,1.793,4.751,-1.192,0.447,0.843,0.098,0.79,0.9,-0.88,0.18,138.479,80.535,-144.025,74.989,59.98
2025-04-21 18:03:05,219.078,218.337,217.839,2.24,2.18,2.07,8.812,4.719,8.197,19.15,22.67,20.8,1.523,0.929,-1.578,0.875,1.93,1.03,1.786,4.747,-1.186,0.444,0.836,0.094,0.79,0.9,-0.88,0.18,138.503,80.55,-144.05,75.003,59.98
