arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_percentual,residual
amostra_3946_3302.41.csv,3302.41,3111.2622,191.14779296874985,5.788130273610783,191.14779296874985
amostra_1055_2647.63.csv,2647.63,2458.344,189.2860058593751,7.149262013928498,189.2860058593751
amostra_3241_2784.41.csv,2784.41,2605.8247,178.58529296874985,6.413757060517304,178.58529296874985
amostra_3425_3371.38.csv,3371.38,3196.7732,174.6068066406251,5.179090065214396,174.6068066406251
amostra_2453_2835.06.csv,2835.06,2669.594,165.46600585937495,5.836419894442268,165.46600585937495
amostra_1733_3015.77.csv,3015.77,2851.6538,164.11619140624998,5.441933284244156,164.11619140624998
amostra_1106_2888.83.csv,2888.83,2725.3003,163.52970703124993,5.660759097324866,163.52970703124993
amostra_3239_3656.99.csv,3656.99,3497.107,159.88306640624978,4.371985332370332,159.88306640624978
amostra_3136_3272.14.csv,3272.14,3115.7546,156.38536132812487,4.779299214829588,156.38536132812487
amostra_2622_3957.91.csv,3957.91,3804.713,153.19710937499985,3.870656719708125,153.19710937499985
