arquivo,real_kWh,previsto_kWh
amostra_0594_2304.55.csv,2304.55,2297.827
amostra_0596_3012.89.csv,3012.89,3015.9802
amostra_0598_2806.34.csv,2806.34,2739.7346
amostra_0601_3466.01.csv,3466.01,3411.4893
amostra_0602_3805.52.csv,3805.52,3783.0552
amostra_0604_3117.84.csv,3117.84,3068.597
amostra_0613_1363.21.csv,1363.21,1321.6746
amostra_0621_2901.06.csv,2901.06,2896.1973
amostra_0625_2995.38.csv,2995.38,2991.2874
amostra_0634_2937.63.csv,2937.63,2894.5728
amostra_0636_1580.53.csv,1580.53,1526.5488
amostra_0637_1206.96.csv,1206.96,1171.1152
amostra_0643_2790.42.csv,2790.42,2800.033
amostra_0647_1675.18.csv,1675.18,1641.6326
amostra_0652_2231.13.csv,2231.13,2232.1455
amostra_0653_2029.21.csv,2029.21,2044.8092
amostra_0654_1620.66.csv,1620.66,1602.5835
amostra_0655_1258.64.csv,1258.64,1336.6813
amostra_0657_2206.37.csv,2206.37,2171.1582
amostra_0671_3645.38.csv,3645.38,3639.7412
amostra_0674_918.87.csv,918.87,963.2856
amostra_0678_2912.56.csv,2912.56,2866.7314
amostra_0683_2546.07.csv,2546.07,2507.639
amostra_0687_1072.09.csv,1072.09,1083.6924
amostra_0699_3131.02.csv,3131.02,3068.8552
amostra_0703_1737.04.csv,1737.04,1713.9082
amostra_0707_2677.72.csv,2677.72,2592.874
amostra_0715_1765.46.csv,1765.46,1679.6708
amostra_0718_1544.17.csv,1544.17,1510.1685
amostra_0720_2368.81.csv,2368.81,2360.3542
amostra_0724_2490.22.csv,2490.22,2402.1758
amostra_0731_1551.83.csv,1551.83,1580.0247
amostra_0736_1824.46.csv,1824.46,1807.5089
amostra_0745_1379.46.csv,1379.46,1366.45
amostra_0747_2185.45.csv,2185.45,2142.7307
amostra_0749_1835.44.csv,1835.44,1749.2089
amostra_0752_2330.02.csv,2330.02,2323.4172
amostra_0754_1452.09.csv,1452.09,1447.9894
amostra_0759_3391.58.csv,3391.58,3312.683
amostra_0760_3239.20.csv,3239.2,3200.6704
amostra_0763_1724.07.csv,1724.07,1676.831
amostra_0775_3564.99.csv,3564.99,3468.9214
amostra_0778_2683.67.csv,2683.67,2632.9043
amostra_0791_2420.66.csv,2420.66,2286.3066
amostra_0793_3033.97.csv,3033.97,3055.3015
amostra_0794_4321.70.csv,4321.7,4294.1714
amostra_0803_1928.05.csv,1928.05,1857.6521
amostra_0810_3034.11.csv,3034.11,2946.3594
amostra_0814_2301.86.csv,2301.86,2250.651
amostra_0821_1912.96.csv,1912.96,1848.4185
amostra_0835_875.51.csv,875.51,925.70605
amostra_0843_2983.46.csv,2983.46,2939.9998
amostra_0847_1707.36.csv,1707.36,1670.2606
amostra_0852_2324.81.csv,2324.81,2223.9854
amostra_0870_2084.82.csv,2084.82,2091.571
amostra_0873_3940.57.csv,3940.57,3854.1814
amostra_0875_3266.23.csv,3266.23,3181.128
amostra_0883_2089.85.csv,2089.85,2034.7858
amostra_0891_2154.78.csv,2154.78,2227.865
amostra_0898_2391.35.csv,2391.35,2290.1897
amostra_0908_3645.54.csv,3645.54,3550.6287
amostra_0909_2316.55.csv,2316.55,2330.8362
amostra_0917_3288.29.csv,3288.29,3249.0645
amostra_0920_2650.49.csv,2650.49,2626.9329
amostra_0924_1817.94.csv,1817.94,1758.6034
amostra_0929_2021.19.csv,2021.19,2002.3618
amostra_0932_2632.20.csv,2632.2,2591.5435
amostra_0940_2037.78.csv,2037.78,1977.4246
amostra_0943_3410.22.csv,3410.22,3393.354
amostra_0947_2654.24.csv,2654.24,2653.2292
amostra_0949_2738.06.csv,2738.06,2612.0295
amostra_0951_3461.53.csv,3461.53,3388.4688
amostra_0955_1719.94.csv,1719.94,1710.0056
amostra_0962_2968.23.csv,2968.23,2962.6208
amostra_0967_2485.66.csv,2485.66,2522.5854
amostra_0985_2342.97.csv,2342.97,2352.6792
amostra_0987_2161.01.csv,2161.01,2147.3848
amostra_0988_2073.85.csv,2073.85,2039.603
amostra_0991_2419.13.csv,2419.13,2481.3
amostra_0999_2759.47.csv,2759.47,2747.7563
amostra_1005_2484.32.csv,2484.32,2370.4211
amostra_1023_3035.07.csv,3035.07,2991.0178
amostra_1024_3108.16.csv,3108.16,3135.7305
amostra_1027_4353.11.csv,4353.11,4300.9863
amostra_1039_3430.12.csv,3430.12,3381.653
amostra_1041_1831.86.csv,1831.86,1816.6965
amostra_1042_3170.58.csv,3170.58,3196.9834
amostra_1045_1681.42.csv,1681.42,1628.4753
