arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_percentual,residual
amostra_0002_1918.16.csv,1918.16,1863.9646,54.19540039062508,2.8253847640772967,54.19540039062508
amostra_0015_1255.51.csv,1255.51,1290.0083,34.49830078125001,2.74775197180827,-34.49830078125001
amostra_0019_3106.45.csv,3106.45,3011.222,95.22807617187482,3.0654952171087517,95.22807617187482
amostra_0020_2590.32.csv,2590.32,2579.4016,10.918388671875164,0.4215073300547872,10.918388671875164
amostra_0021_2135.00.csv,2135.0,2086.0479,48.9521484375,2.2928406762295084,48.9521484375
amostra_0023_2886.84.csv,2886.84,2832.4128,54.427158203125146,1.8853541659089226,54.427158203125146
amostra_0043_2055.23.csv,2055.23,2021.4832,33.74684570312502,1.6419984966706898,33.74684570312502
amostra_0045_1647.38.csv,1647.38,1609.3651,38.01488769531261,2.3075967715592403,38.01488769531261
amostra_0049_2345.11.csv,2345.11,2338.8523,6.257705078125127,0.2668405779739597,6.257705078125127
amostra_0050_3708.96.csv,3708.96,3602.492,106.46805664062504,2.8705636253997087,106.46805664062504
amostra_0051_1808.85.csv,1808.85,1765.3539,43.49611816406241,2.4046282535346997,43.49611816406241
amostra_0054_2681.49.csv,2681.49,2644.0298,37.46021484374978,1.3969925244453563,37.46021484374978
amostra_0056_2906.70.csv,2906.7,2828.1868,78.51323242187482,2.7011123412073768,78.51323242187482
amostra_0081_1985.55.csv,1985.55,1847.9169,137.63312988281245,6.931738303382562,137.63312988281245
amostra_0082_2221.14.csv,2221.14,2186.0488,35.09117187499987,1.5798721321033289,35.09117187499987
amostra_0083_3083.32.csv,3083.32,2988.8213,94.49871093750016,3.0648363107786465,94.49871093750016
amostra_0084_1239.89.csv,1239.89,1309.9774,70.0874169921874,5.652712498059295,-70.0874169921874
amostra_0093_2582.21.csv,2582.21,2579.8643,2.3457421875000364,0.0908424251900518,2.3457421875000364
amostra_0094_2867.39.csv,2867.39,2827.7053,39.68467773437487,1.3840000046863132,39.68467773437487
amostra_0096_2455.82.csv,2455.82,2394.8508,60.969169921875164,2.482640011152086,60.969169921875164
amostra_0097_2383.73.csv,2383.73,2350.045,33.68507812500002,1.4131247299400527,33.68507812500002
amostra_0108_2613.05.csv,2613.05,2646.1309,33.08085937499982,1.2659864669638856,-33.08085937499982
amostra_0115_2573.64.csv,2573.64,2489.5889,84.05113281249987,3.265846536908809,84.05113281249987
amostra_0117_1409.12.csv,1409.12,1439.1106,29.99059570312511,2.128320916822209,-29.99059570312511
amostra_0124_1871.79.csv,1871.79,1871.476,0.3140478515624636,0.016777942587708216,0.3140478515624636
amostra_0127_1474.94.csv,1474.94,1446.125,28.815000000000055,1.9536387920864613,28.815000000000055
amostra_0136_1725.53.csv,1725.53,1714.0466,11.483369140624973,0.665498087000804,11.483369140624973
amostra_0137_1834.42.csv,1834.42,1772.7546,61.66536132812507,3.361572667552963,61.66536132812507
amostra_0144_961.38.csv,961.38,950.1685,11.211481933593745,1.1661863085974065,11.211481933593745
amostra_0155_2509.34.csv,2509.34,2502.3145,7.0255468750001455,0.27997588509329724,7.0255468750001455
amostra_0156_1900.94.csv,1900.94,1863.4889,37.451108398437555,1.9701362693424072,37.451108398437555
amostra_0158_2326.18.csv,2326.18,2298.6533,27.526679687499836,1.183342634168458,27.526679687499836
amostra_0167_2536.37.csv,2536.37,2540.0159,3.645869140625109,0.14374358396547465,-3.645869140625109
amostra_0177_2179.11.csv,2179.11,2171.2175,7.892470703125127,0.3621878061743155,7.892470703125127
amostra_0178_2404.29.csv,2404.29,2360.7708,43.519248046874964,1.8100665080699483,43.519248046874964
amostra_0179_3106.65.csv,3106.65,3041.138,65.51206054687509,2.1087686268770245,65.51206054687509
amostra_0187_2260.89.csv,2260.89,2295.5603,34.67030273437513,1.5334802991023504,-34.67030273437513
amostra_0189_1455.94.csv,1455.94,1493.842,37.902041015624945,2.603269435253166,-37.902041015624945
amostra_0193_2328.29.csv,2328.29,2310.5815,17.708457031249964,0.7605778073715028,17.708457031249964
amostra_0198_2252.55.csv,2252.55,2192.8374,59.71259765625018,2.650888888426458,59.71259765625018
amostra_0204_1784.38.csv,1784.38,1753.8309,30.54906738281261,1.7120270000119149,30.54906738281261
amostra_0207_1824.45.csv,1824.45,1824.7107,0.2606933593749545,0.014288873872945519,-0.2606933593749545
amostra_0208_2991.08.csv,2991.08,2999.5417,8.461748046875073,0.2828994225121051,-8.461748046875073
amostra_0215_3433.81.csv,3433.81,3395.3823,38.427675781249945,1.1190973228352745,38.427675781249945
amostra_0217_3408.22.csv,3408.22,3348.127,60.0930468749998,1.7631798086684487,60.0930468749998
amostra_0219_2098.05.csv,2098.05,2120.8328,22.782763671874818,1.0859018456125837,-22.782763671874818
amostra_0221_1373.59.csv,1373.59,1339.2717,34.31827148437492,2.498436322656318,34.31827148437492
amostra_0224_2690.85.csv,2690.85,2610.56,80.28994140624991,2.983813345457752,80.28994140624991
amostra_0229_2115.41.csv,2115.41,2163.684,48.274082031250146,2.282020129962993,-48.274082031250146
amostra_0234_1852.40.csv,1852.4,1871.1547,18.75466308593741,1.0124521208128594,-18.75466308593741
amostra_0241_1820.40.csv,1820.4,1776.5446,43.85544433593759,2.409110323881432,43.85544433593759
amostra_0242_3674.97.csv,3674.97,3626.6262,48.3437792968748,1.3154877263453797,48.3437792968748
amostra_0253_2876.45.csv,2876.45,2832.6997,43.75029296874982,1.5209822165777198,43.75029296874982
amostra_0257_1827.70.csv,1827.7,1804.4125,23.287524414062545,1.2741437005013156,23.287524414062545
