arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_relativo_%
amostra_1260_23.46.npy,23.46,25.539425,2.0794248962402335,8.863703735039358
amostra_0453_28.31.npy,28.31,30.351469,2.0414690399169935,7.2111234189932665
amostra_1232_23.55.npy,23.55,25.487762,1.9377624511718743,8.22829066315021
amostra_0861_26.29.npy,26.29,28.186987,1.8969869232177743,7.215621617412607
amostra_1196_23.49.npy,23.49,25.345644,1.8556439971923844,7.899719017421816
amostra_1261_22.77.npy,22.77,24.617706,1.8477062988281254,8.114652168766472
amostra_0508_22.84.npy,22.84,24.632584,1.7925836181640626,7.8484396592121835
amostra_0905_30.68.npy,30.68,32.442318,1.7623179626464847,5.744191534049819
amostra_1010_24.43.npy,24.43,26.19068,1.7606795501708987,7.207038682647969
amostra_0456_28.20.npy,28.2,29.909895,1.7098949432373054,6.06345724552236
