arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_relativo_%
amostra_0733_2596.77.npy,2596.77,2836.2173,239.44728515625002,9.220966244844558
amostra_0106_2137.17.npy,2137.17,2364.2737,227.10368164062493,10.626374207041318
amostra_0449_3101.60.npy,3101.6,3325.2024,223.6023925781251,7.209259497618167
amostra_2209_1611.51.npy,1611.51,1833.2028,221.6927587890625,13.75683419830237
amostra_0352_2266.95.npy,2266.95,2487.099,220.14912109375018,9.711247318809422
amostra_0154_2823.10.npy,2823.1,3039.4124,216.3123535156251,7.662227817492299
amostra_1656_2071.06.npy,2071.06,2286.0938,215.03375000000005,10.382787075217523
amostra_0049_3074.19.npy,3074.19,3287.591,213.40106445312495,6.941700560249202
amostra_1746_3860.06.npy,3860.06,4069.1812,209.12115234375005,5.417562222964152
amostra_3942_2968.48.npy,2968.48,3176.0396,207.55955078124998,6.992115519769376
