arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_relativo_%
amostra_0154_2823.10.npy,2823.1,3039.4124,216.3123535156251,7.662227817492299
amostra_0155_4181.77.npy,4181.77,4236.2485,54.47853515624956,1.302762589914069
amostra_0157_2212.22.npy,2212.22,2283.6067,71.3866894531252,3.226925416691161
amostra_0159_1703.57.npy,1703.57,1717.2915,13.721503906250064,0.805455831357095
amostra_0161_2269.94.npy,2269.94,2355.7234,85.78338867187495,3.779103794456019
amostra_0172_2526.49.npy,2526.49,2710.0557,183.56566406250022,7.265639842726479
amostra_0176_3277.90.npy,3277.9,3336.1025,58.20253906249991,1.775604474282312
amostra_0196_1457.07.npy,1457.07,1533.8389,76.76886718750006,5.268715105485671
amostra_0197_2738.06.npy,2738.06,2763.1912,25.131162109375055,0.9178455588765424
amostra_0201_2168.87.npy,2168.87,2332.6404,163.7703808593751,7.550954223138091
amostra_0203_2226.78.npy,2226.78,2286.2239,59.4438769531248,2.6694993197857353
amostra_0217_2344.96.npy,2344.96,2356.891,11.931113281249964,0.508798157804396
amostra_0241_1455.36.npy,1455.36,1521.1581,65.7980810546876,4.52108626420182
amostra_0243_4519.44.npy,4519.44,4610.694,91.2538476562504,2.0191405938844285
amostra_0245_2543.64.npy,2543.64,2424.5017,119.13829101562487,4.683771721455272
amostra_0251_1978.50.npy,1978.5,2116.307,137.806884765625,6.965220357120293
amostra_0259_2517.30.npy,2517.3,2602.7483,85.44829101562482,3.394442101284106
amostra_0263_3075.24.npy,3075.24,3041.6472,33.59278320312478,1.0923629766497829
amostra_0266_1092.67.npy,1092.67,1224.464,131.79398925781243,12.061646174765704
amostra_0273_1247.07.npy,1247.07,1336.5364,89.46637695312506,7.1741263083167
amostra_0283_2013.31.npy,2013.31,2106.8813,93.57134765625005,4.647637356206945
amostra_0291_3187.93.npy,3187.93,3174.108,13.822089843749836,0.43357570096425696
amostra_0294_3776.43.npy,3776.43,3824.4673,48.037285156250164,1.272029010368262
amostra_0299_3156.35.npy,3156.35,3136.2896,20.06044921874991,0.6355584526034791
amostra_0309_1931.43.npy,1931.43,1979.2826,47.852592773437436,2.4775732371060526
amostra_0313_884.83.npy,884.83,984.0267,99.19667236328121,11.21081703415133
amostra_0316_1258.74.npy,1258.74,1229.2367,29.50330566406251,2.343876071632149
amostra_0317_1871.71.npy,1871.71,1935.9482,64.23824218749996,3.4320617076096167
amostra_0323_2121.40.npy,2121.4,2137.9324,16.53237304687491,0.7793142758025318
amostra_0327_3371.51.npy,3371.51,3453.1716,81.66163085937478,2.4221085169367664
amostra_0328_2460.38.npy,2460.38,2526.6272,66.24719726562489,2.6925595747658853
amostra_0329_2816.71.npy,2816.71,2867.1697,50.459677734374964,1.7914402879378768
amostra_0333_2056.98.npy,2056.98,2037.0238,19.956196289062518,0.9701696802624487
amostra_0345_2880.72.npy,2880.72,2893.4546,12.7345898437502,0.4420627427778542
amostra_0347_2835.49.npy,2835.49,2930.9226,95.43260742187522,3.3656478217830155
amostra_0352_2266.95.npy,2266.95,2487.099,220.14912109375018,9.711247318809422
amostra_0365_1558.09.npy,1558.09,1591.6536,33.56356445312508,2.1541479922934545
amostra_0366_2582.14.npy,2582.14,2640.1355,57.99549804687513,2.246024539601847
amostra_0372_2782.66.npy,2782.66,2884.4795,101.81949218750015,3.6590705363752725
amostra_0374_2162.63.npy,2162.63,2247.706,85.07605468749989,3.9339163281513665
amostra_0377_1545.46.npy,1545.46,1549.6005,4.140463867187464,0.26791142230711007
amostra_0383_1796.68.npy,1796.68,1804.0778,7.397758789062436,0.4117460420922165
amostra_0385_1639.51.npy,1639.51,1577.9327,61.57726074218749,3.755833190537874
amostra_0390_3446.61.npy,3446.61,3526.8115,80.20152343749987,2.3269683380916284
amostra_0392_3219.34.npy,3219.34,3271.155,51.815029296874854,1.6094922964606053
amostra_0397_2692.51.npy,2692.51,2658.6238,33.88622070312522,1.258536484660232
amostra_0411_885.79.npy,885.79,990.28656,104.49656005859379,11.796990263899321
amostra_0415_1976.88.npy,1976.88,2067.9807,91.10071289062489,4.608307681327388
amostra_0419_2623.75.npy,2623.75,2689.2046,65.45458984375,2.4946961350643164
amostra_0426_3202.76.npy,3202.76,3261.6262,58.86622070312478,1.8379841356556463
amostra_0427_2634.66.npy,2634.66,2580.042,54.618007812499854,2.0730571615502518
amostra_0428_1456.09.npy,1456.09,1531.3612,75.27120605468758,5.169406153100947
amostra_0431_1674.43.npy,1674.43,1650.001,24.429023437500064,1.4589456374706653
amostra_0433_2701.05.npy,2701.05,2764.9177,63.86772460937482,2.3645517339321676
amostra_0443_2135.53.npy,2135.53,2153.8928,18.3628222656248,0.8598718943599386
amostra_0449_3101.60.npy,3101.6,3325.2024,223.6023925781251,7.209259497618167
amostra_0456_2626.65.npy,2626.65,2609.3132,17.33676757812509,0.6600334105467075
amostra_0462_2575.47.npy,2575.47,2661.094,85.6239941406252,3.3245968363298815
amostra_0463_2250.15.npy,2250.15,2286.3003,36.15029296874991,1.6065725826611519
amostra_0464_2240.28.npy,2240.28,2164.9365,75.3434765625002,3.363127669867168
amostra_0468_3957.91.npy,3957.91,4062.722,104.81192382812515,2.6481633950273036
amostra_0469_2368.88.npy,2368.88,2562.6538,193.7738085937499,8.179975709776345
amostra_0475_1925.58.npy,1925.58,1931.0685,5.488481445312573,0.28503004005611676
amostra_0476_2587.75.npy,2587.75,2546.844,40.906005859375,1.5807557089894695
amostra_0477_2877.18.npy,2877.18,2820.7134,56.466621093749836,1.9625682471638841
amostra_0478_2542.97.npy,2542.97,2739.994,197.0238964843752,7.747786898169275
amostra_0481_2876.45.npy,2876.45,3021.4668,145.01679687500018,5.041519820438394
amostra_0489_3006.65.npy,3006.65,3085.0828,78.43276367187491,2.6086429638260156
amostra_0494_2437.37.npy,2437.37,2500.4524,63.08239257812511,2.588133626742149
amostra_0495_1978.13.npy,1978.13,2147.1548,169.0247851562499,8.544675282021398
amostra_0500_3077.68.npy,3077.68,3082.608,4.927910156250164,0.16011769112611332
amostra_0516_1693.16.npy,1693.16,1692.4974,0.6625634765625819,0.039131769978181734
amostra_0533_1912.92.npy,1912.92,2046.3595,133.43949707031243,6.9756966872797825
amostra_0534_2899.72.npy,2899.72,3051.9072,152.1872265625002,5.248342135188922
amostra_0537_2247.99.npy,2247.99,2423.708,175.71800781250022,7.816672129880481
amostra_0550_3025.06.npy,3025.06,3187.2031,162.14312500000005,5.359996991795206
amostra_0551_2564.78.npy,2564.78,2656.0813,91.3012988281248,3.5598101524545886
amostra_0558_2948.83.npy,2948.83,3131.4531,182.62312500000007,6.193070641576492
amostra_0569_2458.08.npy,2458.08,2343.6477,114.43229492187493,4.655352751817472
amostra_0571_3328.44.npy,3328.44,3443.8108,115.37079101562495,3.466212129875405
amostra_0579_2980.87.npy,2980.87,3101.8005,120.93053710937511,4.056887321801189
amostra_0608_4450.13.npy,4450.13,4489.261,39.13123046874989,0.8793278054517484
amostra_0618_1077.96.npy,1077.96,1076.2922,1.6677636718750364,0.15471480127973544
amostra_0628_2031.90.npy,2031.9,1992.8628,39.03720703125009,1.921216941348004
amostra_0630_2041.58.npy,2041.58,2214.5825,173.00251953125007,8.473952504004254
amostra_0636_1830.03.npy,1830.03,1911.8381,81.80813476562503,4.470316594024417
amostra_0637_1542.21.npy,1542.21,1520.514,21.695961914062536,1.406809832257769
amostra_0639_2206.97.npy,2206.97,2263.3984,56.4284375000002,2.556828479770917
amostra_0667_1257.38.npy,1257.38,1376.7487,119.36865722656239,9.493443288947047
amostra_0669_2696.74.npy,2696.74,2737.5708,40.83080078125022,1.5140799921850168
amostra_0670_2377.52.npy,2377.52,2306.5657,70.95432617187498,2.9843839871746605
amostra_0672_2449.99.npy,2449.99,2417.2542,32.73584960937478,1.3361625806380755
amostra_0679_3233.54.npy,3233.54,3268.441,34.900917968750036,1.0793408452887558
amostra_0683_1554.05.npy,1554.05,1613.3955,59.345507812500045,3.818764377754902
amostra_0689_2503.67.npy,2503.67,2528.709,25.038984374999927,1.0000912410581237
amostra_0698_3356.15.npy,3356.15,3443.9329,87.78286132812491,2.6155821798228596
amostra_0699_3542.87.npy,3542.87,3514.992,27.87805664062489,0.7868777753805499
amostra_0705_1823.81.npy,1823.81,1830.945,7.134946289062555,0.39121105208670615
amostra_0706_2651.37.npy,2651.37,2672.1008,20.73083007812511,0.7818912516218073
amostra_0714_3481.99.npy,3481.99,3510.8218,28.83177734375022,0.8280258514168686
amostra_0718_2863.69.npy,2863.69,2947.891,84.20111328124995,2.940301264496155
amostra_0720_2495.42.npy,2495.42,2647.1902,151.77018554687493,6.08194955345693
amostra_0721_2574.07.npy,2574.07,2750.9707,176.90070312499984,6.872412293566213
