amostra,valor_real,valor_predito
amostra_0001_37.58.csv,37.58,32.579493433237076
amostra_0006_33.93.csv,33.93,32.579493433237076
amostra_0010_31.60.csv,31.6,31.832257345318794
amostra_0017_32.36.csv,32.36,31.98170456290245
amostra_0019_34.41.csv,34.41,29.889443516731262
amostra_0023_28.91.csv,28.91,30.188337951898575
amostra_0028_28.43.csv,28.43,29.441101863980293
amostra_0032_30.95.csv,30.95,32.13115178048611
amostra_0035_29.19.csv,29.19,29.291654646396637
amostra_0043_34.96.csv,34.96,34.82120169699192
amostra_0044_35.02.csv,35.02,34.223412826657295
amostra_0045_34.93.csv,34.93,34.223412826657295
amostra_0052_35.68.csv,35.68,35.26954334974289
amostra_0062_36.89.csv,36.89,36.614568307995796
amostra_0066_31.63.csv,31.63,31.383915692567825
amostra_0068_32.88.csv,32.88,31.98170456290245
amostra_0078_37.18.csv,37.18,35.418990567326546
amostra_0085_31.28.csv,31.28,30.7861268222332
amostra_0087_35.67.csv,35.67,34.52230726182461
amostra_0092_36.21.csv,36.21,34.82120169699192
amostra_0097_31.56.csv,31.56,31.085021257400513
amostra_0103_29.43.csv,29.43,30.7861268222332
amostra_0112_36.14.csv,36.14,33.775071173906326
amostra_0135_29.06.csv,29.06,28.843312993645668
amostra_0144_30.91.csv,30.91,31.23446847498417
amostra_0145_29.04.csv,29.04,29.441101863980293
amostra_0159_27.76.csv,27.76,28.245524123311043
amostra_0174_36.29.csv,36.29,36.76401552557945
amostra_0180_30.97.csv,30.97,30.935574039816856
amostra_0185_29.21.csv,29.21,29.14220742881298
amostra_0190_33.15.csv,33.15,28.544418558478355
amostra_0195_29.49.csv,29.49,28.69386577606201
amostra_0206_27.92.csv,27.92,28.245524123311043
amostra_0216_33.66.csv,33.66,33.775071173906326
amostra_0219_32.59.csv,32.59,32.28059899806976
amostra_0223_34.42.csv,34.42,34.52230726182461
amostra_0239_31.62.csv,31.62,30.7861268222332
amostra_0247_30.51.csv,30.51,31.23446847498417
amostra_0260_29.63.csv,29.63,30.487232387065887
amostra_0263_34.94.csv,34.94,33.775071173906326
amostra_0265_32.06.csv,32.06,31.832257345318794
amostra_0267_28.35.csv,28.35,27.94662968814373
amostra_0277_27.08.csv,27.08,26.900499165058136
amostra_0295_32.58.csv,32.58,31.383915692567825
amostra_0298_37.32.csv,37.32,36.46512109041214
amostra_0308_32.48.csv,32.48,31.98170456290245
amostra_0314_28.47.csv,28.47,27.647735252976418
amostra_0317_32.53.csv,32.53,32.579493433237076
amostra_0321_27.28.csv,27.28,26.601604729890823
amostra_0330_26.50.csv,26.5,26.003815859556198
amostra_0334_31.37.csv,31.37,30.935574039816856
amostra_0336_31.95.csv,31.95,30.7861268222332
amostra_0342_32.59.csv,32.59,31.832257345318794
amostra_0343_31.90.csv,31.9,30.935574039816856
amostra_0344_33.84.csv,33.84,32.72894065082073
amostra_0345_35.03.csv,35.03,35.12009613215923
amostra_0350_28.55.csv,28.55,27.94662968814373
amostra_0360_30.38.csv,30.38,30.188337951898575
amostra_0365_32.82.csv,32.82,32.87838786840439
amostra_0368_30.58.csv,30.58,30.7861268222332
