timestamp,Urms_L1,Irms_L1,Frequencia_L1,Pwatt_L1,Qvar_L1,Sva_L1,CosF_L1,EnergiaAcumulada_KWh
0,217.592,7.1337,60.0067,3417.77,3662.94,5009.49,0.68,0.0192
60000,217.7028,7.1155,59.9504,3406.67,3658.5,4999.34,0.68,0.0385
120000,217.6987,7.0006,59.9645,3359.74,3597.08,4918.65,0.68,0.0577
180000,218.0614,6.7802,59.9504,3279.47,3471.48,4771.92,0.69,0.0767
240000,218.1454,6.6876,59.9504,3253.32,3407.08,4708.1,0.69,0.0953
300000,218.2594,6.4364,59.9645,3162.73,3253.87,4534.27,0.7,0.1134
360000,218.4543,6.2662,59.9786,3098.82,3153.28,4418.29,0.7,0.1311
420000,218.71,5.9749,59.9504,2979.73,2989.05,4217.2,0.71,0.1482
480000,220.1865,5.8744,59.9645,2948.16,2959.07,4174.37,0.71,0.165
540000,219.4292,5.8659,59.9786,2938.82,2940.96,4154.52,0.71,0.1817
600000,220.3116,4.3912,59.9645,2267.04,2146.59,3122.26,0.73,0.1963
660000,220.1557,4.5161,59.9645,2333.87,2203.25,3208.74,0.73,0.2094
720000,220.3447,4.5158,59.9364,2337.26,2203.13,3211.44,0.73,0.2226
780000,220.6561,4.5156,59.9645,2336.67,2211.06,3215.58,0.73,0.2359
840000,219.2748,5.1706,59.9786,3006.9,2087.24,3658.68,0.82,0.2493
900000,219.0582,5.9194,59.9504,3316.25,2556.97,4184.87,0.79,0.2674
960000,218.8521,5.8593,59.9504,3282.32,2520.34,4138.34,0.79,0.2861
1020000,218.7906,5.7885,59.9786,3249.22,2480.9,4087.47,0.79,0.3047
1080000,218.503,5.8926,60.0067,3301.51,2525.74,4155.35,0.79,0.3232
1140000,218.6225,5.3567,59.9786,3071.63,2205.8,3779.56,0.81,0.3418
1200000,219.0894,5.0723,60.0067,2962.17,2028.88,3586.65,0.82,0.3585
1260000,218.2423,5.143,60.0348,2985.44,2058.23,3622.64,0.82,0.3754
1320000,218.5177,5.1509,60.0067,2983.59,2071.24,3632.31,0.82,0.3924
1380000,219.1219,5.1124,60.0067,2979.14,2048.53,3615.44,0.82,0.4093
1440000,218.6367,6.0505,60.0067,3031.54,3005.41,4269.56,0.71,0.4265
1500000,220.1855,5.9405,60.0067,2979.67,2990.4,4221.1,0.71,0.4435
1560000,220.4739,5.88,60.0067,2949.33,2966.33,4183.71,0.71,0.4603
1620000,221.0185,4.9267,59.9926,2546.9,2422.63,3514.08,0.72,0.4765
