timestamp,Urms_L1,Irms_L1,Frequencia_L1,Pwatt_L1,Qvar_L1,Sva_L1,CosF_L1,EnergiaAcumulada_KWh
0,229.9862,2.9537,59.9786,1351.86,1726.26,2191.94,0.62,0.0077
60000,230.0652,2.9332,59.9926,1341.39,1712.42,2177.48,0.62,0.0154
120000,229.9819,2.9438,60.0207,1347.74,1720.07,2184.21,0.62,0.0231
180000,228.7773,2.9119,59.9504,1321.76,1695.65,2150.08,0.61,0.0306
240000,229.1196,2.9137,59.9926,1322.21,1703.3,2154.28,0.61,0.0381
300000,229.4996,2.9251,59.9786,1327.24,1713.03,2166.0,0.61,0.0457
360000,229.437,2.9347,59.9926,1340.78,1711.41,2172.49,0.62,0.0532
420000,229.6624,2.9035,59.9645,1310.59,1705.86,2151.5,0.61,0.0608
480000,229.5377,2.9084,59.9645,1311.96,1708.1,2154.2,0.61,0.0684
540000,229.3707,2.9235,60.0067,1331.06,1707.65,2164.65,0.61,0.0759
600000,229.6401,2.9108,59.9786,1324.94,1705.39,2157.7,0.61,0.0834
660000,229.4511,2.9161,59.9645,1326.57,1705.35,2159.78,0.61,0.0909
720000,229.6703,2.9025,59.9926,1323.88,1695.44,2152.03,0.62,0.0984
780000,228.8535,2.1179,60.0067,1371.65,752.04,1563.68,0.88,0.1061
840000,228.7916,2.1124,59.9786,1367.23,749.33,1559.14,0.88,0.1139
900000,228.8791,2.0937,59.9926,1371.31,716.27,1547.04,0.89,0.1217
960000,228.5694,2.0901,59.9786,1367.04,712.69,1542.81,0.89,0.1294
1020000,228.7062,2.0829,59.9786,1367.26,703.19,1538.55,0.89,0.1372
1080000,230.0722,2.0898,59.9926,1363.14,739.8,1551.03,0.88,0.1449
1140000,230.2487,2.0819,59.9926,1361.69,733.84,1546.76,0.88,0.1527
1200000,230.219,2.0747,60.0207,1357.67,728.63,1541.13,0.88,0.1605
1260000,230.4383,2.1085,60.0207,1379.82,745.48,1567.75,0.88,0.1683
1320000,230.4702,2.0877,60.0207,1376.27,721.96,1553.26,0.89,0.176
1380000,227.9525,2.9805,59.9504,1356.11,1722.07,2192.22,0.62,0.1841
1440000,228.0611,2.9264,59.9786,1322.16,1701.24,2153.54,0.61,0.1917
1500000,227.6109,2.9264,59.9786,1315.88,1701.36,2149.26,0.61,0.1992
1560000,227.2441,2.9345,59.9504,1331.32,1693.91,2152.69,0.62,0.2067
