timestamp,Urms_L1,Irms_L1,Frequencia_L1,Pwatt_L1,Qvar_L1,Sva_L1,CosF_L1,EnergiaAcumulada_KWh
0,227.9892,3.7586,59.9223,2177.85,1703.16,2764.92,0.79,0.0124
60000,228.5853,3.7548,59.9786,2190.25,1697.28,2769.81,0.79,0.0249
120000,228.5117,3.7429,59.9926,2181.03,1690.42,2759.5,0.79,0.0372
180000,228.324,3.8029,59.9926,2231.36,1698.01,2802.22,0.8,0.0497
240000,228.1913,3.7667,60.0348,2201.35,1691.36,2774.1,0.79,0.0623
300000,229.7253,3.7645,60.0067,2220.64,1691.24,2791.6,0.8,0.0749
360000,230.4971,3.7684,59.9786,2231.6,1702.0,2803.63,0.79,0.0875
420000,230.1049,3.7954,59.9786,2233.12,1722.55,2818.12,0.79,0.1002
480000,229.6049,3.7827,60.0067,2219.32,1711.52,2802.61,0.79,0.1129
540000,229.9276,3.7369,59.9926,2192.01,1698.65,2772.4,0.79,0.1254
600000,230.5879,2.8019,60.0067,1767.51,1110.1,2084.55,0.85,0.1375
660000,231.123,2.4326,59.9786,1556.43,931.31,1813.64,0.86,0.1467
720000,231.7545,1.3055,59.9645,945.02,246.2,977.09,0.97,0.1544
780000,229.5136,1.2987,60.0207,920.24,278.98,961.35,0.96,0.1597
840000,229.6349,1.2929,60.0207,926.36,250.99,958.58,0.97,0.165
900000,229.828,1.3048,59.9926,925.16,285.45,967.06,0.96,0.1703
960000,229.6978,1.3077,59.9786,935.14,262.91,969.78,0.96,0.1756
1020000,229.193,3.2437,59.9364,1912.68,1450.92,2400.01,0.8,0.1843
1080000,229.3466,2.4228,59.9926,1401.95,1121.91,1794.04,0.78,0.195
1140000,229.3749,2.415,60.0067,1392.4,1119.63,1787.47,0.78,0.2029
1200000,229.993,1.7353,59.9786,1088.04,689.49,1287.48,0.84,0.2097
1260000,229.2585,1.7371,60.0067,1092.2,680.23,1284.97,0.85,0.2159
1320000,230.8376,1.7979,59.9645,1155.35,681.38,1340.18,0.86,0.2222
1380000,230.1259,1.7414,60.0067,1109.93,664.99,1294.1,0.86,0.2287
