timestamp,Urms_L1,Irms_L1,Frequencia_L1,Pwatt_L1,Qvar_L1,Sva_L1,CosF_L1,EnergiaAcumulada_KWh
0,225.0185,3.8641,59.9786,1615.77,2295.96,2805.8,0.57,0.0092
60000,226.2385,2.5447,60.0067,1001.55,1565.23,1858.56,0.54,0.0161
120000,225.623,2.5415,59.9645,995.85,1560.57,1850.12,0.54,0.0219
180000,224.0817,2.5615,60.0067,1026.43,1542.41,1852.8,0.55,0.0276
240000,223.2345,2.5583,59.9786,1025.53,1532.76,1842.96,0.56,0.0335
300000,223.1613,2.5804,60.0067,1032.3,1544.83,1858.07,0.56,0.0393
360000,223.2003,2.5454,59.9926,998.76,1536.65,1833.24,0.55,0.0451
420000,222.8535,1.7469,60.0207,659.37,1069.82,1256.15,0.52,0.0507
480000,215.48,17.5873,59.9786,9801.71,7312.79,12229.95,0.8,0.0683
540000,223.6733,3.4039,60.0207,1345.93,2057.16,2456.89,0.55,0.1255
600000,224.9542,3.347,60.0067,1341.7,2027.59,2430.65,0.55,0.1332
660000,226.8149,2.5897,59.9364,1034.37,1589.37,1895.11,0.54,0.1401
720000,227.7957,2.5912,60.0488,1030.84,1603.26,1904.6,0.54,0.1459
780000,227.7142,1.6721,60.0067,1052.26,634.97,1228.65,0.86,0.1519
840000,227.6826,1.69,59.9645,1062.75,644.09,1241.34,0.85,0.158
900000,227.7588,1.6817,59.9926,1057.9,641.16,1235.81,0.85,0.164
960000,228.1203,1.6812,59.9786,1059.04,639.82,1237.43,0.86,0.1701
1020000,228.2056,1.6825,59.9786,1060.46,640.16,1238.81,0.86,0.1761
1080000,226.8843,1.6907,59.9364,1057.15,643.62,1237.44,0.85,0.1822
1140000,225.8054,0.7292,60.0348,465.15,259.5,532.24,-0.87,0.1856
1200000,225.9899,0.7189,59.9504,447.79,272.82,523.97,-0.85,0.1882
1260000,225.9898,0.7201,59.9645,447.36,274.83,524.72,-0.85,0.1908
1320000,226.0396,0.7666,59.9926,490.1,272.72,560.0,-0.87,0.1935
1380000,225.4837,1.39,59.9926,467.86,896.63,1011.57,0.46,0.1965
1440000,223.8728,1.3681,59.9926,456.94,876.91,988.4,0.46,0.1992
1500000,226.9843,1.3625,60.0488,442.75,894.66,997.86,0.44,0.2017
1560000,226.9678,1.3664,59.9926,460.1,890.18,1001.71,0.46,0.2043
1620000,227.6692,1.3657,59.9926,451.05,896.68,1003.4,0.45,0.2068
1680000,228.0259,3.4285,60.0067,1377.7,2112.84,2523.1,0.55,0.2116
1740000,226.9199,5.7426,59.9926,2379.07,3470.36,4204.7,0.56,0.2233
1800000,226.2922,4.3803,59.9926,1845.95,2613.34,3198.86,0.58,0.2359
1860000,230.611,3.8458,59.9645,1659.06,2331.97,2862.02,0.58,0.2454
1920000,228.9106,3.824,59.9645,1631.75,2306.49,2823.41,0.58,0.2547
1980000,227.3226,3.8007,59.9364,1608.08,2279.03,2788.32,0.58,0.2639
2040000,231.0073,3.8087,59.9645,1634.85,2322.43,2839.04,0.58,0.2731
2100000,229.3034,2.9041,59.9645,1677.42,1343.7,2148.84,0.78,0.2824
2160000,229.4435,2.9047,59.9926,1676.61,1349.3,2150.74,0.78,0.292
