timestamp,Urms_L1,Irms_L1,Frequencia_L1,Pwatt_L1,Qvar_L1,Sva_L1,CosF_L1,EnergiaAcumulada_KWh
0,229.838,4.6144,59.9786,2241.24,2589.14,3422.83,0.65,0.0954
60000,229.8158,4.911,59.9504,2473.75,2674.09,3642.45,0.68,0.1088
120000,230.1837,5.4899,59.9223,2872.44,2897.79,4078.86,0.7,0.1249
180000,230.044,5.4871,59.9364,2855.41,2909.81,4073.38,0.7,0.1411
240000,231.1469,5.1322,59.9645,2640.86,2776.07,3828.62,0.69,0.1573
300000,231.7189,5.2266,59.9504,2711.99,2817.6,3908.51,0.69,0.172
360000,231.1957,5.1641,59.9364,2667.88,2784.1,3852.98,0.69,0.1872
420000,231.4518,5.2858,59.9504,2750.49,2832.36,3948.19,0.7,0.2025
480000,231.4375,5.3183,59.9223,2778.31,2839.68,3972.39,0.7,0.2184
540000,230.819,5.4365,59.9364,2842.28,2887.41,4049.84,0.7,0.2344
600000,230.0114,5.4116,59.9504,2822.71,2859.55,4017.2,0.7,0.2505
660000,231.0563,4.6157,59.9504,2484.82,2380.77,3441.56,0.72,0.2664
720000,230.517,4.1994,59.9504,2255.64,2162.57,3123.99,0.72,0.2798
780000,228.9141,4.2695,59.9645,2286.06,2177.16,3154.22,0.72,0.2926
840000,228.5869,4.2474,59.9786,2276.2,2157.54,3133.64,0.73,0.3055
900000,227.4017,4.244,59.9504,2257.83,2148.36,3114.36,0.72,0.3182
960000,227.2632,4.185,59.9504,2221.16,2117.7,3069.63,0.72,0.3309
1020000,227.795,4.2218,59.9645,2245.88,2141.61,3103.72,0.72,0.3433
1080000,227.5252,6.2587,59.9504,3170.17,3332.11,4595.66,0.69,0.3603
1140000,227.1898,6.2934,59.9645,3182.16,3340.97,4613.97,0.69,0.3782
1200000,227.0627,5.3393,59.9504,2766.86,2770.26,3912.55,0.71,0.3955
1260000,229.5728,4.2484,59.9645,2272.05,2181.82,3147.03,0.72,0.4087
1320000,230.4061,4.223,59.9504,2265.75,2177.36,3140.16,0.72,0.4216
1380000,230.2095,4.1878,59.9364,2246.51,2151.43,3111.47,0.72,0.4343
1440000,230.5601,4.245,59.9223,2280.75,2185.58,3158.24,0.72,0.447
1500000,230.2912,4.2109,59.9364,2261.45,2163.94,3129.71,0.72,0.46
1560000,230.7912,4.2362,59.9223,2297.74,2165.88,3155.36,0.73,0.4728
1620000,229.7446,4.4601,59.9504,2428.1,2248.46,3306.76,0.73,0.4862
1680000,230.5409,4.441,59.9223,2421.68,2247.52,3303.94,0.73,0.5001
1740000,230.9743,3.096,59.9083,1743.06,1512.43,2307.97,0.76,0.5115
1800000,231.7286,3.2598,59.9083,1853.1,1584.18,2437.88,0.76,0.5219
1860000,227.5858,4.8925,59.9083,2618.37,2465.81,3593.66,0.73,0.5331
1920000,227.7154,5.1853,59.9083,2714.42,2672.81,3810.27,0.71,0.5495
1980000,229.1322,3.8831,59.9083,2548.44,1329.13,2871.07,0.89,0.5638
2040000,228.1197,3.8244,59.9504,2503.28,1292.27,2815.01,0.89,0.5779
2100000,227.7032,3.8297,59.9786,2505.7,1281.21,2813.83,0.89,0.5922
2160000,227.3975,5.7334,59.9786,3415.44,2457.13,4207.45,0.81,0.6085
2220000,229.0883,5.6407,60.0067,3408.16,2410.16,4170.35,0.82,0.6279
2280000,230.1524,5.3077,59.9926,3272.28,2205.32,3942.94,0.83,0.6469
2340000,230.6119,4.9248,60.0067,3105.17,1953.69,3664.97,0.85,0.6643
2400000,231.164,4.9413,59.9786,3116.68,1968.12,3686.35,0.85,0.6818
2460000,230.4223,4.8976,59.9786,3083.45,1938.25,3642.29,0.85,0.6994
2520000,230.0981,4.9297,59.9926,3103.07,1945.8,3660.83,0.85,0.717
