timestamp,Urms_L1,Irms_L1,Frequencia_L1,Pwatt_L1,Qvar_L1,Sva_L1,CosF_L1,EnergiaAcumulada_KWh
0,230.8192,3.6737,59.9786,1561.34,2249.31,2737.11,0.57,0.0087
60000,230.9137,2.905,59.9786,1241.88,1774.36,2165.77,0.57,0.0164
120000,230.6096,2.9326,59.9926,1255.99,1785.94,2182.58,0.57,0.0234
180000,230.882,2.8978,60.0067,1245.32,1766.84,2160.2,0.58,0.0304
240000,230.3072,2.9202,59.9645,1249.61,1774.36,2170.08,0.58,0.0375
300000,233.1537,2.907,59.9786,1257.0,1792.25,2187.09,0.57,0.0446
360000,231.0154,1.58,59.9786,583.31,1022.24,1178.1,0.5,0.0503
420000,232.0784,1.6331,59.9926,628.57,1050.46,1223.4,0.51,0.0537
480000,232.5265,1.6225,59.9786,612.85,1052.09,1217.35,0.5,0.0572
540000,232.8267,1.6168,59.9504,605.66,1053.62,1214.73,0.5,0.0606
600000,232.3478,1.58,59.9645,578.64,1033.91,1184.34,0.49,0.064
660000,234.1873,1.5476,60.0067,557.36,1028.24,1169.8,0.48,0.0673
720000,233.3126,1.5548,59.9786,569.67,1023.0,1171.35,0.49,0.0706
780000,234.9098,3.373,60.0067,1446.67,2107.79,2557.04,0.57,0.0747
840000,232.7001,3.6589,60.0207,1541.23,2275.92,2747.29,0.56,0.0836
900000,230.5277,2.6858,60.0067,1569.01,1240.31,1998.56,0.78,0.0926
960000,231.844,2.032,60.0067,1288.15,809.79,1521.31,0.85,0.1013
1020000,232.0367,2.0219,60.0067,1282.66,807.23,1513.74,0.85,0.1086
1080000,231.7229,1.9718,59.9504,1249.17,781.77,1474.47,0.85,0.1158
1140000,232.7034,2.0196,59.9786,1282.47,808.8,1516.28,0.85,0.1231
1200000,232.0276,1.9985,59.9786,1271.79,788.34,1496.54,0.85,0.1303
1260000,231.0728,1.9992,59.9786,1266.39,788.58,1490.34,0.85,0.1375
1320000,231.062,2.0301,60.0348,1285.98,796.27,1513.72,0.85,0.1446
1380000,232.1605,2.0179,59.9786,1281.06,801.99,1511.63,0.85,0.1519
1440000,233.011,1.6693,59.9786,651.3,1073.45,1255.36,0.52,0.1577
1500000,233.739,1.6306,59.9926,618.46,1063.17,1230.12,0.5,0.1611
1560000,233.6392,1.5911,59.9645,605.39,1036.99,1201.01,0.5,0.1644
1620000,233.9961,1.599,59.9645,593.09,1052.33,1207.38,0.49,0.1677
1680000,232.2197,1.5692,59.9926,566.24,1030.91,1175.9,0.48,0.1711
1740000,230.0503,1.5574,59.9926,571.14,1005.27,1156.94,0.49,0.1744
1800000,232.7792,1.561,60.0067,569.23,1024.73,1172.39,0.49,0.1778
1860000,229.794,2.3005,59.9504,968.44,1406.63,1707.0,0.57,0.1815
1920000,231.2258,3.6499,60.0207,1549.72,2238.18,2722.8,0.57,0.1898
1980000,229.8309,3.583,60.0067,1518.62,2181.52,2657.08,0.57,0.1985
2040000,230.3787,3.5724,60.0067,1512.15,2182.39,2655.75,0.57,0.2071
2100000,233.0187,2.94,60.1051,1253.7,1819.77,2210.0,0.57,0.2156
2160000,232.9073,2.8275,59.9926,1193.69,1757.29,2124.74,0.56,0.2225
2220000,234.0471,2.8334,59.9504,1210.95,1765.93,2140.96,0.57,0.2294
2280000,232.927,2.8353,59.9786,1206.09,1758.02,2131.04,0.57,0.2363
2340000,231.7015,1.9987,60.0207,815.5,1252.62,1494.46,0.55,0.2427
2400000,234.0683,1.5547,59.9926,562.17,1030.28,1173.93,0.48,0.2464
2460000,233.4129,1.588,59.9645,583.95,1043.85,1195.96,0.49,0.2497
2520000,234.4324,1.5571,59.9504,562.24,1035.39,1177.49,0.48,0.253
2580000,234.3747,1.5935,60.0207,590.83,1050.43,1205.13,0.49,0.2563
2640000,233.982,1.5504,59.9786,556.83,1028.95,1170.34,0.48,0.2596
2700000,235.2348,1.5938,59.9926,590.66,1055.0,1209.36,0.49,0.2629
2760000,235.9101,1.5551,59.9786,565.7,1040.25,1183.57,0.48,0.2662
2820000,234.3179,1.5848,59.9926,589.15,1044.44,1198.45,0.49,0.2695
2880000,232.8694,3.6717,59.9504,1543.35,2288.64,2758.47,0.56,0.2745
2940000,231.1172,3.5795,59.9645,1501.16,2209.37,2669.48,0.56,0.2833
3000000,233.7466,3.5568,59.9645,1532.59,2205.48,2683.85,0.57,0.2918
3060000,234.0075,2.6065,59.9786,1570.34,1187.57,1969.11,0.8,0.3008
3120000,232.0806,1.9456,59.9645,1238.54,766.74,1456.89,0.85,0.309
3180000,234.4538,1.9631,59.9364,1263.98,780.97,1485.6,0.85,0.3162
3240000,233.6533,1.96,60.0348,1267.57,761.3,1479.04,0.86,0.3234
3300000,233.4666,1.9462,59.9926,1263.63,744.11,1467.9,0.86,0.3306
3360000,234.6789,1.9567,59.9645,1263.05,778.03,1481.82,0.85,0.3379
3420000,233.092,0.9489,59.9786,631.02,338.38,714.94,-0.88,0.3422
3480000,235.4469,0.9666,59.9926,639.25,363.02,734.31,-0.87,0.3459
3540000,234.6322,0.9834,59.9786,642.74,376.81,744.01,-0.86,0.3495
3600000,234.4047,1.6343,59.9645,626.59,1066.37,1236.29,0.51,0.3532
3660000,232.5749,1.563,59.9504,561.19,1029.45,1172.57,0.48,0.3568
3720000,233.2956,1.5854,59.9645,586.87,1040.25,1193.48,0.49,0.36
3780000,233.49,1.5728,60.0067,574.86,1036.57,1185.18,0.48,0.3632
3840000,232.9996,1.528,59.9645,540.41,1013.79,1148.98,0.47,0.3664
3900000,233.895,1.5528,59.9504,569.85,1025.99,1173.29,0.49,0.3695
3960000,234.135,1.5213,59.9364,533.08,1018.66,1149.46,0.46,0.3727
4020000,233.7193,3.6321,59.9504,1527.4,2274.67,2739.46,0.56,0.3784
4080000,233.9668,3.5267,59.9926,1498.94,2201.47,2664.21,0.56,0.387
4140000,231.0939,3.4836,59.9926,1454.74,2152.61,2598.18,0.56,0.3955
4200000,232.8212,2.8929,60.0207,1210.94,1805.55,2173.04,0.56,0.4037
4260000,232.3258,2.7893,60.0348,1194.53,1718.52,2092.18,0.57,0.4103
4320000,229.3548,2.759,59.9786,1142.96,1693.77,2042.03,0.56,0.417
4380000,230.2094,2.7996,60.0348,1171.39,1717.59,2079.2,0.56,0.4236
4440000,229.1693,2.7624,60.0067,1144.67,1693.68,2042.63,0.56,0.4303
4500000,230.015,1.8781,59.9786,747.91,1177.79,1395.49,0.54,0.4365
4560000,232.4888,1.4828,60.0067,510.58,987.97,1112.21,0.46,0.4399
4620000,231.8479,1.5592,60.0067,541.64,1032.06,1165.85,0.47,0.4429
4680000,233.3727,1.5302,59.9926,540.71,1018.24,1152.39,0.47,0.4459
4740000,233.6014,1.5182,59.9504,535.54,1011.69,1144.44,0.47,0.4489
4800000,234.3674,1.5567,59.9645,1096.25,427.54,1176.66,0.93,0.4527
4860000,234.0834,1.5505,59.9926,1108.44,387.38,1172.59,0.94,0.4589
4920000,233.5981,1.5517,60.0067,1092.11,422.2,1169.28,0.93,0.4651
4980000,233.2667,1.5389,60.0348,1096.92,381.9,1159.67,0.94,0.4713
5040000,232.6377,1.5694,60.0348,1101.26,422.1,1178.31,0.93,0.4775
5100000,233.3585,1.5278,59.9926,1086.06,384.34,1151.29,0.94,0.4837
5160000,231.2395,3.165,59.9786,1926.99,1365.31,2361.73,0.82,0.4908
5220000,232.9466,3.3374,59.9926,2014.05,1496.72,2508.96,0.8,0.5023
5280000,232.2339,3.2838,59.9926,1987.24,1453.07,2461.05,0.81,0.5137
5340000,231.7011,3.2922,59.9926,1985.25,1455.47,2461.64,0.81,0.5251
5400000,232.7748,2.6377,59.9504,1697.93,1023.73,1981.27,0.86,0.5351
5460000,232.3674,2.6241,59.9926,1685.27,1016.09,1967.46,0.86,0.5448
5520000,232.9733,2.5984,60.0067,1670.46,1013.46,1953.4,0.85,0.5544
5580000,232.5781,2.6223,60.0067,1687.44,1016.58,1968.02,0.86,0.564
5640000,232.9756,2.5895,60.0067,1666.56,1006.93,1946.48,0.86,0.5736
5700000,234.9957,1.4878,59.9645,1059.79,387.55,1127.73,0.94,0.5813
5760000,233.9751,1.4743,59.9926,1049.33,364.57,1112.98,0.94,0.5873
5820000,234.3501,1.4875,59.9926,1065.67,363.89,1125.5,0.95,0.5934
