timestamp,Urms_L1,Irms_L1,Frequencia_L1,Pwatt_L1,Qvar_L1,Sva_L1,CosF_L1,EnergiaAcumulada_KWh
0,222.1002,3.6292,59.9786,1787.28,1891.11,2601.28,0.69,3.0055
60000,223.2179,3.5901,59.9786,1780.73,1878.64,2586.28,0.69,3.0156
120000,222.6348,3.6236,59.9223,1801.29,1879.74,2603.51,0.69,3.0258
180000,222.8141,3.5773,59.9645,1769.21,1867.03,2572.25,0.69,3.036
240000,222.9865,3.6611,59.9364,1830.23,1898.34,2634.84,0.69,3.0462
300000,222.9297,3.5882,59.9504,1778.5,1874.02,2581.46,0.69,3.0564
360000,221.7494,3.6501,59.9645,1831.52,1868.46,2614.42,0.7,3.0665
420000,219.6121,3.5054,59.9504,1712.9,1800.17,2484.89,0.69,3.0764
480000,218.9056,3.6292,59.9645,1784.29,1844.27,2564.19,0.69,3.0863
540000,220.3183,3.5311,59.9926,1722.46,1828.48,2510.57,0.69,3.0963
600000,220.1623,3.5684,59.9645,1749.97,1834.14,2535.75,0.69,3.1062
660000,218.1649,3.7094,59.9645,1822.19,1872.05,2611.5,0.7,3.1162
720000,218.1565,3.5679,59.9926,1737.07,1814.76,2512.09,0.69,3.1261
780000,219.0849,3.6032,60.0348,1772.55,1833.85,2548.44,0.69,3.1361
840000,220.0353,3.6409,60.0207,1792.52,1862.79,2585.49,0.69,3.1462
900000,219.8151,3.6185,59.9645,1775.48,1854.54,2567.16,0.69,3.1562
960000,220.5641,3.5613,60.0348,1744.2,1841.9,2535.0,0.69,3.1662
1020000,220.592,3.6115,60.0348,1777.51,1857.06,2571.48,0.69,3.1762
1080000,221.3057,3.5976,59.9786,1775.01,1858.32,2569.38,0.69,3.1861
1140000,222.7559,3.5561,60.0067,1756.25,1858.1,2556.68,0.69,3.1961
1200000,221.5688,3.5447,60.0207,1735.74,1848.29,2534.37,0.68,3.2062
1260000,220.9412,3.6177,59.9926,1785.14,1865.19,2579.82,0.69,3.2161
1320000,221.0629,3.5708,59.9645,1754.04,1850.44,2547.46,0.69,3.2262
1380000,219.3863,3.6344,60.0067,1781.03,1859.69,2572.83,0.69,3.2362
1440000,219.2423,3.6202,60.0348,1770.82,1850.94,2561.35,0.69,3.2462
1500000,218.3346,3.6445,59.9364,1775.55,1857.87,2567.73,0.69,3.2562
1560000,217.5906,3.65,59.9926,1774.76,1851.75,2562.98,0.69,3.2662
1620000,219.8517,3.5615,59.9645,1736.42,1837.26,2527.31,0.69,3.2763
1680000,220.6411,3.6139,60.0067,1774.26,1862.91,2573.35,0.69,3.2863
1740000,220.4154,3.6334,60.0067,1781.13,1873.93,2584.63,0.69,3.2963
1800000,220.7815,3.6181,60.0067,1782.77,1864.05,2578.35,0.69,3.3065
1860000,222.3127,3.6737,60.0067,1824.59,1902.53,2635.83,0.69,3.3166
1920000,222.3645,3.4269,59.9926,1662.15,1813.74,2459.16,0.68,3.3265
1980000,222.376,3.5715,60.0067,1754.49,1869.19,2562.93,0.68,3.3366
2040000,222.248,3.5642,60.0067,1764.17,1850.45,2556.34,0.69,3.3467
2100000,220.3892,3.6674,59.9786,2303.18,1225.79,2608.41,0.88,3.3581
2160000,220.2709,3.6719,59.9786,2303.42,1227.02,2610.39,0.88,3.3712
2220000,221.4982,3.7139,59.9786,2351.76,1231.67,2654.86,0.89,3.3845
2280000,221.5523,3.7581,60.0067,2375.36,1263.85,2687.44,0.88,3.3978
2340000,221.7733,3.6847,60.0067,2332.05,1236.21,2637.04,0.88,3.4112
2400000,220.8608,3.7584,59.9926,2360.25,1268.98,2678.89,0.88,3.4244
2460000,222.2212,3.9468,60.0488,2383.51,1528.12,2830.45,0.84,3.4379
2520000,216.6981,14.2299,59.9645,8054.71,5842.38,9952.35,0.81,3.4602
2580000,216.2797,15.1563,59.9926,8372.48,6463.31,10578.86,0.79,3.5079
2640000,216.4586,15.1241,59.9786,8350.7,6488.75,10565.38,0.79,3.5554
