timestamp,Urms_L1,Irms_L1,Frequencia_L1,Pwatt_L1,Qvar_L1,Sva_L1,CosF_L1,EnergiaAcumulada_KWh
0,225.2046,4.5465,59.9504,2047.32,2592.65,3304.13,0.62,0.0116
60000,225.3093,4.568,59.9786,2065.82,2601.2,3321.97,0.62,0.0233
120000,225.5438,4.5128,59.9504,2024.36,2586.5,3284.74,0.62,0.0349
180000,225.8693,4.5126,59.9364,2031.19,2589.86,3289.4,0.62,0.0465
240000,225.7684,4.5325,59.9364,2040.04,2598.56,3302.56,0.62,0.058
300000,225.6985,4.5244,59.9504,2025.14,2599.57,3294.96,0.61,0.0696
360000,224.513,3.2308,59.9364,1431.6,1850.94,2341.43,0.61,0.079
420000,224.6579,3.2333,59.9645,1417.26,1866.18,2343.85,0.61,0.0871
480000,224.9916,2.3902,59.9645,1478.94,910.22,1736.05,0.85,0.0954
540000,225.0307,2.3967,59.9504,1473.72,928.09,1740.08,0.85,0.1038
600000,225.1019,2.3921,60.0067,1470.84,924.24,1737.11,0.85,0.1122
660000,224.8904,2.4172,59.9926,1487.69,932.34,1754.43,0.85,0.1207
720000,224.8066,2.4015,59.9926,1473.18,928.2,1741.71,0.85,0.1291
780000,224.1898,3.8638,59.9926,2163.78,1769.44,2795.48,0.77,0.1381
840000,224.1875,4.4289,60.0067,2411.45,2110.95,3205.22,0.75,0.1518
900000,224.3788,4.3936,60.0067,2393.98,2095.57,3181.87,0.75,0.1655
960000,224.8296,3.7222,60.0067,2110.83,1685.07,2700.35,0.78,0.1788
1020000,225.2412,3.6749,59.9645,2105.04,1646.59,2671.72,0.79,0.1907
1080000,224.0771,4.6508,60.0067,2100.6,2629.68,3363.46,0.62,0.2029
1140000,224.4305,4.5665,60.0067,2043.88,2599.32,3307.15,0.62,0.2146
1200000,226.2315,4.5621,59.9645,2050.06,2624.38,3330.52,0.62,0.2262
1260000,225.2222,4.553,60.0207,2045.1,2605.22,3309.12,0.62,0.2379
1320000,225.3028,4.5666,59.9786,2048.42,2615.02,3320.05,0.62,0.2495
1380000,225.2355,4.5805,59.9926,2060.8,2616.03,3329.84,0.62,0.2612
1440000,226.0594,3.2357,59.9645,1428.71,1879.02,2360.38,0.61,0.2714
1500000,225.5588,3.2404,59.9786,1427.84,1877.73,2358.28,0.6,0.2796
1560000,223.3497,3.259,60.0067,1435.4,1859.94,2348.82,0.61,0.2877
1620000,223.5744,3.2548,59.9786,1438.78,1858.26,2348.37,0.61,0.2959
1680000,223.7911,3.2346,60.0067,1425.16,1850.41,2335.75,0.61,0.304
1740000,223.7028,3.2615,60.0067,1436.15,1866.0,2354.31,0.61,0.3122
1800000,223.3192,3.2673,59.9926,1444.66,1861.64,2354.96,0.61,0.3204
1860000,223.7959,3.2499,59.9645,1438.38,1857.55,2347.48,0.61,0.3285
1920000,222.9425,5.2188,59.9926,2298.19,2970.45,3755.03,0.61,0.3377
1980000,222.8336,5.3629,59.9926,2361.79,3049.67,3857.01,0.61,0.3512
2040000,222.5732,5.3125,59.9786,2342.74,3015.18,3816.24,0.61,0.3645
2100000,222.9922,4.5236,59.9786,2023.07,2552.51,3255.07,0.62,0.3765
2160000,222.6074,4.7281,59.9786,2201.71,2590.96,3397.43,0.65,0.3886
2220000,222.7384,4.7519,59.9786,2202.69,2613.97,3415.61,0.64,0.4011
2280000,225.0139,3.8877,59.9926,2257.78,1695.89,2822.95,0.8,0.4139
2340000,225.2727,3.8962,59.9926,2264.94,1701.72,2832.26,0.8,0.4268
2400000,225.3841,3.8941,60.0207,2269.25,1696.06,2832.44,0.8,0.4397
2460000,224.964,3.8933,59.9645,2268.24,1691.39,2827.33,0.8,0.4525
2520000,225.1051,3.9193,59.9786,2275.67,1712.23,2847.46,0.8,0.4654
2580000,225.8309,2.6443,60.0067,1659.5,981.38,1928.09,0.86,0.4758
2640000,226.5931,2.6316,59.9786,1653.97,986.8,1924.38,0.86,0.4852
2700000,225.3765,1.7293,60.0207,1180.16,440.73,1258.91,0.94,0.4935
2760000,226.1405,1.4469,59.9786,972.9,409.75,1055.39,0.92,0.4989
2820000,225.8096,2.1437,59.9926,1011.46,1192.71,1562.27,0.65,0.5044
2880000,224.4426,5.0239,60.0207,2254.24,2858.95,3639.48,0.62,0.5118
2940000,224.7734,4.6061,60.0207,2070.35,2624.34,3340.51,0.62,0.5245
3000000,225.001,3.3736,59.9645,1546.22,1901.1,2449.73,0.63,0.5338
3060000,225.1858,3.3157,59.9645,1501.09,1884.55,2409.28,0.62,0.5427
3120000,224.2836,5.4251,59.9786,2444.72,3074.4,3927.88,0.62,0.5542
3180000,224.0291,5.3649,60.0207,2421.57,3032.48,3879.62,0.62,0.5682
3240000,224.5488,4.5844,59.9926,2091.87,2580.73,3321.68,0.63,0.5812
3300000,224.3033,4.6849,59.9926,2171.63,2607.75,3390.98,0.64,0.5932
3360000,224.0654,4.6969,59.9926,2174.6,2609.89,3396.12,0.64,0.6052
3420000,225.6309,4.5861,59.9926,2113.46,2585.23,3340.39,0.63,0.6174
3480000,225.7739,4.5924,59.9926,2109.23,2600.58,3345.85,0.63,0.6295
3540000,225.7203,4.5743,59.9926,2099.84,2586.71,3331.92,0.63,0.6417
3600000,224.8024,4.6971,59.9926,2174.61,2622.43,3407.38,0.64,0.6538
3660000,225.1096,4.7183,59.9926,2189.0,2637.19,3427.35,0.64,0.6659
3720000,225.3661,3.7424,59.9786,1730.6,2101.55,2721.59,0.64,0.678
3780000,226.0652,3.2813,60.0067,1505.49,1862.22,2395.05,0.63,0.6873
3840000,224.9099,3.4056,59.9504,1580.62,1901.31,2472.37,0.64,0.6959
3900000,224.6461,3.3089,59.9504,1514.2,1861.81,2399.49,0.63,0.7045
3960000,225.2545,2.5065,59.9504,1565.59,933.76,1823.3,0.86,0.7133
4020000,225.602,2.4943,59.9926,1554.9,936.54,1816.27,0.86,0.7223
4080000,225.3164,2.6262,59.9645,1645.45,975.52,1910.97,0.86,0.7312
4140000,225.4156,2.5022,59.9786,1551.97,949.89,1819.81,0.85,0.7402
4200000,225.6855,2.5124,60.0067,1558.27,958.09,1829.43,0.85,0.7493
4260000,225.6651,2.5084,60.0067,1557.38,957.98,1826.28,0.85,0.7581
4320000,225.6458,2.5056,59.9645,1556.42,952.2,1824.23,0.85,0.7672
4380000,224.0656,4.6266,59.9786,2544.49,2170.68,3345.04,0.76,0.7808
4440000,224.2853,4.4528,59.9926,2450.43,2093.05,3223.11,0.76,0.795
4500000,226.1308,4.4202,59.9786,2481.61,2063.98,3225.04,0.77,0.809
4560000,226.0354,4.7152,59.9504,2204.83,2640.06,3439.48,0.64,0.8217
4620000,226.3195,4.607,59.9926,2130.2,2608.3,3365.76,0.63,0.8341
4680000,227.3595,2.5348,60.0067,1001.83,1567.85,1859.44,0.54,0.8412
4740000,226.8809,2.5306,59.9926,999.29,1560.08,1852.75,0.54,0.8471
4800000,227.3484,2.5141,59.9645,977.16,1564.9,1844.25,0.53,0.8527
4860000,227.8229,1.3255,60.0067,402.74,887.32,974.38,0.41,0.8561
4920000,226.2924,1.3095,59.9926,395.26,871.82,956.62,0.41,0.8583
4980000,226.788,1.323,59.9645,401.36,880.99,967.99,0.41,0.8606
5040000,226.1605,1.6868,60.0067,610.64,1070.3,1231.79,0.49,0.8638
5100000,226.6033,1.2936,59.9926,378.02,867.22,945.71,0.4,0.8661
5160000,226.8842,1.3145,60.0067,398.25,875.86,962.18,0.41,0.8684
5220000,226.4933,1.3081,60.0207,394.12,870.86,955.93,0.41,0.8706
5280000,226.7305,1.3046,59.9926,390.14,871.06,954.25,0.41,0.8729
5340000,226.859,1.3071,59.9645,403.01,869.07,957.84,0.42,0.8751
5400000,226.7041,1.3135,60.0067,394.55,876.15,960.77,0.41,0.8774
5460000,226.6029,1.3058,59.9504,392.54,870.74,955.24,0.41,0.8797
5520000,228.1719,1.2994,59.9786,378.98,878.7,956.84,0.4,0.8819
5580000,228.6663,1.2936,59.9786,371.89,878.54,954.52,0.39,0.884
5640000,228.6387,1.3022,60.0067,377.72,883.76,960.64,0.39,0.8862
5700000,229.0942,0.7096,59.9504,440.0,286.3,524.43,-0.84,0.8885
5760000,229.2104,0.6843,59.9645,424.02,275.12,506.18,-0.84,0.891
5820000,228.769,0.6972,59.9926,426.21,288.64,514.2,-0.83,0.8934
5880000,228.9678,0.6935,59.9645,426.06,283.96,512.03,-0.83,0.8959
5940000,228.9971,0.6794,59.9504,419.9,271.44,502.16,-0.84,0.8983
6000000,228.0265,0.6855,59.9926,432.82,261.66,505.56,-0.86,0.9007
6060000,227.8661,0.6851,59.9786,416.89,282.76,503.33,-0.83,0.9031
6120000,227.6394,0.6785,59.9926,412.29,279.69,498.02,-0.83,0.9055
6180000,227.8398,0.6881,59.9364,424.4,277.14,506.0,-0.84,0.9078
6240000,228.0069,0.6755,59.9645,411.28,279.03,496.72,-0.83,0.9102
6300000,227.2887,1.35,59.9786,419.22,897.39,990.06,0.42,0.9128
6360000,227.4498,1.2712,59.9786,356.27,862.15,932.8,0.38,0.9149
6420000,227.4753,1.2552,60.0207,342.34,855.24,921.36,0.37,0.9169
6480000,227.2563,1.2602,59.9926,354.69,854.0,924.62,0.38,0.9189
6540000,227.2193,1.2583,60.0067,347.86,854.79,922.46,0.38,0.9209
6600000,228.786,1.251,59.9786,342.8,857.06,924.1,0.37,0.9229
6660000,228.7489,1.262,60.0067,352.58,863.09,932.01,0.38,0.9248
6720000,228.9736,1.2546,59.9645,336.99,863.63,926.75,0.36,0.9268
6780000,228.9046,1.2484,59.9786,332.35,860.04,922.1,0.36,0.9287
6840000,228.5457,1.2461,59.9645,334.43,855.84,918.92,0.36,0.9306
6900000,228.7782,1.266,60.0348,350.12,867.15,934.63,0.37,0.9326
6960000,228.3022,1.2474,59.9786,333.13,856.74,918.74,0.36,0.9345
7020000,228.1134,1.2475,60.0207,335.34,854.63,918.23,0.37,0.9364
7080000,226.7829,1.2299,59.9786,327.94,837.72,900.07,0.37,0.9383
7140000,227.5854,1.243,59.9504,341.58,847.45,913.16,0.37,0.9403
7200000,227.3735,1.2395,59.9786,334.41,845.42,909.04,0.37,0.9422
7260000,226.9038,1.2378,59.9786,337.47,841.27,906.15,0.37,0.9441
7320000,226.9454,1.2328,60.0067,332.89,839.47,902.67,0.37,0.946
7380000,227.2676,0.6553,60.0067,393.56,276.83,480.52,-0.82,0.9481
7440000,227.1496,0.6577,60.0067,390.57,282.39,481.59,-0.81,0.9503
7500000,227.0666,0.6511,60.0207,386.15,279.77,476.72,-0.81,0.9525
7560000,227.2275,0.6607,60.0488,393.51,283.06,484.1,-0.81,0.9547
7620000,226.9657,0.6503,60.0207,391.55,272.79,476.49,-0.82,0.9569
7680000,228.9914,0.6428,60.0067,384.71,278.75,474.85,-0.81,0.9592
7740000,229.5415,0.6687,60.0067,410.06,278.79,495.55,-0.83,0.9614
7800000,229.2542,0.6936,60.0207,432.69,277.78,513.62,-0.84,0.9637
7860000,229.774,0.6887,60.0067,420.06,289.88,510.14,-0.82,0.9661
7920000,229.1175,0.6784,59.9926,412.85,285.47,501.2,-0.82,0.9685
7980000,228.504,1.2992,60.0207,383.6,878.71,958.77,0.4,0.971
8040000,229.2015,1.2632,60.0067,343.9,868.85,934.04,0.37,0.973
8100000,228.1105,1.263,60.0207,354.45,859.79,930.02,0.38,0.975
8160000,226.718,1.253,60.0348,343.45,849.65,916.39,0.37,0.977
8220000,227.0042,1.2511,59.9926,356.92,844.89,917.5,0.39,0.979
8280000,227.2762,1.2559,60.0348,344.49,854.27,920.82,0.37,0.981
8340000,227.2069,1.2503,59.9926,340.58,850.49,916.58,0.37,0.9829
8400000,227.068,1.2449,60.0207,353.0,841.65,913.05,0.39,0.9849
8460000,227.324,1.2498,60.0348,339.33,851.39,916.6,0.37,0.9869
8520000,227.8165,1.2469,59.9786,337.09,852.74,916.59,0.37,0.9888
8580000,227.5043,1.2514,60.0207,339.32,853.38,918.46,0.37,0.9908
8640000,227.9834,1.2497,59.9786,350.67,850.51,920.27,0.38,0.9927
8700000,227.2812,1.249,60.0207,352.7,846.28,916.41,0.38,0.9947
8760000,228.838,1.2606,60.0067,342.14,865.33,930.46,0.37,0.9966
8820000,229.4298,1.2465,60.0067,332.4,860.85,922.72,0.36,0.9986
8880000,229.0589,1.2451,60.0348,332.81,858.39,920.34,0.36,1.0005
8940000,228.937,1.2443,60.0067,341.94,854.27,919.5,0.37,1.0024
9000000,229.3852,0.651,59.9786,396.77,275.5,482.29,-0.82,1.0043
9060000,228.9395,0.6561,60.0067,395.35,279.86,484.28,-0.82,1.0065
9120000,228.3627,0.6515,59.9926,401.37,266.06,480.86,-0.83,1.0088
9180000,226.4273,0.6515,59.9645,389.71,274.61,475.95,-0.82,1.011
9240000,226.3797,0.633,60.0207,374.43,271.47,462.24,-0.81,1.0132
9300000,226.4043,0.6457,59.9786,381.29,277.99,471.29,-0.81,1.0154
9360000,226.5972,0.6501,60.0207,386.51,277.54,475.14,-0.81,1.0176
9420000,227.1567,0.6463,60.0207,392.7,267.19,474.29,-0.83,1.0197
9480000,227.013,0.6389,60.0067,376.56,277.32,467.52,-0.81,1.0219
9540000,227.3105,0.635,60.0207,375.42,275.77,465.5,-0.81,1.0241
9600000,226.9119,1.3289,60.0207,404.69,884.54,972.88,0.42,1.0264
9660000,226.8624,1.2383,60.0067,351.7,836.54,907.53,0.39,1.0285
9720000,226.6021,1.2239,59.9926,333.24,831.6,895.51,0.37,1.0304
9780000,228.4799,1.2192,60.0207,314.26,841.98,898.55,0.35,1.0323
9840000,228.6438,1.2183,59.9926,325.74,838.66,899.7,0.36,1.0341
9900000,228.8584,1.2285,60.0067,326.95,847.16,907.55,0.36,1.0359
