arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_relativo_%
amostra_0832_1039.88.npy,1039.88,1235.2477,195.3676806640624,18.787521700971492
amostra_0589_1042.61.npy,1042.61,1362.9127,320.3027197265626,30.721239938861377
amostra_0865_1125.52.npy,1125.52,1529.4412,403.921162109375,35.88751529154302
amostra_0459_1127.35.npy,1127.35,1365.6925,238.3425048828126,21.14183748461548
amostra_0101_1239.89.npy,1239.89,1399.8636,159.9736474609374,12.902245155694244
amostra_1063_1351.73.npy,1351.73,1598.2133,246.48325683593748,18.234651656465232
amostra_0681_1372.93.npy,1372.93,1406.8864,33.956352539062436,2.473276317005414
amostra_0764_1432.83.npy,1432.83,1415.5502,17.279829101562427,1.2059929720596603
amostra_1158_1439.20.npy,1439.2,1728.8708,289.67084960937495,20.127213007877636
amostra_0819_1444.90.npy,1444.9,1326.7117,118.18833007812509,8.179689257258293
amostra_0318_1457.07.npy,1457.07,1699.5125,242.44245117187506,16.63903938533324
amostra_1170_1459.74.npy,1459.74,1784.6904,324.9504296875,22.260843005432474
amostra_0973_1469.59.npy,1469.59,1450.5803,19.009677734374918,1.293536138268151
amostra_0120_1510.78.npy,1510.78,1497.1431,13.636933593749973,0.9026419196540841
amostra_0719_1518.90.npy,1518.9,1638.2311,119.33107910156241,7.856414451350477
amostra_0990_1519.93.npy,1519.93,1513.3208,6.609199218750064,0.4348357634068716
amostra_0298_1527.91.npy,1527.91,1618.8179,90.90787109374992,5.949818450939513
amostra_0811_1560.36.npy,1560.36,1591.8517,31.4916845703126,2.018231983023956
amostra_0140_1573.00.npy,1573.0,1587.3608,14.36083984375,0.912958667752702
amostra_1135_1574.07.npy,1574.07,1572.0596,2.0104296874999363,0.1277217460151033
amostra_1072_1625.54.npy,1625.54,1519.0057,106.53426269531246,6.553776756973834
amostra_0927_1635.24.npy,1635.24,1758.1251,122.88512207031249,7.514806515882225
amostra_1240_1637.03.npy,1637.03,1511.3407,125.68930175781247,7.67788627928703
amostra_0437_1640.45.npy,1640.45,1652.9548,12.504833984374955,0.7622807147048039
amostra_0357_1657.08.npy,1657.08,1864.1466,207.06660644531257,12.49587264617958
amostra_0141_1668.00.npy,1668.0,1488.0955,179.904541015625,10.785643945780874
amostra_1277_1707.87.npy,1707.87,1430.5638,277.3061572265624,16.23695932515721
amostra_0264_1719.94.npy,1719.94,1677.8922,42.047788085937555,2.4447241232797396
amostra_0115_1720.04.npy,1720.04,1803.4133,83.37333007812504,4.847173907474538
amostra_0731_1727.92.npy,1727.92,1783.4639,55.54386718749993,3.2144929850629618
amostra_0648_1729.13.npy,1729.13,1591.1488,137.9811962890626,7.979804658357821
amostra_1253_1744.87.npy,1744.87,1545.8129,199.0571337890624,11.408135493707979
amostra_0538_1756.79.npy,1756.79,1772.8306,16.040566406250036,0.9130611175069324
amostra_1153_1771.41.npy,1771.41,1624.8984,146.51156250000008,8.270900723152746
amostra_0218_1784.73.npy,1784.73,1453.3578,331.3722119140625,18.567078040603484
amostra_1040_1801.04.npy,1801.04,1495.0957,305.94429687499996,16.98709061847599
amostra_0126_1836.38.npy,1836.38,1923.3087,86.92871582031239,4.73369976912798
amostra_0435_1841.59.npy,1841.59,1818.0393,23.550693359374918,1.2788239162557855
amostra_0878_1844.26.npy,1844.26,1903.3331,59.07312988281251,3.2030803619236172
amostra_1031_1864.00.npy,1864.0,1434.3329,429.6671142578125,23.050810850741012
amostra_0802_1895.30.npy,1895.3,1615.6825,279.61750488281245,14.753205554941829
amostra_0303_1909.20.npy,1909.2,1699.1271,210.07292480468755,11.003191116943617
amostra_0424_1918.45.npy,1918.45,1840.9498,77.50017089843755,4.039728473425814
amostra_1102_1972.16.npy,1972.16,1638.4769,333.6830712890626,16.919675446670784
amostra_0464_1985.55.npy,1985.55,1449.0574,536.492626953125,27.01984976218806
amostra_0113_1988.47.npy,1988.47,1680.1073,308.3627001953125,15.507535954543568
amostra_0086_2000.39.npy,2000.39,1907.0642,93.3257910156251,4.6653798017199195
amostra_0868_2034.61.npy,2034.61,2301.436,266.8260351562501,13.114357796150127
amostra_0313_2042.91.npy,2042.91,2074.3079,31.397861328124918,1.5369184804090692
amostra_0374_2049.70.npy,2049.7,2094.799,45.09907226562518,2.2002767363821625
amostra_0170_2064.37.npy,2064.37,2074.6956,10.32555664062511,0.5001795531142726
amostra_0361_2086.48.npy,2086.48,1944.5249,141.95509765625002,6.8035685775205135
amostra_1250_2103.80.npy,2103.8,2043.7548,60.04523925781268,2.854132486824445
amostra_1168_2105.87.npy,2105.87,2013.7833,92.08667480468739,4.3728565773142405
amostra_0718_2114.88.npy,2114.88,1994.1586,120.72143066406261,5.708192931233101
amostra_0314_2116.68.npy,2116.68,2297.2349,180.55486328125016,8.530097288265122
amostra_0445_2168.74.npy,2168.74,1839.6984,329.0416357421873,15.172018579552521
amostra_0551_2172.12.npy,2172.12,2238.4983,66.37829101562511,3.0559219111110396
amostra_0708_2180.66.npy,2180.66,2066.7393,113.92074218749985,5.224140498174858
amostra_0522_2188.21.npy,2188.21,1937.6318,250.57816406250004,11.451285025774494
amostra_1044_2189.99.npy,2189.99,2209.4368,19.44676757812522,0.8879843094317883
amostra_1005_2199.19.npy,2199.19,1790.0715,409.11846679687505,18.60314328443086
amostra_1322_2201.61.npy,2201.61,2261.3103,59.70030273437487,2.711665678043562
amostra_0821_2210.11.npy,2210.11,2275.1143,65.00425781249987,2.9412227360855283
