decil,erro_absoluto
0,135.66043538411455
1,195.30207234700524
2,139.2062392171224
3,166.84512552897135
4,207.95778788248705
5,213.5240981657609
6,267.67602742513014
7,196.87493530273437
8,228.79950276692708
9,236.02522257486984
