real,previsto,erro_abs,erro_rel_percent
2596.77,2618.0283,21.2583,0.818644
3230.65,3325.81,95.16016,2.945542
2566.61,2368.2,198.41016,7.7304363
2511.09,2778.2744,267.18433,10.640173
1894.97,1698.6554,196.31458,10.359773
2585.0,2771.4465,186.44653,7.212632
2759.57,2497.365,262.20508,9.501664
1597.94,1359.7836,238.15637,14.903963
2294.15,2199.424,94.72583,4.129017
2262.64,2367.9768,105.336914,4.6554875
2420.47,2327.0725,93.39746,3.8586497
1785.06,1659.0737,125.98633,7.0578203
2137.02,1858.5588,278.46118,13.03035
3249.36,3268.574,19.213867,0.59131235
2225.78,2526.7,300.91992,13.519751
2345.65,2199.424,146.22583,6.2339153
1680.95,1906.9672,226.01721,13.445802
2061.42,2205.98,144.56006,7.0126452
1412.54,1430.14,17.599976,1.2459806
3203.53,3576.895,373.365,11.654799
2509.3,2778.2744,268.97437,10.7191
3491.93,3385.9534,105.97656,3.0348995
1878.27,1925.9534,47.68335,2.5386846
2082.87,2112.6375,29.767334,1.4291497
2759.16,2753.0466,6.1132812,0.22156313
1731.42,1830.37,98.94995,5.714959
3448.22,2983.76,464.45996,13.469558
2638.22,2442.2275,195.99243,7.428965
1645.55,1711.7421,66.19202,4.0224857
1635.07,1505.245,129.82495,7.9400244
2536.37,2768.834,232.46387,9.165218
1269.35,1073.775,195.57495,15.407488
1358.39,1482.7548,124.364746,9.155305
2007.32,1889.8517,117.46826,5.851995
2360.37,2120.1318,240.23828,10.177992
1921.84,1735.415,186.42493,9.7003355
2886.23,3001.1567,114.92676,3.9818988
2710.44,2778.2744,67.83447,2.5027108
997.06,880.015,117.04498,11.739011
3248.87,3124.0159,124.85425,3.8430054
2428.72,2327.8416,100.87842,4.153563
2159.18,2310.25,151.07007,6.996641
2590.32,2626.755,36.434814,1.4065757
2085.49,2112.6375,27.14746,1.3017306
2885.61,2778.2744,107.33569,3.719688
2798.95,2711.48,87.46997,3.1250994
3676.47,3658.96,17.51001,0.47627234
2250.48,2414.7388,164.25879,7.298834
3146.28,2767.5833,378.69678,12.036334
2335.23,2626.755,291.5249,12.483777
2826.9,2634.51,192.3899,6.8056846
2491.5,2258.777,232.7229,9.340674
3586.51,2975.73,610.78,17.029926
2260.44,2913.78,653.3401,28.903229
1319.64,1476.48,156.83997,11.8850565
1111.29,1149.61,38.319946,3.4482398
1371.18,1563.7454,192.5653,14.043765
3006.6,2979.835,26.765137,0.8902127
3645.28,3475.1099,170.17017,4.6682334
2222.69,2388.7634,166.07349,7.471734
2416.15,2414.7388,1.4111328,0.058404192
3378.36,3588.26,209.8999,6.213071
