real,previsto,erro_abs,erro_perc
3435.58,3254.090018136161,181.49005998883922,5.282661322448031
1931.43,1823.5914132254463,107.83864048549117,5.583357278628665
1869.82,1770.6266682942708,99.19327799479174,5.30496415933821
1961.06,2062.7988959418403,101.73883734809033,5.187951123794031
3875.26,4076.2250162760415,200.96500651041652,5.185845749807401
1823.63,1694.3170043945313,129.3130004882812,7.090966925420321
1574.07,1879.0208962180398,304.95094992897725,19.373405270071526
3764.34,3876.2424926757812,111.90240478515625,2.97269646664315
2911.4,3140.8299560546875,229.4300537109375,7.880403290741356
2303.61,2049.813751220703,253.79635620117188,11.017331248177777
1385.25,1248.6683430989583,136.5816569010417,9.859711741638094
1916.62,2094.6383463541665,178.01835123697902,9.288140147264533
3280.48,3071.0306803385415,209.44930013020848,6.384715083683582
3211.54,3014.8439453125,196.69609374999982,6.12466577895814
3286.43,3535.6500028722426,249.22007123161757,7.583307005337672
1193.25,1048.2979858398437,144.9520141601563,12.147665129700925
1562.26,1501.1194525824653,61.14055718315967,3.9135967637251476
1702.26,1700.020907315341,2.2391024502840082,0.13153704119456452
2311.95,2094.670909534801,217.279041637074,9.398085868032748
1290.43,1499.6572709517045,209.227217240767,16.213758865820317
1527.16,1156.7419921875,370.41804199218745,24.25535200645538
964.32,996.5499877929688,32.22998046875,3.3422494839841894
1153.19,807.6360107421875,345.5539306640625,29.96504897039589
2781.85,2701.4500325520835,80.40006510416652,2.8901652598716505
1685.02,1703.3256149291992,18.30559539794922,1.0863725763354188
1607.45,1705.6200173117898,98.17006613991475,6.107192704092969
4664.32,4076.2250162760415,588.0948079427085,12.608372283759753
2231.45,2088.2333170572915,143.21663411458348,6.418097526201357
3367.46,3817.2650146484375,449.8050537109375,13.357398719767167
2269.94,3046.27001953125,776.330078125,34.20046777290751
3569.64,3767.860107421875,198.22021484375,5.552947098554193
2487.74,2574.2900390625,86.550048828125,3.479063293104475
1969.2,2358.8133138020835,389.6133626302085,19.78536320795401
2784.41,2719.5650024414062,64.84490966796875,2.328856444087445
2494.26,2116.719970703125,377.5400390625,15.136354573474312
2120.58,1572.2093424479167,548.3707356770833,25.859468422524667
2480.04,2645.330078125,165.2900390625,6.664813327972826
2543.52,2241.679931640625,301.840087890625,11.867022298737465
2280.07,2569.500751201923,289.43068284254787,12.693938088087256
718.86,1200.9299723307292,482.06998697916674,67.06034510230914
1736.06,1916.1919921875,180.1319335937501,10.375904491441457
2863.68,2956.449951171875,92.77001953125,3.2395386965645048
3416.45,3217.16396484375,199.2859863281251,5.833130564660199
2514.59,2709.300048828125,194.7099609375,7.743208798728436
2587.66,2822.019970703125,234.36005859375018,9.056833840375399
2476.65,3487.090087890625,1010.440185546875,40.79866858011123
1520.3,1245.786151592548,274.5138972355769,18.056560443261002
4236.03,4059.056640625,176.97314453125,4.177806897189279
1353.39,1405.9840087890625,52.593994140625,3.8860929644354623
2042.91,1916.1400146484375,126.77001953125,6.2053647693865965
2497.01,2805.2832845052085,308.2732747395835,12.34569639424548
1130.29,1048.2979858398437,81.9920532226563,7.254071998251282
3433.01,3337.45751953125,95.552490234375,2.783344352698187
1524.75,1223.656494140625,301.093505859375,19.747073674987703
2391.01,2655.3817713120407,264.37176154641566,11.056907351564382
1374.06,1245.786151592548,128.2739070012019,9.335393034601475
2360.49,2409.8431243896484,49.35313415527344,2.0908003998938005
1225.47,1398.5025024414062,173.03253173828125,14.119687619844507
2950.07,2822.019970703125,128.05009765624982,4.340578179129909
1955.1,1842.56005859375,112.5399169921875,5.756223129124619
3016.46,2861.280029296875,155.179931640625,5.14443863502819
3331.34,3009.52001953125,321.820068359375,9.660378702528345
2126.72,1879.0208962180398,247.69907448508525,11.646999976362299
2427.77,2177.4474487304688,250.32257080078125,10.310802456037955
2954.07,2702.1755642361113,251.8945041232637,8.527032138515263
3219.17,2898.044148763021,321.125773111979,9.975421643009756
3194.88,3252.4774780273438,57.59759521484375,1.8028094115431887
1784.73,1621.2349940708705,163.49498639787953,9.160768754214486
1672.68,2071.1749877929688,398.49493408203125,23.823739226037112
2865.43,2194.010009765625,671.419921875,23.431734081544025
2206.97,2555.210009765625,348.2400390624998,15.77910183125659
1936.12,2365.155029296875,429.0350341796875,22.159527057294778
3001.83,2888.838671875,112.99140625000018,3.7640840190586924
2852.19,3169.9749755859375,317.7850341796875,11.141790718994194
2414.52,3103.4949951171875,688.9749755859375,28.534655749911476
3826.25,4270.9500732421875,444.7000732421875,11.622347552883044
2196.17,2520.47998046875,324.31005859375,14.767074959157412
1228.39,1248.6683430989583,20.278328450520803,1.6508053801075888
1098.86,1284.6400146484375,185.780029296875,16.90661519879056
2129.57,2214.122713955966,84.55264559659099,3.9704091850676
2606.81,2762.93994140625,156.1298828125,5.98930797807051
3570.73,3326.375,244.35498046875,6.843278035732967
1791.04,1891.579977101293,100.53993803879303,5.613494720722131
2624.57,2655.3817713120407,30.811702952665655,1.173971437231475
3269.29,3001.3699544270835,267.9200846354165,8.195054015832904
1506.71,1319.6400146484375,187.0699462890625,12.415790108181437
1561.49,1770.6266682942708,209.13667805989576,13.393404976518934
2031.9,2203.2687377929688,171.36871337890625,8.433914627680746
2495.5,2383.096638997396,112.40336100260402,4.504242075840674
1852.51,2141.550048828125,289.0400390625,15.602616857064575
2310.25,2499.2950439453125,189.0450439453125,8.182882542811926
2181.13,2457.7931365966797,276.6632537841797,12.684400684448507
2122.94,2188.37309382512,65.43315241887012,3.0821951739024116
2836.37,2767.2550048828125,69.1151123046875,2.4367451865986007
