real,previsto,erro_abs,erro_rel_percent
2937.63,2731.73,205.8999,7.009049
1580.53,1684.6654,104.135376,6.5886364
1206.96,1109.7699,97.19006,8.052467
2790.42,2791.69,1.2700195,0.045513563
1675.18,1405.984,269.19604,16.06968
2231.13,2376.7,145.57007,6.5245004
2029.21,2330.8733,301.66333,14.866048
1620.66,1446.7693,173.89075,10.729625
1258.64,1339.3817,80.7417,6.414995
2206.37,2345.3577,138.98755,6.2993755
3645.38,3955.9612,310.5813,8.519861
918.87,1021.7021,102.83209,11.191147
2912.56,3011.165,98.60498,3.3855088
2546.07,2555.21,9.139893,0.35898042
1072.09,1090.9,18.810059,1.7545223
3131.02,3054.16,76.86011,2.4547946
1737.04,1839.64,102.599976,5.906598
2677.72,2649.2275,28.492432,1.0640557
1765.46,1891.58,126.119995,7.143747
1544.17,1684.6654,140.49536,9.098438
2368.81,2591.618,222.80786,9.405898
2490.22,2591.618,101.39795,4.071847
1551.83,1649.1901,97.36011,6.2738905
1824.46,1955.6176,131.1576,7.1888447
1379.46,2154.3079,774.8479,56.17038
2185.45,1864.7753,320.67468,14.673166
1835.44,2154.3079,318.86792,17.372833
2330.02,2203.2688,126.75122,5.43992
1452.09,1269.0,183.08997,12.608721
3391.58,3078.31,313.27002,9.236698
3239.2,3248.4724,9.272461,0.28625774
1724.07,1621.235,102.83496,5.964663
3564.99,3337.4575,227.53247,6.3824153
2683.67,2762.94,79.27002,2.9537916
2420.66,2335.096,85.563965,3.534737
3033.97,2725.2766,308.69336,10.174569
4321.7,4383.94,62.239746,1.440168
1928.05,1823.5914,104.45862,5.4178376
3034.11,3252.4775,218.36743,7.1970835
2301.86,2322.775,20.914795,0.9086041
1912.96,1764.3099,148.65002,7.7706814
875.51,807.636,67.87402,7.7525125
2983.46,2916.5212,66.93872,2.2436607
1707.36,1519.1986,188.16138,11.020604
2324.81,2358.3875,33.577393,1.4443069
2084.82,2086.064,1.2438965,0.059664454
3940.57,3535.65,404.92017,10.275675
3266.23,3634.04,367.81006,11.260997
2089.85,1968.1863,121.66382,5.821653
2154.78,2026.3966,128.38342,5.9580755
2391.35,2312.08,79.27002,3.3148646
3645.54,3353.8567,291.68335,8.001101
2316.55,2383.0967,66.54663,2.872661
3288.29,3165.0435,123.24658,3.7480447
2650.49,2898.0442,247.5542,9.339941
1817.94,1572.2094,245.73059,13.51698
2021.19,1888.8225,132.36743,6.548985
2632.2,2771.0466,138.84668,5.274929
2037.78,2233.448,195.66797,9.602016
3410.22,3327.584,82.63599,2.4231863
2654.24,2616.4565,37.783447,1.4235128
2738.06,2564.298,173.76196,6.3461704
3461.53,3705.3633,243.83325,7.044089
1719.94,1637.1467,82.79321,4.813727
2968.23,2898.0442,70.18579,2.364567
2485.66,2838.635,352.9751,14.200458
2342.97,2094.671,248.29907,10.597621
2161.01,2216.01,55.0,2.5451062
2073.85,2330.8733,257.0232,12.393528
2419.13,2414.022,5.10791,0.2111466
2759.47,2933.1543,173.68433,6.2941194
2484.32,2421.7026,62.61743,2.520506
3035.07,3192.1367,157.06665,5.1750584
3108.16,2916.5212,191.63867,6.1656632
4353.11,3955.9612,397.14868,9.123332
3430.12,3114.5151,315.60498,9.20099
1831.86,1661.41,170.44995,9.304748
3170.58,3193.85,23.27002,0.7339357
