real,previsto,erro_abs,erro_rel_percent
31.79,29.415,2.375,7.470903
25.53,27.51,1.9799995,7.75558
33.61,31.3225,2.2875004,6.8060117
24.32,24.35,0.030000687,0.123358086
27.11,27.05,0.060001373,0.22132559
25.29,26.832857,1.5428562,6.100657
30.97,27.726667,3.243332,10.472496
25.32,25.88,0.55999947,2.2116883
34.83,36.18,1.3499985,3.8759644
27.79,27.86,0.069999695,0.25188807
40.33,38.43,1.9000015,4.711137
34.27,34.65,0.38000107,1.1088446
29.69,29.833845,0.1438446,0.4844884
28.19,30.23,2.039999,7.236605
31.9,33.285,1.3850002,4.3416934
32.52,31.713333,0.8066673,2.480527
23.35,25.32,1.9699993,8.436828
30.06,30.68,0.62000084,2.0625443
25.28,22.27,3.0100002,11.906646
30.76,31.885555,1.125555,3.6591516
26.36,26.25,0.11000061,0.41730124
23.24,23.9175,0.6774998,2.9152312
24.52,24.46,0.060001373,0.2447038
33.55,35.405003,1.8550034,5.5290713
27.86,29.69,1.8299999,6.568557
29.63,31.885555,2.255556,7.612407
32.31,32.58,0.27000046,0.835656
31.78,27.88,3.9000015,12.271873
31.36,30.595789,0.76421165,2.4368994
26.95,26.87125,0.07875061,0.29221004
34.38,34.65,0.27000046,0.78534156
31.04,31.836666,0.7966652,2.566576
31.95,32.615,0.6650009,2.0813801
29.57,28.273335,1.2966652,4.3850703
33.26,32.44,0.8199997,2.465423
27.22,26.87125,0.34874916,1.281224
33.64,33.335335,0.3046646,0.90566176
32.42,30.68,1.7399979,5.367051
31.23,31.92,0.69000053,2.209416
27.12,26.832857,0.2871437,1.0587895
30.28,27.726667,2.5533333,8.432408
26.18,25.265,0.9150009,3.495038
30.99,30.595789,0.39421082,1.2720581
30.21,30.266666,0.056667328,0.18757805
28.77,29.545,0.7749996,2.6937768
31.87,31.285,0.585001,1.8355852
29.79,29.208181,0.58181953,1.9530699
37.16,36.52,0.6399994,1.7222803
35.6,36.05,0.45000076,1.2640471
35.14,36.05,0.90999985,2.5896409
35.68,34.47,1.2099991,3.3912528
26.25,26.25,0.0,0.0
31.22,32.46,1.2399998,3.9718122
29.83,29.72,0.11000061,0.36875835
26.29,26.305,0.01499939,0.05705359
33.75,33.69,0.060001373,0.17778185
31.15,31.713333,0.5633335,1.8084543
31.63,31.72,0.09000015,0.2845405
25.87,26.305,0.43499947,1.6814822
33.12,32.44,0.6800003,2.053141
29.51,29.208181,0.30181885,1.022768
35.01,36.05,1.0400009,2.9705827
33.03,34.41,1.3800011,4.1780233
30.29,30.745,0.45499992,1.5021456
27.03,26.75,0.2800007,1.0358886
27.9,27.82,0.07999992,0.2867381
29.51,29.04,0.4699993,1.5926781
26.92,29.39889,2.4788895,9.208356
25.65,23.9175,1.7325001,6.7543864
32.29,32.44,0.14999771,0.464533
31.26,31.03375,0.2262497,0.7237674
33.35,32.44,0.90999985,2.7286353
32.01,31.54,0.4699974,1.4682832
31.26,31.03375,0.2262497,0.7237674
31.79,31.03375,0.7562504,2.3788939
29.31,28.2,1.1099987,3.7870991
34.77,34.26,0.51000214,1.4667878
25.73,25.843334,0.113334656,0.4404767
28.29,31.3225,3.0324993,10.719333
26.29,25.070002,1.2199993,4.640545
27.92,29.69,1.7700005,6.3395433
26.93,26.87,0.059999466,0.22279786
28.05,28.193335,0.14333534,0.51099944
32.24,34.87,2.6299973,8.157559
28.2,28.31,0.1099987,0.39006633
31.05,31.54,0.49000168,1.5781052
34.12,33.47,0.6499977,1.9050343
30.51,30.626667,0.116666794,0.3823887
29.39,30.57,1.1800003,4.014972
30.69,32.355,1.664999,5.4252167
31.24,33.1,1.8599987,5.9539013
30.35,29.7,0.6499996,2.141679
30.39,29.208181,1.181818,3.8888383
26.45,26.16,0.29000092,1.0964117
28.84,28.09,0.75,2.6005547
30.2,29.208181,0.9918194,3.2841702
25.67,27.38,1.7099991,6.6614685
26.5,26.87125,0.37125015,1.400944
31.19,31.3,0.1099987,0.35267296
28.52,27.814,0.7060013,2.4754603
30.11,30.99,0.87999916,2.9226143
31.04,31.836666,0.7966652,2.566576
28.53,28.964998,0.43499756,1.5247023
28.33,29.54,1.210001,4.2710943
30.39,29.208181,1.181818,3.8888383
25.85,22.25,3.6000004,13.9265
29.06,28.475,0.5849991,2.0130732
31.36,33.914997,2.5549965,8.147309
29.47,29.41,0.059999466,0.20359507
35.12,34.885,0.23500061,0.66913617
30.24,29.576668,0.663332,2.1935582
28.55,29.208181,0.65818214,2.3053668
35.19,33.42,1.7700005,5.0298395
34.69,34.805,0.11500168,0.33151248
23.36,22.25,1.1100006,4.7517147
27.03,29.39889,2.3688889,8.763925
30.83,31.72,0.8899994,2.8867965
33.1,30.48,2.619999,7.9154053
31.6,29.7,1.8999996,6.0126567
33.09,32.44,0.6500015,1.9643443
26.5,25.4,1.1000004,4.1509447
27.67,27.814,0.1439991,0.52041596
34.15,34.68,0.5299988,1.5519729
35.2,35.27,0.069999695,0.19886278
23.55,23.9175,0.3675003,1.5605109
30.09,30.01,0.07999992,0.2658688
30.14,31.13,0.9899998,3.2846708
