Decile,Absolute_Error
0,84.93552298269876
1,102.15196693043094
2,136.74483200434202
3,123.40673852059263
4,120.53596587447313
5,121.11951900905167
6,105.71512912507272
7,104.75005569512759
8,105.19554364689195
9,150.22669950210513
