Real,Predicted,Absolute_Error,Squared_Error,Residuals,Relative_Error(%)
2336.62,1975.1854997000482,361.43461748745176,130634.98271830057,361.43461748745176,15.468266100631572
2029.21,2389.806907008606,360.5969460711058,130030.15751580796,-360.5969460711058,17.770312240361225
1560.36,1920.7334570128587,360.3734716612962,129869.03907721506,-360.3734716612962,23.095534046273364
3648.42,3289.8277906945295,358.59213118047046,128588.31654455174,358.59213118047046,9.828696774470588
1832.34,2181.3298218063137,348.9898559860012,121793.91958112986,-348.9898559860012,19.046130221242183
2135.48,1790.5775123349595,344.90246813379053,118957.71252478039,344.90246813379053,16.151051346221585
2392.96,2733.596399333823,340.6364383963228,116033.1831633318,-340.6364383963228,14.234940991777822
2241.59,2577.7325049366336,336.14241704600863,112991.72453753279,-336.14241704600863,14.995713037004213
2125.25,2460.8987121361715,335.6487121361715,112660.05795867054,-335.6487121361715,15.793375468117704
2484.32,2154.9566886729444,329.36337968643056,108480.23587846782,329.36337968643056,13.25768703804496
