arquivo,real_kWh,previsto_kWh
amostra_0594_2304.55.csv,2304.55,2596.5574
amostra_0596_3012.89.csv,3012.89,3239.1929
amostra_0598_2806.34.csv,2806.34,2766.9648
amostra_0601_3466.01.csv,3466.01,3488.0093
amostra_0602_3805.52.csv,3805.52,3968.88
amostra_0604_3117.84.csv,3117.84,3339.6023
amostra_0613_1363.21.csv,1363.21,1438.0223
amostra_0621_2901.06.csv,2901.06,2980.464
amostra_0625_2995.38.csv,2995.38,3181.644
amostra_0634_2937.63.csv,2937.63,3048.211
amostra_0636_1580.53.csv,1580.53,1508.1101
amostra_0637_1206.96.csv,1206.96,1251.2609
amostra_0643_2790.42.csv,2790.42,2970.049
amostra_0647_1675.18.csv,1675.18,1753.2501
amostra_0652_2231.13.csv,2231.13,2433.4163
amostra_0653_2029.21.csv,2029.21,2217.1895
amostra_0654_1620.66.csv,1620.66,1716.1091
amostra_0655_1258.64.csv,1258.64,1577.9377
amostra_0657_2206.37.csv,2206.37,2305.4155
amostra_0671_3645.38.csv,3645.38,3807.0159
amostra_0674_918.87.csv,918.87,1132.4242
amostra_0678_2912.56.csv,2912.56,3114.3267
amostra_0683_2546.07.csv,2546.07,2683.0107
amostra_0687_1072.09.csv,1072.09,1276.7396
amostra_0699_3131.02.csv,3131.02,3110.403
amostra_0703_1737.04.csv,1737.04,1859.6381
amostra_0707_2677.72.csv,2677.72,2796.9875
amostra_0715_1765.46.csv,1765.46,1849.0521
amostra_0718_1544.17.csv,1544.17,1429.6515
amostra_0720_2368.81.csv,2368.81,2517.2854
amostra_0724_2490.22.csv,2490.22,2514.687
amostra_0731_1551.83.csv,1551.83,1799.6681
amostra_0736_1824.46.csv,1824.46,1995.7828
amostra_0745_1379.46.csv,1379.46,1481.1726
amostra_0747_2185.45.csv,2185.45,2133.9417
amostra_0749_1835.44.csv,1835.44,1654.7805
amostra_0752_2330.02.csv,2330.02,2425.659
amostra_0754_1452.09.csv,1452.09,1661.3989
amostra_0759_3391.58.csv,3391.58,3293.5603
amostra_0760_3239.20.csv,3239.2,3261.3667
amostra_0763_1724.07.csv,1724.07,1851.2244
amostra_0775_3564.99.csv,3564.99,3507.5637
amostra_0778_2683.67.csv,2683.67,2719.058
amostra_0791_2420.66.csv,2420.66,2301.9187
amostra_0793_3033.97.csv,3033.97,3319.3435
amostra_0794_4321.70.csv,4321.7,4433.9717
