arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_percentual,residual
amostra_0571_1873.78.csv,1873.78,2219.6497,345.869658203125,18.458392031248334,-345.869658203125
amostra_3050_1371.18.csv,1371.18,1706.6156,335.43560058593744,24.46327984552994,-335.43560058593744
amostra_3652_2297.58.csv,2297.58,2628.8484,331.2683886718751,14.41814381531329,-331.2683886718751
amostra_0395_1372.27.csv,1372.27,1692.4694,320.1993603515625,23.333553918074614,-320.1993603515625
amostra_0655_1258.64.csv,1258.64,1577.9377,319.2977441406249,25.36847264830491,-319.2977441406249
amostra_0234_1852.40.csv,1852.4,2164.1343,311.7342773437499,16.828669690334156,-311.7342773437499
amostra_3701_2027.71.csv,2027.71,2338.9248,311.21480468749996,15.348092413979314,-311.21480468749996
amostra_3840_2241.59.csv,2241.59,2551.6826,310.09261718749985,13.833601023715303,-310.09261718749985
amostra_4046_2627.28.csv,2627.28,2934.5708,307.2908007812498,11.696157272207369,-307.2908007812498
amostra_3408_1292.68.csv,1292.68,1599.5947,306.91472656249994,23.742513735998074,-306.91472656249994
