decil,erro_absoluto
0,157.43277278248857
1,121.19127757002668
2,137.7445768626143
3,118.24284346417683
4,127.37528701410062
5,122.29643745236278
6,104.54971953601371
7,116.90068585651677
8,103.83953744283534
9,84.25445848418444
