Real,Predicted,Absolute_Error,Squared_Error,Residuals,Relative_Error(%)
1459.74,1841.7344,381.994375,145919.70253164062,-381.994375,26.168658459546435
1985.55,1610.7031,374.84687499999995,140510.1796972656,374.84687499999995,18.878742665665037
2952.16,2596.0156,356.14437499999985,126838.81584414052,356.14437499999985,12.063857480583488
1125.52,1452.9531,327.433125,107212.45134726564,-327.433125,29.091719827021368
3088.94,2778.2344,310.70562500000005,96537.98540664066,310.70562500000005,10.058648759736162
2730.56,2426.1562,304.40374999999995,92661.64301406247,304.40374999999995,11.148033736628573
2566.53,2267.8594,298.6706250000002,89204.14223789074,298.6706250000002,11.63713749688632
2584.69,2299.2969,285.39312500000005,81449.23579726566,285.39312500000005,11.041677144992084
3458.11,3176.3594,281.7506250000001,79383.41468789069,281.7506250000001,8.147532177958057
2900.75,2626.7031,274.046875,75101.68969726562,274.046875,9.447448935587529
