Real,Predicted,Absolute_Error,Squared_Error,Residuals,Relative_Error(%)
3088.94,2778.2344,310.70562500000005,96537.98540664066,310.70562500000005,10.058648759736162
2636.67,2787.0938,150.42374999999993,22627.304564062477,-150.42374999999993,5.70506548030013
3284.6,3371.9844,87.38437500000009,7636.028994140641,-87.38437500000009,2.6604266881731125
3859.47,4002.8906,143.4206250000002,20569.475675390684,-143.4206250000002,3.716070470806318
2605.02,2436.5781,168.44187499999998,28372.665253515617,168.44187499999998,6.466049204971684
3582.42,3805.2812,222.86124999999993,49667.136751562466,-222.86124999999993,6.220969344727247
3222.79,3059.8125,162.97749999999996,26561.66550624999,162.97749999999996,5.057031329980988
2616.45,2691.25,74.80000000000018,5595.040000000027,-74.80000000000018,2.8588354449622315
2605.2,2570.5625,34.63749999999982,1199.7564062499873,34.63749999999982,1.3295524335892395
3860.06,3891.5938,31.533750000000055,994.3773890625034,-31.533750000000055,0.8169238301974157
2512.76,2341.6094,171.15062500000022,29292.5364378907,171.15062500000022,6.811260327262417
3558.81,3309.0312,249.77874999999995,62389.42395156247,249.77874999999995,7.018603128554155
2000.39,2068.4219,68.0318749999999,4628.336016015612,-68.0318749999999,3.4009305685221287
2804.51,2914.375,109.86499999999978,12070.318224999952,-109.86499999999978,3.9174401232161067
1239.89,1510.5781,270.6881249999999,73272.06101601558,-270.6881249999999,21.831624176162137
2889.5,2862.625,26.875,722.265625,26.875,0.9300917113655301
2572.55,2773.3594,200.80937499999982,40324.405087890555,-200.80937499999982,7.805849254600269
1988.47,1789.1562,199.31375000000003,39725.970939062514,199.31375000000003,10.023472820761576
1720.04,1817.5469,97.50687500000004,9507.590672265633,-97.50687500000004,5.668872526187365
2285.79,2231.9219,53.868124999999964,2901.774891015621,53.868124999999964,2.356652404628785
1510.78,1542.6875,31.907500000000027,1018.0885562500017,-31.907500000000027,2.111988509232902
2787.1,2605.8281,181.2718749999999,32859.49266601559,181.2718749999999,6.503960209513456
2303.61,2119.4531,184.15687500000013,33913.754609765674,184.15687500000013,7.994273119113076
1836.38,1928.5156,92.13562499999989,8488.973394140605,-92.13562499999989,5.0172418017783995
3328.77,3188.7656,140.00437499999998,19601.22501914062,140.00437499999998,4.205889112181959
2437.73,2268.1875,169.54250000000002,28744.659306250007,169.54250000000002,6.954933483171005
1573.0,1602.4844,29.484375,869.328369140625,-29.484375,1.8744040050739073
1668.0,1572.3906,95.609375,9141.152587890625,95.609375,5.731976918430863
3338.64,3307.5938,31.046249999999873,963.8696390624921,31.046249999999873,0.9299070879132487
2742.26,2572.1875,170.07250000000022,28924.655256250073,170.07250000000022,6.201910103322807
2775.18,2851.7344,76.55437500000016,5860.57233164065,-76.55437500000016,2.7585372840581264
2825.71,2817.2812,8.428750000000036,71.04382656250061,8.428750000000036,0.29828786393402745
2532.8,2519.6562,13.143750000000182,172.7581640625048,13.143750000000182,0.5189414876795755
2210.76,2178.5781,32.18187500000022,1035.673078515639,32.18187500000022,1.455692838655243
3103.35,2971.9688,131.3812499999999,17261.032851562475,131.3812499999999,4.233529895099701
2064.37,2284.8125,220.4425000000001,48594.895806250046,-220.4425000000001,10.678439426988975
3545.18,3725.9531,180.77312500000016,32678.922722265685,-180.77312500000016,5.099124021897062
2566.53,2267.8594,298.6706250000002,89204.14223789074,298.6706250000002,11.63713749688632
2796.03,2546.6094,249.4206250000002,62210.64817539073,249.4206250000002,8.920527497884793
4751.05,4822.875,71.82499999999982,5158.830624999974,-71.82499999999982,1.5117710821786476
1784.73,1643.5,141.23000000000002,19945.912900000007,141.23000000000002,7.913241778824174
3063.7,3139.0156,75.31562500000018,5672.443369140652,-75.31562500000018,2.458322453234793
3109.14,3108.7969,0.34312499999987267,0.11773476562491263,0.34312499999987267,0.01103600995769792
3280.85,3234.1094,46.74062499999991,2184.6860253906166,46.74062499999991,1.4246498620740797
3639.65,3422.9531,216.6968750000001,46957.53563476566,216.6968750000001,5.95378333079842
2437.32,2263.6094,173.71062500000016,30175.38123789068,173.71062500000016,7.12711605366909
1719.94,1644.2969,75.64312500000005,5721.882359765633,75.64312500000005,4.3980095235624646
4203.32,4347.047,143.7268750000003,20657.41459726571,-143.7268750000003,3.4193655253385034
3462.41,3375.4531,86.95687499999985,7561.4981097656,86.95687499999985,2.5114551713906996
3272.68,3221.6406,51.039374999999836,2605.0178003906085,51.039374999999836,1.559558985291684
3293.24,3200.7188,92.52124999999978,8560.18170156246,92.52124999999978,2.8094293158020323
1527.91,1596.8125,68.90249999999992,4747.554506249989,-68.90249999999992,4.509591533503214
3439.19,3404.6719,34.518125000000055,1191.5009535156287,34.518125000000055,1.0036701955954654
1909.2,1902.4219,6.7781250000000455,45.94297851562562,6.7781250000000455,0.3550243557492428
3286.43,3318.8281,32.398125000000164,1049.6385035156356,-32.398125000000164,0.9858151550436669
2042.91,2271.3281,228.41812499999992,52174.839828515585,-228.41812499999992,11.181017519072393
2116.68,2324.3594,207.67937500000016,43130.72280039069,-207.67937500000016,9.811562210585398
2636.0,2386.6094,249.390625,62195.683837890625,249.390625,9.460949355047568
1457.07,1720.4219,263.35187500000006,69354.21006601566,-263.35187500000006,18.07407159561261
2771.94,2565.75,206.19000000000005,42514.316100000025,206.19000000000005,7.438472694187327
3618.54,3457.2969,161.24312499999996,25999.34535976561,161.24312499999996,4.456027154585948
2628.37,2752.5781,124.20812500000011,15427.658316015652,-124.20812500000011,4.7256712334841575
4218.52,4035.8125,182.70750000000044,33382.03055625016,182.70750000000044,4.331080568530369
