Decile,Absolute_Error
0,147.634140625
1,133.34661458333335
2,128.93940104166666
3,145.4054427083333
4,111.80132812500001
5,138.13907608695655
6,138.2619791666667
7,115.39424479166661
8,119.02455729166667
9,103.62372395833334
