amostra,valor_real,valor_predito_corrigido,abs_error,relative_error_%
amostra_0104_2572.55.csv,2572.55,2428.0733099567115,144.47669004328873,5.616088707441594
amostra_0211_4751.05.csv,4751.05,4621.469219468945,129.5807805310551,2.7274135302944633
amostra_1062_3168.26.csv,3168.26,3281.01549353175,112.75549353174983,3.5589091025278803
amostra_0612_2825.05.csv,2825.05,2936.3562002926824,111.3062002926822,3.9399727542054905
amostra_0693_2439.51.csv,2439.51,2337.2626820355467,102.24731796445349,4.191305547608064
amostra_0319_2771.94.csv,2771.94,2863.7709136551503,91.8309136551502,3.312875230169131
amostra_0668_2609.55.csv,2609.55,2518.869860656837,90.68013934316332,3.4749339672803097
amostra_1150_2406.61.csv,2406.61,2319.098995407913,87.51100459208692,3.636276945250245
amostra_0457_2497.38.csv,2497.38,2409.9121428899466,87.4678571100535,3.502384783655411
amostra_0024_3284.60.csv,3284.6,3371.682282410999,87.08228241099914,2.6512294468428164
