amostra,valor_real,valor_predito,valor_predito_corrigido
amostra_0001_3088.94.csv,3088.94,3075.04736328125,3099.640916226329
amostra_0003_2636.67.csv,2636.67,2607.496337890625,2627.807662249387
amostra_0024_3284.60.csv,3284.6,3344.788330078125,3371.682282410999
amostra_0035_3859.47.csv,3859.47,3830.322021484375,3861.0430131726334
amostra_0036_2605.02.csv,2605.02,2589.513427734375,2609.6525807304088
amostra_0047_3582.42.csv,3582.42,3632.511962890625,3661.7224739985577
amostra_0060_3222.79.csv,3222.79,3200.926513671875,3226.6090769391494
amostra_0062_2616.45.csv,2616.45,2517.58251953125,2537.0274618193025
amostra_0068_2605.20.csv,2605.2,2607.496337890625,2627.807662249387
amostra_0073_3860.06.csv,3860.06,3812.33935546875,3842.925797370606
amostra_0074_2512.76.csv,2512.76,2463.63427734375,2482.552752131334
amostra_0084_3558.81.csv,3558.81,3470.66748046875,3498.592354372121
amostra_0086_2000.39.csv,2000.39,1978.1005859375,1992.0568014526614
amostra_0094_2804.51.csv,2804.51,2859.25439453125,2881.9180035609625
amostra_0101_1239.89.csv,1239.89,1204.8431396484375,1210.0638917183314
amostra_0102_2889.50.csv,2889.5,2877.2373046875,2900.0647866063678
amostra_0104_2572.55.csv,2572.55,2409.686279296875,2428.0733099567115
amostra_0113_1988.47.csv,1988.47,2014.0660400390625,2028.4036609161458
amostra_0115_1720.04.csv,1720.04,1690.3768310546875,1701.2021377989997
amostra_0118_2285.79.csv,2285.79,2247.841552734375,2264.604369568136
amostra_0120_1510.78.csv,1510.78,1510.549560546875,1519.3461307651137
amostra_0122_2787.10.csv,2787.1,2769.3408203125,2791.1767754046064
amostra_0124_2303.61.csv,2303.61,2337.75537109375,2355.4260620280975
amostra_0126_1836.38.csv,1836.38,1798.2733154296875,1810.289310586446
amostra_0138_3328.77.csv,3328.77,3272.857421875,3299.1501054815803
amostra_0139_2437.73.csv,2437.73,2409.686279296875,2428.0733099567115
amostra_0140_1573.00.csv,1573.0,1600.4632568359375,1610.2811113284515
amostra_0141_1668.00.csv,1668.0,1672.3941650390625,1683.0190883279895
amostra_0152_3338.64.csv,3338.64,3344.788330078125,3371.682282410999
amostra_0155_2742.26.csv,2742.26,2697.409912109375,2718.5737855410507
amostra_0156_2775.18.csv,2775.18,2733.37548828125,2754.8765101353233
amostra_0158_2825.71.csv,2825.71,2841.271728515625,2863.7709136551503
amostra_0165_2532.80.csv,2532.8,2463.63427734375,2482.552752131334
amostra_0167_2210.76.csv,2210.76,2193.893310546875,2210.1047646847733
amostra_0169_3103.35.csv,3103.35,3128.99560546875,3154.0591967837076
amostra_0170_2064.37.csv,2064.37,2032.048828125,2046.5763224878324
amostra_0177_3545.18.csv,3545.18,3506.6328125,3534.8472552674248
amostra_0180_2566.53.csv,2566.53,2517.58251953125,2537.0274618193025
amostra_0210_2796.03.csv,2796.03,2751.358154296875,2773.0269193809936
amostra_0211_4751.05.csv,4751.05,4585.5966796875,4621.469219468945
amostra_0218_1784.73.csv,1784.73,1834.23876953125,1846.6472345661948
amostra_0220_3063.70.csv,3063.7,3057.064453125,3081.500218728712
amostra_0232_3109.14.csv,3109.14,3111.0126953125,3135.9201589823065
amostra_0244_3280.85.csv,3280.85,3254.87451171875,3281.01549353175
amostra_0246_3639.65.csv,3639.65,3578.563720703125,3607.350664462066
amostra_0263_2437.32.csv,2437.32,2445.651611328125,2464.393491295184
amostra_0264_1719.94.csv,1719.94,1690.3768310546875,1701.2021377989997
amostra_0268_4203.32.csv,4203.32,4189.9765625,4223.272381647854
amostra_0286_3462.41.csv,3462.41,3470.66748046875,3498.592354372121
amostra_0288_3272.68.csv,3272.68,3200.926513671875,3226.6090769391494
amostra_0290_3293.24.csv,3293.24,3272.857421875,3299.1501054815803
amostra_0298_1527.91.csv,1527.91,1564.497802734375,1573.9088034738031
amostra_0302_3439.19.csv,3439.19,3416.71923828125,3444.205607727406
amostra_0303_1909.20.csv,1909.2,1924.1524658203125,1937.5324247537665
amostra_0308_3286.43.csv,3286.43,3344.788330078125,3371.682282410999
amostra_0313_2042.91.csv,2042.91,2014.0660400390625,2028.4036609161458
amostra_0314_2116.68.csv,2116.68,2103.979736328125,2119.261189794279
