amostra,valor_real,valor_predito
amostra_0001_3088.94.csv,3088.94,3075.04736328125
amostra_0003_2636.67.csv,2636.67,2607.496337890625
amostra_0024_3284.60.csv,3284.6,3344.788330078125
amostra_0035_3859.47.csv,3859.47,3830.322021484375
amostra_0036_2605.02.csv,2605.02,2589.513427734375
amostra_0047_3582.42.csv,3582.42,3632.511962890625
amostra_0060_3222.79.csv,3222.79,3200.926513671875
amostra_0062_2616.45.csv,2616.45,2517.58251953125
amostra_0068_2605.20.csv,2605.2,2607.496337890625
amostra_0073_3860.06.csv,3860.06,3812.33935546875
amostra_0074_2512.76.csv,2512.76,2463.63427734375
amostra_0084_3558.81.csv,3558.81,3470.66748046875
amostra_0086_2000.39.csv,2000.39,1978.1005859375
amostra_0094_2804.51.csv,2804.51,2859.25439453125
amostra_0101_1239.89.csv,1239.89,1204.8431396484375
amostra_0102_2889.50.csv,2889.5,2877.2373046875
amostra_0104_2572.55.csv,2572.55,2409.686279296875
amostra_0113_1988.47.csv,1988.47,2014.0660400390625
amostra_0115_1720.04.csv,1720.04,1690.3768310546875
amostra_0118_2285.79.csv,2285.79,2247.841552734375
amostra_0120_1510.78.csv,1510.78,1510.549560546875
amostra_0122_2787.10.csv,2787.1,2769.3408203125
amostra_0124_2303.61.csv,2303.61,2337.75537109375
amostra_0126_1836.38.csv,1836.38,1798.2733154296875
amostra_0138_3328.77.csv,3328.77,3272.857421875
amostra_0139_2437.73.csv,2437.73,2409.686279296875
amostra_0140_1573.00.csv,1573.0,1600.4632568359375
amostra_0141_1668.00.csv,1668.0,1672.3941650390625
amostra_0152_3338.64.csv,3338.64,3344.788330078125
amostra_0155_2742.26.csv,2742.26,2697.409912109375
amostra_0156_2775.18.csv,2775.18,2733.37548828125
amostra_0158_2825.71.csv,2825.71,2841.271728515625
amostra_0165_2532.80.csv,2532.8,2463.63427734375
amostra_0167_2210.76.csv,2210.76,2193.893310546875
amostra_0169_3103.35.csv,3103.35,3128.99560546875
amostra_0170_2064.37.csv,2064.37,2032.048828125
amostra_0177_3545.18.csv,3545.18,3506.6328125
amostra_0180_2566.53.csv,2566.53,2517.58251953125
amostra_0210_2796.03.csv,2796.03,2751.358154296875
amostra_0211_4751.05.csv,4751.05,4585.5966796875
amostra_0218_1784.73.csv,1784.73,1834.23876953125
amostra_0220_3063.70.csv,3063.7,3057.064453125
amostra_0232_3109.14.csv,3109.14,3111.0126953125
amostra_0244_3280.85.csv,3280.85,3254.87451171875
amostra_0246_3639.65.csv,3639.65,3578.563720703125
amostra_0263_2437.32.csv,2437.32,2445.651611328125
amostra_0264_1719.94.csv,1719.94,1690.3768310546875
amostra_0268_4203.32.csv,4203.32,4189.9765625
amostra_0286_3462.41.csv,3462.41,3470.66748046875
amostra_0288_3272.68.csv,3272.68,3200.926513671875
amostra_0290_3293.24.csv,3293.24,3272.857421875
amostra_0298_1527.91.csv,1527.91,1564.497802734375
amostra_0302_3439.19.csv,3439.19,3416.71923828125
amostra_0303_1909.20.csv,1909.2,1924.1524658203125
amostra_0308_3286.43.csv,3286.43,3344.788330078125
amostra_0313_2042.91.csv,2042.91,2014.0660400390625
amostra_0314_2116.68.csv,2116.68,2103.979736328125
amostra_0317_2636.00.csv,2636.0,2643.461669921875
amostra_0318_1457.07.csv,1457.07,1438.61865234375
amostra_0319_2771.94.csv,2771.94,2841.271728515625
amostra_0321_3618.54.csv,3618.54,3596.546630859375
