decile,MAE_kWh
0,17.248603482233847
1,32.11915376460923
2,17.65442762738199
3,28.989373090882527
4,39.16564353518496
5,35.61913517545819
6,31.96064885292039
7,36.41079234713161
8,30.662045162820295
9,29.602440362752798
